Wavelength (nm),Sum(calc),Na I (5.9e-4),Na II (1.2e-2),Na III (4.5e-21),Mg I (2.5e-3),Mg II (2.0e-2),Mg III (1.2e-5),Al I (2.1e-2),Al II (1.4e-1),Al III (4.1e-6),Si I (2.1e-1),Si II (4.1e-1),Si III (1.9e-5),K I (1.5e-3),K II (4.7e-2),K III (1.3e-12),Ca I (6.2e-4),Ca II (1.5e-2),Ca III (2.1e-4),Cr I (0.0e+0),Cr II (0.0e+0),Mn I (1.1e-4),Mn II (8.7e-4),Fe I (7.6e-3),Fe II (4.2e-2),Fe III (5.7e-6),Cu I (7.1e-4),Cu II (1.7e-3),Zn I (2.9e-3),Zn II (4.6e-3),Y I (0.0e+0),Y II (0.0e+0),La I (1.1e-3),La II (4.9e-2),Ce I (0.0e+0),Ce II (0.0e+0),Pr II (0.0e+0),Nd I (0.0e+0),Nd II (0.0e+0),Eu I (0.0e+0),Eu II (0.0e+0),Dy I (0.0e+0),Dy II (0.0e+0),Ho I (0.0e+0),Ho II (0.0e+0),Er I (0.0e+0),Er II (0.0e+0),Tm I (0.0e+0),Tm II (0.0e+0),Yb I (0.0e+0),Yb II (0.0e+0),Lu I (0.0e+0),Lu II (0.0e+0)
617.45,4.170e+1,2.044e-2,,,9.338e-15,4.888e-17,,2.481e-12,2.243e-2,8.506e-28,1.908e-13,5.425e-16,3.725e-13,1.607e-15,1.592e-20,,3.922e+1,1.507e-15,1.071e-17,0,,,1.745e-18,2.211e-15,1.098e-17,6.837e-11,,5.483e-6,1.243e-14,7.552e-18,0,0,2.441e+0,7.741e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.48,3.735e+1,1.568e-2,,,9.337e-15,4.889e-17,,2.479e-12,2.592e-2,8.501e-28,1.907e-13,5.391e-16,3.398e-13,1.607e-15,1.582e-20,,3.525e+1,1.507e-15,1.042e-17,0,,,1.743e-18,2.211e-15,1.099e-17,6.416e-11,,6.904e-6,1.243e-14,7.559e-18,0,0,2.060e+0,7.746e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.5,3.462e+1,1.310e-2,,,9.336e-15,4.889e-17,,2.479e-12,2.847e-2,8.498e-28,1.907e-13,5.368e-16,3.186e-13,1.607e-15,1.575e-20,,3.274e+1,1.508e-15,1.020e-17,0,,,1.742e-18,2.212e-15,1.099e-17,6.153e-11,,8.026e-6,1.243e-14,7.563e-18,0,0,1.834e+0,7.749e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.53,3.076e+1,9.956e-3,,,9.335e-15,4.890e-17,,2.478e-12,3.261e-2,8.494e-28,1.906e-13,5.334e-16,2.879e-13,1.608e-15,1.565e-20,,2.919e+1,1.508e-15,9.828e-18,0,,,1.740e-18,2.213e-15,1.099e-17,5.788e-11,,1.001e-5,1.243e-14,7.569e-18,0,0,1.533e+0,7.754e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.55,2.836e+1,8.266e-3,,,9.334e-15,4.891e-17,,2.477e-12,3.559e-2,8.491e-28,1.906e-13,5.312e-16,2.683e-13,1.608e-15,1.559e-20,,2.696e+1,1.508e-15,9.559e-18,0,,,1.739e-18,2.213e-15,1.099e-17,5.565e-11,,1.157e-5,1.242e-14,7.574e-18,0,0,1.356e+0,7.758e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.58,2.500e+1,6.223e-3,,,9.333e-15,4.892e-17,,2.476e-12,4.040e-2,8.487e-28,1.905e-13,5.278e-16,2.402e-13,1.609e-15,1.549e-20,,2.383e+1,1.509e-15,9.126e-18,0,,,1.737e-18,2.214e-15,1.100e-17,5.262e-11,,1.430e-5,1.242e-14,7.580e-18,0,0,1.123e+0,7.763e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.6,2.293e+1,5.133e-3,,,9.332e-15,4.892e-17,,2.475e-12,4.383e-2,8.484e-28,1.905e-13,5.255e-16,2.224e-13,1.609e-15,1.543e-20,,2.189e+1,1.509e-15,8.821e-18,0,,,1.735e-18,2.215e-15,1.100e-17,5.083e-11,,1.641e-5,1.242e-14,7.584e-18,0,0,9.873e-1,7.766e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.63,2.005e+1,3.828e-3,,,9.331e-15,4.893e-17,,2.474e-12,4.931e-2,8.479e-28,1.904e-13,5.221e-16,1.972e-13,1.609e-15,1.533e-20,,1.918e+1,1.509e-15,8.342e-18,0,,,1.733e-18,2.215e-15,1.100e-17,4.847e-11,,2.009e-5,1.242e-14,7.591e-18,0,0,8.098e-1,7.771e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.65,1.828e+1,3.138e-3,,,9.330e-15,4.894e-17,,2.473e-12,5.317e-2,8.476e-28,1.903e-13,5.199e-16,1.814e-13,1.610e-15,1.526e-20,,1.752e+1,1.510e-15,8.012e-18,0,,,1.732e-18,2.216e-15,1.101e-17,4.712e-11,,2.293e-5,1.242e-14,7.595e-18,0,0,7.074e-1,7.774e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.67,1.664e+1,2.566e-3,,,9.329e-15,4.894e-17,,2.473e-12,5.719e-2,8.473e-28,1.903e-13,5.176e-16,1.665e-13,1.610e-15,1.520e-20,,1.596e+1,1.510e-15,7.676e-18,0,,,1.731e-18,2.217e-15,1.101e-17,4.594e-11,,2.609e-5,1.242e-14,7.599e-18,0,0,6.163e-1,7.778e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.7,1.438e+1,1.888e-3,,,9.328e-15,4.895e-17,,2.472e-12,6.352e-2,8.469e-28,1.902e-13,5.142e-16,1.457e-13,1.611e-15,1.510e-20,,1.382e+1,1.510e-15,7.164e-18,0,,,1.729e-18,2.217e-15,1.101e-17,4.449e-11,,3.152e-5,1.242e-14,7.606e-18,0,0,4.989e-1,7.783e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.72,1.302e+1,1.534e-3,,,9.327e-15,4.896e-17,,2.471e-12,6.792e-2,8.466e-28,1.902e-13,5.120e-16,1.329e-13,1.611e-15,1.503e-20,,1.251e+1,1.511e-15,6.820e-18,0,,,1.727e-18,2.218e-15,1.102e-17,4.372e-11,,3.565e-5,1.242e-14,7.610e-18,0,0,4.320e-1,7.786e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.75,1.116e+1,1.118e-3,,,9.326e-15,4.896e-17,,2.470e-12,7.475e-2,8.462e-28,1.901e-13,5.086e-16,1.152e-13,1.611e-15,1.494e-20,,1.074e+1,1.511e-15,6.305e-18,0,,,1.725e-18,2.219e-15,1.102e-17,4.285e-11,,4.267e-5,1.242e-14,7.616e-18,0,0,3.464e-1,7.791e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.77,1.005e+1,9.028e-4,,,9.325e-15,4.897e-17,,2.469e-12,7.944e-2,8.459e-28,1.901e-13,5.063e-16,1.044e-13,1.612e-15,1.487e-20,,9.668e+0,1.511e-15,5.965e-18,0,,,1.724e-18,2.219e-15,1.102e-17,4.244e-11,,4.796e-5,1.242e-14,7.621e-18,0,0,2.980e-1,7.795e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.8,8.545e+0,6.519e-4,,,9.324e-15,4.898e-17,,2.468e-12,8.664e-2,8.454e-28,1.900e-13,5.029e-16,8.961e-14,1.612e-15,1.477e-20,,8.221e+0,1.512e-15,5.463e-18,0,,,1.722e-18,2.220e-15,1.103e-17,4.207e-11,,5.687e-5,1.242e-14,7.627e-18,0,0,2.367e-1,7.800e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.82,7.652e+0,5.230e-4,,,9.323e-15,4.898e-17,,2.467e-12,9.153e-2,8.451e-28,1.899e-13,5.006e-16,8.070e-14,1.612e-15,1.471e-20,,7.357e+0,1.512e-15,5.136e-18,0,,,1.721e-18,2.221e-15,1.103e-17,4.195e-11,,6.351e-5,1.242e-14,7.631e-18,0,0,2.023e-1,7.803e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.85,6.459e+0,3.741e-4,,,9.322e-15,4.899e-17,,2.466e-12,9.892e-2,8.447e-28,1.899e-13,4.973e-16,6.864e-14,1.613e-15,1.461e-20,,6.201e+0,1.512e-15,4.659e-18,0,,,1.719e-18,2.221e-15,1.103e-17,4.196e-11,,7.460e-5,1.242e-14,7.638e-18,0,0,1.592e-1,7.808e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.87,5.755e+0,2.982e-4,,,9.321e-15,4.900e-17,,2.466e-12,1.039e-1,8.444e-28,1.898e-13,4.950e-16,6.142e-14,1.613e-15,1.455e-20,,5.515e+0,1.513e-15,4.352e-18,0,,,1.717e-18,2.222e-15,1.103e-17,4.206e-11,,8.280e-5,1.242e-14,7.642e-18,0,0,1.352e-1,7.812e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.89,5.118e+0,2.371e-4,,,9.320e-15,4.900e-17,,2.465e-12,1.088e-1,8.441e-28,1.898e-13,4.927e-16,5.483e-14,1.613e-15,1.448e-20,,4.894e+0,1.513e-15,4.056e-18,0,,,1.716e-18,2.223e-15,1.104e-17,4.223e-11,,9.166e-5,1.242e-14,7.646e-18,0,0,1.146e-1,7.815e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.92,4.278e+0,1.674e-4,,,9.319e-15,4.901e-17,,2.464e-12,1.161e-1,8.437e-28,1.897e-13,4.893e-16,4.602e-14,1.614e-15,1.438e-20,,4.072e+0,1.513e-15,3.631e-18,0,,,1.714e-18,2.223e-15,1.104e-17,4.258e-11,,1.063e-4,1.242e-14,7.653e-18,0,0,8.898e-2,7.820e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.94,3.788e+0,1.323e-4,,,9.318e-15,4.902e-17,,2.463e-12,1.209e-1,8.434e-28,1.897e-13,4.871e-16,4.082e-14,1.614e-15,1.432e-20,,3.591e+0,1.514e-15,3.362e-18,0,,,1.713e-18,2.224e-15,1.104e-17,4.285e-11,,1.169e-4,1.242e-14,7.657e-18,0,0,7.493e-2,7.823e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.97,3.147e+0,9.246e-5,,,9.317e-15,4.902e-17,,2.462e-12,1.278e-1,8.429e-28,1.896e-13,4.837e-16,3.394e-14,1.615e-15,1.422e-20,,2.961e+0,1.514e-15,2.982e-18,0,,,1.711e-18,2.225e-15,1.105e-17,4.328e-11,,1.342e-4,1.241e-14,7.663e-18,0,0,5.763e-2,7.828e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
617.99,2.776e+0,7.260e-5,,,9.316e-15,4.903e-17,,2.461e-12,1.323e-1,8.426e-28,1.896e-13,4.814e-16,2.991e-14,1.615e-15,1.415e-20,,2.596e+0,1.514e-15,2.744e-18,0,,,1.709e-18,2.225e-15,1.105e-17,4.358e-11,,1.468e-4,1.241e-14,7.667e-18,0,0,4.822e-2,7.832e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.02,2.296e+0,5.028e-5,,,9.315e-15,4.904e-17,,2.460e-12,1.386e-1,8.422e-28,1.895e-13,4.780e-16,2.464e-14,1.615e-15,1.406e-20,,2.120e+0,1.515e-15,2.410e-18,0,,,1.707e-18,2.226e-15,1.105e-17,4.399e-11,,1.670e-4,1.241e-14,7.674e-18,0,0,3.673e-2,7.837e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.04,2.020e+0,3.923e-5,,,9.314e-15,4.904e-17,,2.459e-12,1.426e-1,8.419e-28,1.894e-13,4.758e-16,2.158e-14,1.616e-15,1.399e-20,,1.847e+0,1.515e-15,2.204e-18,0,,,1.706e-18,2.227e-15,1.106e-17,4.423e-11,,1.814e-4,1.241e-14,7.678e-18,0,0,3.054e-2,7.840e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.07,1.666e+0,2.691e-5,,,9.313e-15,4.905e-17,,2.458e-12,1.481e-1,8.415e-28,1.894e-13,4.724e-16,1.760e-14,1.616e-15,1.389e-20,,1.495e+0,1.516e-15,1.918e-18,0,,,1.704e-18,2.227e-15,1.106e-17,4.452e-11,,2.044e-4,1.241e-14,7.685e-18,0,0,2.305e-2,7.845e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.09,1.465e+0,2.086e-5,,,9.312e-15,4.906e-17,,2.458e-12,1.514e-1,8.412e-28,1.893e-13,4.701e-16,1.532e-14,1.616e-15,1.383e-20,,1.294e+0,1.516e-15,1.743e-18,0,,,1.703e-18,2.228e-15,1.106e-17,4.466e-11,,2.207e-4,1.241e-14,7.689e-18,0,0,1.904e-2,7.849e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.12,1.208e+0,1.418e-5,,,9.311e-15,4.907e-17,,2.457e-12,1.558e-1,8.407e-28,1.893e-13,4.667e-16,1.238e-14,1.617e-15,1.373e-20,,1.038e+0,1.516e-15,1.502e-18,0,,,1.701e-18,2.229e-15,1.106e-17,4.474e-11,,2.464e-4,1.241e-14,7.695e-18,0,0,1.424e-2,7.854e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.14,1.063e+0,1.092e-5,,,9.310e-15,4.907e-17,,2.456e-12,1.584e-1,8.404e-28,1.892e-13,4.645e-16,1.071e-14,1.617e-15,1.366e-20,,8.932e-1,1.517e-15,1.356e-18,0,,,1.699e-18,2.229e-15,1.107e-17,4.471e-11,,2.643e-4,1.241e-14,7.699e-18,0,0,1.169e-2,7.857e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.16,9.370e-1,8.394e-6,,,9.310e-15,4.908e-17,,2.455e-12,1.605e-1,8.401e-28,1.892e-13,4.622e-16,9.240e-15,1.617e-15,1.360e-20,,7.666e-1,1.517e-15,1.222e-18,0,,,1.698e-18,2.230e-15,1.107e-17,4.461e-11,,2.829e-4,1.241e-14,7.704e-18,0,0,9.572e-3,7.860e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.19,7.773e-1,5.628e-6,,,9.308e-15,4.909e-17,,2.454e-12,1.631e-1,8.397e-28,1.891e-13,4.588e-16,7.369e-15,1.618e-15,1.350e-20,,6.068e-1,1.517e-15,1.039e-18,0,,,1.696e-18,2.231e-15,1.107e-17,4.432e-11,,3.117e-4,1.241e-14,7.710e-18,0,0,7.061e-3,7.865e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.21,6.881e-1,4.298e-6,,,9.308e-15,4.909e-17,,2.453e-12,1.644e-1,8.394e-28,1.891e-13,4.565e-16,6.317e-15,1.618e-15,1.344e-20,,5.176e-1,1.518e-15,9.300e-19,0,,,1.695e-18,2.231e-15,1.108e-17,4.403e-11,,3.314e-4,1.241e-14,7.714e-18,0,0,5.746e-3,7.869e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.24,5.760e-1,2.854e-6,,,9.306e-15,4.910e-17,,2.452e-12,1.656e-1,8.390e-28,1.890e-13,4.531e-16,4.991e-15,1.619e-15,1.334e-20,,4.059e-1,1.518e-15,7.837e-19,0,,,1.693e-18,2.232e-15,1.108e-17,4.343e-11,,3.618e-4,1.241e-14,7.721e-18,0,0,4.199e-3,7.874e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.26,5.137e-1,2.166e-6,,,9.306e-15,4.911e-17,,2.452e-12,1.658e-1,8.387e-28,1.889e-13,4.509e-16,4.251e-15,1.619e-15,1.327e-20,,3.441e-1,1.518e-15,6.970e-19,0,,,1.691e-18,2.233e-15,1.108e-17,4.293e-11,,3.823e-4,1.241e-14,7.725e-18,0,0,3.396e-3,7.877e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.29,4.357e-1,1.425e-6,,,9.304e-15,4.911e-17,,2.451e-12,1.655e-1,8.382e-28,1.889e-13,4.475e-16,3.327e-15,1.619e-15,1.317e-20,,2.673e-1,1.519e-15,5.818e-19,0,,,1.689e-18,2.233e-15,1.109e-17,4.204e-11,,4.134e-4,1.241e-14,7.731e-18,0,0,2.458e-3,7.882e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.31,3.924e-1,1.075e-6,,,9.304e-15,4.912e-17,,2.450e-12,1.648e-1,8.379e-28,1.888e-13,4.452e-16,2.816e-15,1.620e-15,1.311e-20,,2.252e-1,1.519e-15,5.142e-19,0,,,1.688e-18,2.234e-15,1.109e-17,4.135e-11,,4.341e-4,1.241e-14,7.736e-18,0,0,1.975e-3,7.886e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.34,3.382e-1,7.003e-7,,,9.302e-15,4.913e-17,,2.449e-12,1.629e-1,8.375e-28,1.888e-13,4.418e-16,2.183e-15,1.620e-15,1.301e-20,,1.733e-1,1.519e-15,4.252e-19,0,,,1.686e-18,2.235e-15,1.109e-17,4.019e-11,,4.650e-4,1.241e-14,7.742e-18,0,0,1.416e-3,7.891e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.36,3.080e-1,5.247e-7,,,9.302e-15,4.913e-17,,2.448e-12,1.612e-1,8.372e-28,1.887e-13,4.396e-16,1.836e-15,1.620e-15,1.295e-20,,1.451e-1,1.520e-15,3.734e-19,0,,,1.685e-18,2.235e-15,1.109e-17,3.934e-11,,4.853e-4,1.241e-14,7.746e-18,0,0,1.131e-3,7.894e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.39,2.700e-1,3.387e-7,,,9.300e-15,4.914e-17,,2.447e-12,1.580e-1,8.368e-28,1.886e-13,4.362e-16,1.410e-15,1.621e-15,1.285e-20,,1.107e-1,1.520e-15,3.059e-19,0,,,1.683e-18,2.236e-15,1.110e-17,3.796e-11,,5.149e-4,1.240e-14,7.753e-18,0,0,8.031e-4,7.899e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.41,2.487e-1,2.522e-7,,,9.300e-15,4.915e-17,,2.446e-12,1.554e-1,8.365e-28,1.886e-13,4.339e-16,1.179e-15,1.621e-15,1.278e-20,,9.207e-2,1.520e-15,2.669e-19,0,,,1.682e-18,2.237e-15,1.110e-17,3.698e-11,,5.340e-4,1.240e-14,7.757e-18,0,0,6.372e-4,7.903e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.43,2.300e-1,1.873e-7,,,9.299e-15,4.915e-17,,2.446e-12,1.525e-1,8.362e-28,1.886e-13,4.317e-16,9.829e-16,1.622e-15,1.272e-20,,7.641e-2,1.521e-15,2.324e-19,0,,,1.680e-18,2.237e-15,1.110e-17,3.596e-11,,5.524e-4,1.240e-14,7.761e-18,0,0,5.044e-4,7.906e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.46,2.060e-1,1.193e-7,,,9.298e-15,4.916e-17,,2.444e-12,1.476e-1,8.357e-28,1.885e-13,4.283e-16,7.448e-16,1.622e-15,1.262e-20,,5.751e-2,1.521e-15,1.878e-19,0,,,1.678e-18,2.238e-15,1.111e-17,3.437e-11,,5.785e-4,1.240e-14,7.768e-18,0,0,3.535e-4,7.911e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.48,1.923e-1,8.804e-8,,,9.297e-15,4.917e-17,,2.444e-12,1.440e-1,8.355e-28,1.884e-13,4.260e-16,6.171e-16,1.622e-15,1.255e-20,,4.743e-2,1.521e-15,1.625e-19,0,,,1.677e-18,2.239e-15,1.111e-17,3.329e-11,,5.947e-4,1.240e-14,7.772e-18,0,0,2.780e-4,7.914e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.51,1.742e-1,5.555e-8,,,9.296e-15,4.917e-17,,2.443e-12,1.380e-1,8.350e-28,1.884e-13,4.226e-16,4.632e-16,1.623e-15,1.246e-20,,3.536e-2,1.522e-15,1.301e-19,0,,,1.675e-18,2.239e-15,1.111e-17,3.165e-11,,6.170e-4,1.240e-14,7.778e-18,0,0,1.930e-4,7.919e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.53,1.636e-1,4.074e-8,,,9.295e-15,4.918e-17,,2.442e-12,1.338e-1,8.347e-28,1.883e-13,4.203e-16,3.814e-16,1.623e-15,1.239e-20,,2.898e-2,1.522e-15,1.118e-19,0,,,1.674e-18,2.240e-15,1.112e-17,3.055e-11,,6.303e-4,1.240e-14,7.783e-18,0,0,1.508e-4,7.923e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.56,1.493e-1,2.546e-8,,,9.294e-15,4.919e-17,,2.441e-12,1.272e-1,8.343e-28,1.883e-13,4.169e-16,2.836e-16,1.623e-15,1.229e-20,,2.140e-2,1.522e-15,8.871e-20,0,,,1.672e-18,2.241e-15,1.112e-17,2.894e-11,,6.477e-4,1.240e-14,7.789e-18,0,0,1.037e-4,7.928e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.58,1.407e-1,1.855e-8,,,9.293e-15,4.919e-17,,2.440e-12,1.226e-1,8.340e-28,1.882e-13,4.147e-16,2.320e-16,1.624e-15,1.223e-20,,1.743e-2,1.523e-15,7.577e-20,0,,,1.670e-18,2.241e-15,1.112e-17,2.788e-11,,6.576e-4,1.240e-14,7.793e-18,0,0,8.056e-5,7.931e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.61,1.289e-1,1.149e-8,,,9.292e-15,4.920e-17,,2.439e-12,1.154e-1,8.335e-28,1.881e-13,4.113e-16,1.709e-16,1.624e-15,1.213e-20,,1.276e-2,1.523e-15,5.954e-20,0,,,1.668e-18,2.242e-15,1.113e-17,2.636e-11,,6.694e-4,1.240e-14,7.800e-18,0,0,5.488e-5,7.936e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.63,1.216e-1,8.318e-9,,,9.291e-15,4.921e-17,,2.438e-12,1.106e-1,8.333e-28,1.881e-13,4.090e-16,1.389e-16,1.625e-15,1.207e-20,,1.033e-2,1.523e-15,5.054e-20,0,,,1.667e-18,2.243e-15,1.113e-17,2.540e-11,,6.754e-4,1.240e-14,7.804e-18,0,0,4.235e-5,7.940e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.66,1.114e-1,5.101e-9,,,9.290e-15,4.922e-17,,2.437e-12,1.032e-1,8.328e-28,1.880e-13,4.056e-16,1.014e-16,1.625e-15,1.197e-20,,7.484e-3,1.524e-15,3.933e-20,0,,,1.665e-18,2.244e-15,1.113e-17,2.405e-11,,6.811e-4,1.240e-14,7.810e-18,0,0,2.858e-5,7.945e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.68,1.050e-1,3.670e-9,,,9.289e-15,4.922e-17,,2.437e-12,9.827e-2,8.325e-28,1.880e-13,4.034e-16,8.190e-17,1.625e-15,1.190e-20,,6.020e-3,1.524e-15,3.318e-20,0,,,1.664e-18,2.244e-15,1.113e-17,2.322e-11,,6.828e-4,1.240e-14,7.814e-18,0,0,2.192e-5,7.948e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.7,9.887e-2,2.634e-9,,,9.288e-15,4.923e-17,,2.436e-12,9.335e-2,8.322e-28,1.879e-13,4.011e-16,6.600e-17,1.626e-15,1.184e-20,,4.830e-3,1.524e-15,2.791e-20,0,,,1.662e-18,2.245e-15,1.114e-17,2.245e-11,,6.828e-4,1.240e-14,7.819e-18,0,0,1.676e-5,7.951e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.73,9.019e-2,1.594e-9,,,9.287e-15,4.924e-17,,2.435e-12,8.604e-2,8.318e-28,1.879e-13,3.977e-16,4.752e-17,1.626e-15,1.174e-20,,3.455e-3,1.525e-15,2.144e-20,0,,,1.660e-18,2.245e-15,1.114e-17,2.143e-11,,6.796e-4,1.240e-14,7.825e-18,0,0,1.116e-5,7.957e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.75,8.469e-2,1.137e-9,,,9.286e-15,4.924e-17,,2.434e-12,8.125e-2,8.315e-28,1.878e-13,3.955e-16,3.805e-17,1.626e-15,1.167e-20,,2.755e-3,1.525e-15,1.793e-20,0,,,1.659e-18,2.246e-15,1.114e-17,2.084e-11,,6.754e-4,1.240e-14,7.829e-18,0,0,8.485e-6,7.960e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.78,7.686e-2,6.815e-10,,,9.285e-15,4.925e-17,,2.433e-12,7.424e-2,8.311e-28,1.878e-13,3.921e-16,2.714e-17,1.627e-15,1.158e-20,,1.952e-3,1.526e-15,1.364e-20,0,,,1.657e-18,2.247e-15,1.115e-17,2.011e-11,,6.660e-4,1.240e-14,7.836e-18,0,0,5.597e-6,7.965e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.8,7.191e-2,4.830e-10,,,9.284e-15,4.926e-17,,2.432e-12,6.970e-2,8.308e-28,1.877e-13,3.898e-16,2.160e-17,1.627e-15,1.151e-20,,1.547e-3,1.526e-15,1.133e-20,0,,,1.656e-18,2.247e-15,1.115e-17,1.972e-11,,6.577e-4,1.240e-14,7.840e-18,0,0,4.227e-6,7.968e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.83,6.487e-2,2.868e-10,,,9.283e-15,4.926e-17,,2.431e-12,6.314e-2,8.303e-28,1.876e-13,3.864e-16,1.526e-17,1.628e-15,1.141e-20,,1.086e-3,1.526e-15,8.541e-21,0,,,1.654e-18,2.248e-15,1.115e-17,1.929e-11,,6.424e-4,1.239e-14,7.846e-18,0,0,2.762e-6,7.973e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.85,6.044e-2,2.020e-10,,,9.282e-15,4.927e-17,,2.431e-12,5.895e-2,8.300e-28,1.876e-13,3.841e-16,1.207e-17,1.628e-15,1.135e-20,,8.550e-4,1.526e-15,7.052e-21,0,,,1.652e-18,2.249e-15,1.116e-17,1.911e-11,,6.305e-4,1.239e-14,7.851e-18,0,0,2.073e-6,7.977e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.88,5.417e-2,1.188e-10,,,9.281e-15,4.928e-17,,2.429e-12,5.297e-2,8.296e-28,1.875e-13,3.808e-16,8.444e-18,1.628e-15,1.125e-20,,5.946e-4,1.527e-15,5.265e-21,0,,,1.650e-18,2.250e-15,1.116e-17,1.900e-11,,6.101e-4,1.239e-14,7.857e-18,0,0,1.342e-6,7.982e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.9,5.025e-2,8.313e-11,,,9.280e-15,4.928e-17,,2.429e-12,4.919e-2,8.293e-28,1.875e-13,3.785e-16,6.635e-18,1.629e-15,1.118e-20,,4.653e-4,1.527e-15,4.320e-21,0,,,1.649e-18,2.250e-15,1.116e-17,1.903e-11,,5.951e-4,1.239e-14,7.861e-18,0,0,1.001e-6,7.985e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.92,4.654e-2,5.802e-11,,,9.279e-15,4.929e-17,,2.428e-12,4.560e-2,8.290e-28,1.874e-13,3.762e-16,5.201e-18,1.629e-15,1.112e-20,,3.631e-4,1.527e-15,3.535e-21,0,,,1.648e-18,2.251e-15,1.116e-17,1.915e-11,,5.789e-4,1.239e-14,7.866e-18,0,0,7.445e-7,7.989e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
618.95,4.136e-2,3.368e-11,,,9.278e-15,4.930e-17,,2.427e-12,4.056e-2,8.286e-28,1.874e-13,3.728e-16,3.592e-18,1.629e-15,1.102e-20,,2.492e-4,1.528e-15,2.605e-21,0,,,1.646e-18,2.251e-15,1.117e-17,1.947e-11,,5.530e-4,1.239e-14,7.872e-18,0,0,4.755e-7,7.994e-14,0,0,0,,0,0,,0,,,,0,,,,,,0,0
