光谱名称,粒子种类,拟合区间(nm),未去除旁峰的区间(nm),选线数据,RMSE,RMSE/nm,真实强度,拟合强度,强度误差,强度误差比例(%)
070099_95_random.csv,LaII,386.890000-387.600000,386.890000-388.080000,LaII 387.164000 nm (target); FeI 387.250102 nm; CaI 387.577640 nm,281.8887018216696,397.0263405938805,126.4,0.0,126.4,100.0
070099_95_random.csv,PrII,417.470000-418.430000,416.920000-418.430000,MnI 417.659900 nm; PrII 417.939100 nm (target); FeI 418.175449 nm,72.52529179347077,75.54717895153367,1172.0,1162.8073789658008,9.192621034199192,0.784353330563071
070099_95_random.csv,PrII,421.490000-423.120000,421.490000-423.120000,PrII 422.293100 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,385.63578279554105,236.58636981321604,1007.0,1197.1999999999273,190.1999999999273,18.88778550148235
070099_95_random.csv,PrII,421.490000-423.120000,421.490000-423.120000,PrII 422.534600 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,361.55531399182615,221.81307606860562,1322.0,2146.2413475862354,824.2413475862354,62.34805957535821
070099_95_random.csv,PrII,406.090000-406.720000,405.150000-406.720000,PrII 406.280400 nm (target); MnI 406.352800 nm; FeI 406.359365 nm,182.2512726095144,289.28773430079247,663.6,1253.980867928581,590.3808679285809,88.96637551666377
070099_95_random.csv,PrII,409.800000-410.730000,409.800000-411.160000,CaI 409.852820 nm; PrII 410.071700 nm (target); MnI 410.538000 nm,829.2719070852613,891.6902226723174,1042.0,1241.7399953271217,199.73999532712173,19.16890550164316
070099_95_random.csv,SmII,359.040000-359.350000,359.040000-359.800000,SiIII 359.046500 nm; SmII 359.260300 nm (target),111.98168929547268,361.2312557918447,953.3,805.103632705099,148.19636729490094,15.545617045515678
070099_95_random.csv,SmII,360.410000-361.390000,360.410000-361.390000,MnI 360.848100 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),784.6761096563214,800.6899078126045,848.6,3893.005960126339,3044.405960126339,358.7562998027738
070099_95_random.csv,SmII,362.680000-363.720000,362.680000-363.720000,CaI 363.075220 nm; FeI 363.146292 nm; SmII 363.429000 nm (target),138.938384427702,133.5946004112493,804.2,1087.5045645674534,283.3045645674533,35.22812292557241
070099_95_random.csv,SmII,369.040000-369.830000,369.040000-369.830000,SmII 369.398900 nm (target); FeI 369.400589 nm; FeI 369.505245 nm,205.2390309505304,259.7962417095441,73.58,3807.8674635507323,3734.2874635507324,5075.139254621817
070099_95_random.csv,TbII,350.280000-351.090000,350.280000-351.090000,FeI 350.847390 nm; TbII 350.914600 nm (target),419.704852107393,518.1541384041874,412.2,0.0,412.2,100.0
070099_95_random.csv,TbII,386.890000-387.600000,386.890000-388.080000,FeI 387.250102 nm; TbII 387.417200 nm (target); CaI 387.577640 nm,25.191816466702374,35.48143164324096,893.8,808.9607910125453,84.83920898745464,9.49196788850466
070099_95_random.csv,YII,370.790000-371.440000,369.830000-371.440000,FeI 370.791945 nm; FeI 370.924612 nm; YII 371.028700 nm (target),37.749229064933964,58.07573702297736,1966.0,2058.418534148773,92.41853414877278,4.700841004515401
070099_95_random.csv,YII,437.170000-437.870000,437.170000-437.870000,FeIII 437.250000 nm; FeIII 437.277000 nm; YII 437.493300 nm (target),3.575771801220837,5.108245430315564,910.8,928.4394999999813,17.639499999981354,1.936703996484558
070099_95_random.csv,YII,377.030000-378.080000,377.030000-378.080000,MnI 377.143400 nm; MnI 377.385500 nm; YII 377.433000 nm (target),58.197153278639234,55.4258602653701,1268.0,1427.7329138731975,159.7329138731975,12.597232955299486
070099_95_random.csv,YII,354.700000-355.110000,354.700000-355.110000,FeI 354.719370 nm; YII 354.900200 nm (target),6.675649450383845,16.282071830203506,360.2,362.1399999999812,1.9399999999812394,0.5385896723990116
070099_95_random.csv,YII,488.090000-488.770000,488.090000-488.770000,YII 488.368200 nm (target),12.74518812362676,18.742923711215635,307.5,319.24854048620705,11.748540486207048,3.8206635727502594
070101_95_random.csv,ErII,390.130000-391.030000,390.130000-391.030000,FeI 390.294512 nm; SiI 390.552310 nm; ErII 390.631100 nm (target),1505.6610069330486,1672.9566743700964,442.5,8492.780000002624,8050.280000002624,1819.2723163847738
070101_95_random.csv,ErII,336.730000-337.480000,336.730000-337.480000,FeI 336.954710 nm; FeI 337.078304 nm; ErII 337.271000 nm (target),42.027236342645594,56.03631512352746,1661.0,1651.3941695509882,9.605830449011819,0.578316101686443
070101_95_random.csv,ErII,349.250000-350.280000,349.250000-350.280000,FeI 349.710322 nm; FeI 349.784032 nm; ErII 349.910400 nm (target),4845.161026542507,4704.039831594791,624.4,0.0,624.4,100.0
070101_95_random.csv,ErII,361.440000-362.030000,361.440000-362.580000,ErII 361.656500 nm (target); FeI 361.778596 nm; FeI 361.876750 nm,25.96949858375149,44.016099294495916,227.7,311.6245130738297,83.9245130738297,36.85749366439601
070101_95_random.csv,HoII,388.820000-389.400000,388.820000-389.400000,FeI 388.851317 nm; HoII 389.094000 nm (target); FeI 389.338988 nm,83.73902035470074,144.37762130121214,7258.0,7334.997903966175,76.99790396617482,1.06086944015121
070101_95_random.csv,HoII,339.480000-340.180000,339.480000-340.180000,HoII 339.895000 nm (target); FeI 339.933299 nm,72.20929791640955,103.15613988058675,5102.0,4722.761733519301,379.23826648069917,7.433129488057608
070101_95_random.csv,HoII,347.080000-347.920000,347.080000-347.920000,MnII 347.403870 nm; MnII 347.412710 nm; HoII 347.425000 nm (target),1205.9985225824512,1435.712526883816,3830.0,0.0,3830.0,100.0
070101_95_random.csv,SmII,359.040000-359.380000,359.040000-359.730000,SiIII 359.046500 nm; SmII 359.260300 nm (target),84.87716429635168,249.63871851869976,916.2,778.3341963869634,137.86580361303663,15.047566427967324
070101_95_random.csv,SmII,360.480000-361.440000,360.480000-361.440000,MnI 360.848100 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),15865.35217105223,16526.40851151309,772.7,14161.750000010505,13389.050000010504,1732.7617445335193
070101_95_random.csv,SmII,363.040000-363.770000,363.040000-363.770000,CaI 363.075220 nm; FeI 363.146292 nm; SmII 363.429000 nm (target),11752.627130235294,16099.489219501256,694.0,16307.999999994361,15613.999999994361,2249.8559077801674
070101_95_random.csv,TmII,345.610000-346.450000,345.610000-346.450000,MnII 346.031480 nm; TmII 346.220000 nm (target); MnI 346.365700 nm,290.053065742452,345.3012687410246,201.8,0.0,201.8,100.0
070101_95_random.csv,TmII,312.870000-313.430000,312.870000-313.960000,TmII 313.126000 nm (target); FeI 313.251786 nm; MnI 313.278800 nm,7.066283862318851,12.61836403985504,296.8,298.25500044572067,1.455000445720657,0.4902292606875528
070101_95_random.csv,TmII,342.260000-343.120000,342.260000-343.120000,FeI 342.428418 nm; TmII 342.508000 nm (target); FeI 342.711930 nm,24.26385286834195,28.21378240504833,146.4,111.11890428417335,35.28109571582665,24.09910909551001
070101_95_random.csv,TmII,343.490000-344.630000,343.490000-344.630000,FeI 344.060547 nm; TmII 344.150000 nm (target); MnII 344.198590 nm,1303.7896411774727,1143.675123839902,90.94,0.0,90.94,100.0
070159_95_random.csv,LaII,394.590000-395.420000,394.590000-395.420000,LaII 394.910000 nm (target); FeI 395.116320 nm; MnI 395.283400 nm,993.7622847811961,1197.303957567647,9546.0,12354.9157714512,2808.9157714512003,29.425055221571338
070159_95_random.csv,LaII,398.530000-399.220000,398.530000-399.220000,MgI 398.675330 nm; MnI 398.681900 nm; LaII 398.852000 nm (target),20.442398060307262,29.626663855515428,5006.0,4988.25037460066,17.749625399340403,0.3545670275537436
070159_95_random.csv,LaII,411.910000-412.650000,411.910000-412.650000,MnI 412.236100 nm; LaII 412.323000 nm (target); MnI 412.328100 nm,110.19597190329219,148.91347554499905,4533.0,439.7734421454789,4093.226557854521,90.298401893989
070159_95_random.csv,LaII,399.220000-400.230000,399.220000-400.230000,LaII 399.575000 nm (target); FeI 399.696350 nm; FeI 399.739170 nm,50.78992951663543,50.28705892736227,3383.0,3365.2499999997867,17.750000000213277,0.5246822347092308
070159_95_random.csv,LaII,386.710000-387.420000,386.710000-387.420000,LaII 387.164000 nm (target); FeI 387.250102 nm; CaI 387.254030 nm,48.86717884487862,68.827012457572,2988.0,3473.5407974104833,485.54079741048326,16.249692015076413
