Wavelength (nm),Sum(calc),Na I (5.2e-4),Na II (1.1e-2),Na III (4.0e-21),Mg I (4.2e-3),Mg II (3.4e-2),Mg III (2.1e-5),Al I (1.3e-2),Al II (8.9e-2),Al III (2.5e-6),Si I (1.5e-1),Si II (2.9e-1),Si III (1.4e-5),K I (7.7e-4),K II (2.5e-2),K III (6.9e-13),Ca I (7.8e-3),Ca II (1.9e-1),Ca III (2.7e-3),Mn I (3.2e-4),Mn II (2.6e-3),Fe I (2.1e-2),Fe II (1.1e-1),Fe III (1.5e-5),Cu I (8.5e-3),Cu II (2.1e-2),Zn I (5.7e-4),Zn II (8.9e-4),Mo I (9.1e-6),Pb I (2.5e-5),Pb II (1.5e-4)
358.92,5.145e+2,5.197e-30,7.594e-28,,1.337e-14,6.869e-17,,1.475e-12,8.280e+0,2.924e-15,6.118e-13,1.967e-15,4.487e-9,,4.520e-22,,9.720e-14,3.619e-12,1.345e-27,4.810e-2,1.637e-18,5.061e+2,2.621e-15,2.648e-22,3.696e-12,8.251e-19,1.176e-14,3.194e-17,1.330e-1,8.086e-16,
358.95,4.317e+2,5.196e-30,7.530e-28,,1.319e-14,6.875e-17,,1.476e-12,6.888e+0,7.614e-15,6.120e-13,1.969e-15,4.911e-9,,4.630e-22,,9.729e-14,3.616e-12,1.344e-27,7.546e-2,1.637e-18,4.246e+2,2.609e-15,2.645e-22,3.693e-12,8.251e-19,1.175e-14,3.194e-17,1.377e-1,8.197e-16,
358.97,3.822e+2,5.195e-30,7.488e-28,,1.307e-14,6.879e-17,,1.476e-12,6.015e+0,1.423e-14,6.121e-13,1.970e-15,5.148e-9,,4.704e-22,,9.735e-14,3.614e-12,1.343e-27,1.006e-1,1.636e-18,3.759e+2,2.600e-15,2.644e-22,3.692e-12,8.251e-19,1.175e-14,3.193e-17,1.401e-1,8.271e-16,
359,3.166e+2,5.194e-30,7.424e-28,,1.289e-14,6.884e-17,,1.477e-12,4.816e+0,3.563e-14,6.122e-13,1.972e-15,5.417e-9,,4.815e-22,,9.745e-14,3.610e-12,1.342e-27,1.517e-1,1.636e-18,3.115e+2,2.587e-15,2.642e-22,3.689e-12,8.251e-19,1.175e-14,3.193e-17,1.422e-1,8.381e-16,
359.02,2.786e+2,5.193e-30,7.382e-28,,1.277e-14,6.888e-17,,1.477e-12,4.100e+0,6.486e-14,6.123e-13,1.974e-15,5.532e-9,,4.888e-22,,9.751e-14,3.608e-12,1.342e-27,1.970e-1,1.636e-18,2.742e+2,2.579e-15,2.640e-22,3.687e-12,8.251e-19,1.175e-14,3.193e-17,1.425e-1,8.455e-16,
359.04,2.451e+2,5.192e-30,7.340e-28,,1.265e-14,6.892e-17,,1.478e-12,3.454e+0,1.168e-13,6.124e-13,1.975e-15,5.590e-9,,4.962e-22,,9.757e-14,3.606e-12,1.341e-27,2.531e-1,1.636e-18,2.413e+2,2.570e-15,2.639e-22,3.685e-12,8.251e-19,1.175e-14,3.192e-17,1.419e-1,8.529e-16,
359.07,2.030e+2,5.191e-30,7.276e-28,,1.246e-14,6.898e-17,,1.478e-12,2.621e+0,2.771e-13,6.125e-13,1.977e-15,5.568e-9,,5.072e-22,,9.767e-14,3.603e-12,1.340e-27,3.615e-1,1.636e-18,1.998e+2,2.558e-15,2.636e-22,3.683e-12,8.250e-19,1.175e-14,3.192e-17,1.393e-1,8.640e-16,
359.09,1.800e+2,5.190e-30,7.234e-28,,1.234e-14,6.902e-17,,1.479e-12,2.153e+0,4.864e-13,6.126e-13,1.979e-15,5.482e-9,,5.146e-22,,9.773e-14,3.601e-12,1.340e-27,4.525e-1,1.635e-18,1.772e+2,2.549e-15,2.635e-22,3.681e-12,8.250e-19,1.175e-14,3.192e-17,1.364e-1,8.714e-16,
359.12,1.526e+2,5.189e-30,7.171e-28,,1.216e-14,6.907e-17,,1.479e-12,1.572e+0,1.109e-12,6.128e-13,1.981e-15,5.250e-9,,5.257e-22,,9.783e-14,3.598e-12,1.339e-27,6.215e-1,1.635e-18,1.503e+2,2.536e-15,2.632e-22,3.678e-12,8.250e-19,1.175e-14,3.191e-17,1.305e-1,8.824e-16,
359.14,1.388e+2,5.188e-30,7.128e-28,,1.204e-14,6.911e-17,,1.480e-12,1.259e+0,1.897e-12,6.129e-13,1.982e-15,5.035e-9,,5.330e-22,,9.789e-14,3.596e-12,1.338e-27,7.579e-1,1.635e-18,1.366e+2,2.528e-15,2.631e-22,3.677e-12,8.250e-19,1.175e-14,3.191e-17,1.258e-1,8.898e-16,
359.17,1.240e+2,5.186e-30,7.065e-28,,1.186e-14,6.917e-17,,1.481e-12,8.848e-1,4.162e-12,6.130e-13,1.984e-15,4.636e-9,,5.441e-22,,9.798e-14,3.593e-12,1.337e-27,1.001e+0,1.635e-18,1.220e+2,2.515e-15,2.629e-22,3.674e-12,8.249e-19,1.175e-14,3.191e-17,1.179e-1,9.009e-16,
359.19,1.176e+2,5.185e-30,7.023e-28,,1.173e-14,6.921e-17,,1.481e-12,6.905e-1,6.935e-12,6.131e-13,1.986e-15,4.331e-9,,5.515e-22,,9.805e-14,3.590e-12,1.336e-27,1.189e+0,1.635e-18,1.156e+2,2.507e-15,2.627e-22,3.672e-12,8.249e-19,1.175e-14,3.190e-17,1.124e-1,9.083e-16,
359.22,1.127e+2,5.184e-30,6.959e-28,,1.155e-14,6.927e-17,,1.482e-12,4.671e-1,1.463e-11,6.132e-13,1.988e-15,3.835e-9,,5.625e-22,,9.814e-14,3.587e-12,1.335e-27,1.510e+0,1.634e-18,1.106e+2,2.494e-15,2.625e-22,3.670e-12,8.249e-19,1.175e-14,3.190e-17,1.040e-1,9.193e-16,
359.24,1.119e+2,5.183e-30,6.917e-28,,1.143e-14,6.930e-17,,1.482e-12,3.553e-1,2.376e-11,6.133e-13,1.989e-15,3.490e-9,,1.330e-21,,9.820e-14,3.585e-12,1.335e-27,1.748e+0,1.634e-18,1.097e+2,2.485e-15,2.623e-22,3.668e-12,8.249e-19,1.175e-14,3.190e-17,9.866e-2,9.267e-16,
359.27,1.138e+2,5.182e-30,6.854e-28,,1.125e-14,6.936e-17,,1.483e-12,2.313e-1,4.820e-11,6.135e-13,1.991e-15,2.971e-9,,4.739e-21,,9.830e-14,3.582e-12,1.334e-27,2.134e+0,1.634e-18,1.114e+2,2.473e-15,2.621e-22,3.665e-12,8.249e-19,1.175e-14,3.189e-17,9.142e-2,9.378e-16,
359.29,1.166e+2,5.181e-30,6.811e-28,,1.113e-14,6.940e-17,,1.483e-12,1.715e-1,7.625e-11,6.136e-13,1.993e-15,2.634e-9,,1.092e-20,,9.836e-14,3.580e-12,1.333e-27,2.407e+0,1.634e-18,1.139e+2,2.464e-15,2.620e-22,3.663e-12,8.248e-19,1.175e-14,3.189e-17,8.730e-2,9.452e-16,
359.31,1.201e+2,5.180e-30,6.769e-28,,1.100e-14,6.944e-17,,1.484e-12,1.259e-1,1.194e-10,6.137e-13,1.994e-15,2.311e-9,,2.488e-20,,9.842e-14,3.578e-12,1.333e-27,2.686e+0,1.634e-18,1.172e+2,2.456e-15,2.618e-22,3.662e-12,8.248e-19,1.175e-14,3.189e-17,8.387e-2,9.526e-16,
359.34,1.262e+2,5.179e-30,6.706e-28,,1.082e-14,6.950e-17,,1.484e-12,7.765e-2,2.294e-10,6.138e-13,1.996e-15,1.862e-9,,8.400e-20,,9.852e-14,3.575e-12,1.332e-27,3.105e+0,1.633e-18,1.229e+2,2.443e-15,2.616e-22,3.659e-12,8.248e-19,1.174e-14,3.188e-17,8.021e-2,9.636e-16,
359.36,1.303e+2,5.178e-30,6.663e-28,,1.070e-14,6.953e-17,,1.485e-12,5.555e-2,3.499e-10,6.139e-13,1.998e-15,1.591e-9,,1.866e-19,,9.858e-14,3.572e-12,1.331e-27,3.375e+0,1.633e-18,1.267e+2,2.434e-15,2.614e-22,3.657e-12,8.248e-19,1.174e-14,3.188e-17,7.882e-2,9.710e-16,
359.39,1.357e+2,5.177e-30,6.600e-28,,1.052e-14,6.959e-17,,1.485e-12,3.297e-2,6.466e-10,6.140e-13,2.000e-15,1.233e-9,,6.058e-19,,9.867e-14,3.569e-12,1.330e-27,3.752e+0,1.633e-18,1.318e+2,2.422e-15,2.612e-22,3.655e-12,8.248e-19,1.174e-14,3.188e-17,7.833e-2,9.821e-16,
359.41,1.385e+2,5.176e-30,6.558e-28,,1.040e-14,6.963e-17,,1.486e-12,2.299e-2,9.611e-10,6.141e-13,2.001e-15,1.026e-9,,1.311e-18,,9.874e-14,3.567e-12,1.330e-27,3.974e+0,1.633e-18,1.344e+2,2.413e-15,2.610e-22,3.653e-12,8.247e-19,1.174e-14,3.187e-17,7.906e-2,9.895e-16,
359.44,1.410e+2,5.174e-30,6.494e-28,,1.021e-14,6.969e-17,,1.486e-12,1.313e-2,1.708e-9,6.143e-13,2.003e-15,7.645e-10,,4.095e-18,,9.883e-14,3.564e-12,1.329e-27,4.248e+0,1.633e-18,1.367e+2,2.400e-15,2.608e-22,3.650e-12,8.247e-19,1.174e-14,3.187e-17,8.164e-2,1.001e-15,
359.46,1.414e+2,5.174e-30,6.452e-28,,1.009e-14,6.973e-17,,1.487e-12,8.926e-3,2.474e-9,6.144e-13,2.005e-15,6.200e-10,,8.636e-18,,9.889e-14,3.562e-12,1.328e-27,4.384e+0,1.632e-18,1.369e+2,2.392e-15,2.607e-22,3.648e-12,8.247e-19,1.174e-14,3.187e-17,8.427e-2,1.008e-15,
359.49,1.398e+2,5.172e-30,6.389e-28,,9.910e-15,6.978e-17,,1.488e-12,4.906e-3,4.228e-9,6.145e-13,2.007e-15,4.441e-10,,2.594e-17,,9.899e-14,3.559e-12,1.327e-27,4.507e+0,1.632e-18,1.352e+2,2.379e-15,2.604e-22,3.646e-12,8.247e-19,1.174e-14,3.186e-17,8.948e-2,1.019e-15,
