idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[3, 5, 6]",3,"[344.15000000000003, 346.22, 384.802]","[0.56, 0.54, 0.466]","[3.6308435655999998, 3.5799373775999994, 3.2210028796]","[5.0, 11.0, 7.0]","[0.05780942546276205, 0.09240880258625578, -0.1502182280490179]",0.1502182280490179
"[4, 5, 6]",3,"[345.366, 346.22, 384.802]","[0.266, 0.54, 0.466]","[3.6181566921999995, 3.5799373775999994, 3.2210028796]","[9.0, 11.0, 7.0]","[0.049701626200447935, 0.10009385262571824, -0.14979547882616606]",0.14979547882616606
"[0, 1, 2, 3]",4,"[313.12600000000003, 336.261, 342.50800000000004, 344.15000000000003]","[1.06, 0.934, 0.652, 0.56]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.6308435655999998]","[11.0, 5.0, 7.0, 5.0]","[0.12131821053307196, -0.02700327788584464, -0.05534359558873059, -0.03897133705849683]",0.12131821053307196
"[0, 1, 2, 4]",4,"[313.12600000000003, 336.261, 342.50800000000004, 345.366]","[1.06, 0.934, 0.652, 0.266]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.6181566921999995]","[11.0, 5.0, 7.0, 9.0]","[0.12262856982009179, -0.028057685626323298, -0.05697620154735747, -0.037594682646411026]",0.12262856982009179
"[0, 1, 2, 5]",4,"[313.12600000000003, 336.261, 342.50800000000004, 346.22]","[1.06, 0.934, 0.652, 0.54]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.5799373775999994]","[11.0, 5.0, 7.0, 11.0]","[0.12546471862484443, -0.01072112792508445, -0.033892509313246166, -0.08085108138651392]",0.12546471862484443
"[0, 1, 2, 6]",4,"[313.12600000000003, 336.261, 342.50800000000004, 384.802]","[1.06, 0.934, 0.652, 0.466]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.2210028796]","[11.0, 5.0, 7.0, 7.0]","[0.17918063797884715, 0.015025222061207127, -0.007244728970399961, -0.18696113106965434]",0.18696113106965434
"[0, 1, 3, 4]",4,"[313.12600000000003, 336.261, 344.15000000000003, 345.366]","[1.06, 0.934, 0.56, 0.266]","[3.9582871436, 3.7153297365999993, 3.6308435655999998, 3.6181566921999995]","[11.0, 5.0, 5.0, 9.0]","[0.12587055718568219, -0.03520444624598465, -0.04688776194877678, -0.04377834899092077]",0.12587055718568219
"[0, 1, 3, 5]",4,"[313.12600000000003, 336.261, 344.15000000000003, 346.22]","[1.06, 0.934, 0.56, 0.54]","[3.9582871436, 3.7153297365999993, 3.6308435655999998, 3.5799373775999994]","[11.0, 5.0, 5.0, 11.0]","[0.1315509240762382, -0.01346354572646466, -0.02805590272132573, -0.09003147562844782]",0.1315509240762382
"[0, 1, 3, 6]",4,"[313.12600000000003, 336.261, 344.15000000000003, 384.802]","[1.06, 0.934, 0.56, 0.466]","[3.9582871436, 3.7153297365999993, 3.6308435655999998, 3.2210028796]","[11.0, 5.0, 5.0, 7.0]","[0.19390636163440944, 0.0164447867696996, -0.008769340027886402, -0.20158180837622255]",0.20158180837622255
"[0, 1, 4, 5]",4,"[313.12600000000003, 336.261, 345.366, 346.22]","[1.06, 0.934, 0.266, 0.54]","[3.9582871436, 3.7153297365999993, 3.6181566921999995, 3.5799373775999994]","[11.0, 5.0, 9.0, 11.0]","[0.133373597474938, -0.01394264859382896, -0.02745982213079938, -0.09197112675030972]",0.133373597474938
"[0, 1, 4, 6]",4,"[313.12600000000003, 336.261, 345.366, 384.802]","[1.06, 0.934, 0.266, 0.466]","[3.9582871436, 3.7153297365999993, 3.6181566921999995, 3.2210028796]","[11.0, 5.0, 9.0, 7.0]","[0.19795684824742021, 0.01703372606741385, -0.010186997772853201, -0.20480357654198084]",0.20480357654198084
"[0, 1, 5, 6]",4,"[313.12600000000003, 336.261, 346.22, 384.802]","[1.06, 0.934, 0.54, 0.466]","[3.9582871436, 3.7153297365999993, 3.5799373775999994, 3.2210028796]","[11.0, 5.0, 11.0, 7.0]","[0.17659847583658747, 0.019664829951230728, -0.03156634353988544, -0.1646969622479327]",0.17659847583658747
"[0, 2, 3, 4]",4,"[313.12600000000003, 342.50800000000004, 344.15000000000003, 345.366]","[1.06, 0.652, 0.56, 0.266]","[3.9582871436, 3.6481090203999997, 3.6308435655999998, 3.6181566921999995]","[11.0, 7.0, 5.0, 9.0]","[0.138181483941413, -0.058207045647288846, -0.041192234280548995, -0.03878220401357499]",0.138181483941413
"[0, 2, 3, 5]",4,"[313.12600000000003, 342.50800000000004, 344.15000000000003, 346.22]","[1.06, 0.652, 0.56, 0.54]","[3.9582871436, 3.6481090203999997, 3.6308435655999998, 3.5799373775999994]","[11.0, 7.0, 5.0, 11.0]","[0.13919045660044727, -0.0329964798316659, -0.024526946846640432, -0.08166702992214109]",0.13919045660044727
"[0, 2, 3, 6]",4,"[313.12600000000003, 342.50800000000004, 344.15000000000003, 384.802]","[1.06, 0.652, 0.56, 0.466]","[3.9582871436, 3.6481090203999997, 3.6308435655999998, 3.2210028796]","[11.0, 7.0, 5.0, 7.0]","[0.20094759727802397, -0.002488084304570176, -0.005529187626839793, -0.19293032534661408]",0.20094759727802397
"[0, 2, 4, 5]",4,"[313.12600000000003, 342.50800000000004, 345.366, 346.22]","[1.06, 0.652, 0.266, 0.54]","[3.9582871436, 3.6481090203999997, 3.6181566921999995, 3.5799373775999994]","[11.0, 7.0, 9.0, 11.0]","[0.14128736737082492, -0.033728011550409026, -0.02425314840292163, -0.08330620741749423]",0.14128736737082492
"[0, 2, 4, 6]",4,"[313.12600000000003, 342.50800000000004, 345.366, 384.802]","[1.06, 0.652, 0.266, 0.466]","[3.9582871436, 3.6481090203999997, 3.6181566921999995, 3.2210028796]","[11.0, 7.0, 9.0, 7.0]","[0.2052405543492784, -0.0021382156745322345, -0.007247442937491827, -0.19585489573725423]",0.2052405543492784
"[0, 2, 5, 6]",4,"[313.12600000000003, 342.50800000000004, 346.22, 384.802]","[1.06, 0.652, 0.54, 0.466]","[3.9582871436, 3.6481090203999997, 3.5799373775999994, 3.2210028796]","[11.0, 7.0, 11.0, 7.0]","[0.1816029228730185, 0.0030706556601394486, -0.02611593483004268, -0.15855764370311543]",0.1816029228730185
"[0, 3, 4, 5]",4,"[313.12600000000003, 344.15000000000003, 345.366, 346.22]","[1.06, 0.56, 0.266, 0.54]","[3.9582871436, 3.6308435655999998, 3.6181566921999995, 3.5799373775999994]","[11.0, 5.0, 9.0, 11.0]","[0.1493860435635181, -0.02850930840006355, -0.027467759454652102, -0.0934089757088023]",0.1493860435635181
"[0, 3, 4, 6]",4,"[313.12600000000003, 344.15000000000003, 345.366, 384.802]","[1.06, 0.56, 0.266, 0.466]","[3.9582871436, 3.6308435655999998, 3.6181566921999995, 3.2210028796]","[11.0, 5.0, 9.0, 7.0]","[0.22468037225115262, -0.005334790078584645, -0.007432685007864412, -0.21191289716470374]",0.22468037225115262
"[0, 3, 5, 6]",4,"[313.12600000000003, 344.15000000000003, 346.22, 384.802]","[1.06, 0.56, 0.54, 0.466]","[3.9582871436, 3.6308435655999998, 3.5799373775999994, 3.2210028796]","[11.0, 5.0, 11.0, 7.0]","[0.19651069511878932, -0.0009920429542537162, -0.026663601531918102, -0.1688550506326176]",0.19651069511878932
"[0, 4, 5, 6]",4,"[313.12600000000003, 345.366, 346.22, 384.802]","[1.06, 0.266, 0.54, 0.466]","[3.9582871436, 3.6181566921999995, 3.5799373775999994, 3.2210028796]","[11.0, 9.0, 11.0, 7.0]","[0.20052382367755756, -0.0029988836286812814, -0.02647321571436173, -0.1710517243345146]",0.20052382367755756
"[1, 2, 3, 4]",4,"[336.261, 342.50800000000004, 344.15000000000003, 345.366]","[0.934, 0.652, 0.56, 0.266]","[3.7153297365999993, 3.6481090203999997, 3.6308435655999998, 3.6181566921999995]","[5.0, 7.0, 5.0, 9.0]","[0.029322360233295153, -0.00654209983993187, -0.010134053058202142, -0.012646207335161114]",0.029322360233295153
