idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 3, 4, 5, 9, 10]",6,"[281.394, 368.84200000000004, 372.494, 381.96700000000004, 420.50500000000005, 443.55600000000004]","[0.55, 0.13, 0.45, 1.27, 0.71, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.2449074634, 2.9475352343999996, 3.0012904828]","[9.0, 7.0, 9.0, 11.0, 7.0, 9.0]","[0.09856527183039657, 0.006354885914100498, 0.02254047273154959, 0.020767206917792436, -0.10638880095103037, -0.04183903644280851]",0.10638880095103037
"[1, 3, 4, 6, 7, 8]",6,"[281.394, 368.84200000000004, 372.494, 393.048, 397.196, 412.97]","[0.55, 0.13, 0.45, 1.07, 0.89, 0.68]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3603625985999996, 3.3274372299999997, 3.0012904828]","[9.0, 7.0, 9.0, 7.0, 9.0, 9.0]","[0.10128296718248202, 0.003249444187614428, 0.007387734892838865, 0.025098298770348776, 0.013702607276139478, -0.15072105230942345]",0.15072105230942345
"[1, 3, 4, 6, 7, 9]",6,"[281.394, 368.84200000000004, 372.494, 393.048, 397.196, 420.50500000000005]","[0.55, 0.13, 0.45, 1.07, 0.89, 0.71]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3603625985999996, 3.3274372299999997, 2.9475352343999996]","[9.0, 7.0, 9.0, 7.0, 9.0, 7.0]","[0.10556223965762648, 0.0034916418634446528, 0.008204288053118486, 0.026969003198090813, 0.015217132017173118, -0.15944430478945348]",0.15944430478945348
"[1, 3, 4, 6, 7, 10]",6,"[281.394, 368.84200000000004, 372.494, 393.048, 397.196, 443.55600000000004]","[0.55, 0.13, 0.45, 1.07, 0.89, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3603625985999996, 3.3274372299999997, 3.0012904828]","[9.0, 7.0, 9.0, 7.0, 9.0, 9.0]","[0.1141878210826522, 0.0002729601487241051, -0.007973368890142135, 0.0021083099045643428, -0.014788828261191544, -0.09380689398460691]",0.1141878210826522
"[1, 3, 4, 6, 8, 9]",6,"[281.394, 368.84200000000004, 372.494, 393.048, 412.97, 420.50500000000005]","[0.55, 0.13, 0.45, 1.07, 0.68, 0.71]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3603625985999996, 3.0012904828, 2.9475352343999996]","[9.0, 7.0, 9.0, 7.0, 9.0, 7.0]","[0.11153296531688715, 0.007950638118635743, 0.029158703225565394, 0.06140973021695159, -0.10009586950649466, -0.10995616737154523]",0.11153296531688715
"[1, 3, 4, 6, 8, 10]",6,"[281.394, 368.84200000000004, 372.494, 393.048, 412.97, 443.55600000000004]","[0.55, 0.13, 0.45, 1.07, 0.68, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3603625985999996, 3.0012904828, 3.0012904828]","[9.0, 7.0, 9.0, 7.0, 9.0, 9.0]","[0.12202799846835968, 0.006589302056478223, 0.021759599210455283, 0.05089494145858153, -0.14129829318238307, -0.05997354801149156]",0.14129829318238307
"[1, 3, 4, 6, 9, 10]",6,"[281.394, 368.84200000000004, 372.494, 393.048, 420.50500000000005, 443.55600000000004]","[0.55, 0.13, 0.45, 1.07, 0.71, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3603625985999996, 2.9475352343999996, 3.0012904828]","[9.0, 7.0, 9.0, 7.0, 7.0, 9.0]","[0.12826534369427353, 0.007174882038601844, 0.024067987790481332, 0.055417887690830475, -0.15347801220801752, -0.06144808900616944]",0.15347801220801752
"[1, 3, 4, 7, 8, 9]",6,"[281.394, 368.84200000000004, 372.494, 397.196, 412.97, 420.50500000000005]","[0.55, 0.13, 0.45, 0.89, 0.68, 0.71]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3274372299999997, 3.0012904828, 2.9475352343999996]","[9.0, 7.0, 9.0, 9.0, 9.0, 7.0]","[0.10947001382631652, 0.00796881162284602, 0.029413846510919217, 0.054556151928306984, -0.09575491365099584, -0.10565391023739287]",0.10947001382631652
"[1, 3, 4, 7, 8, 10]",6,"[281.394, 368.84200000000004, 372.494, 397.196, 412.97, 443.55600000000004]","[0.55, 0.13, 0.45, 0.89, 0.68, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3274372299999997, 3.0012904828, 3.0012904828]","[9.0, 7.0, 9.0, 9.0, 9.0, 9.0]","[0.11959001980196268, 0.006742971708029292, 0.02269673899278557, 0.04209740947372759, -0.13417643769401993, -0.05695070228248525]",0.13417643769401993
"[1, 3, 4, 7, 9, 10]",6,"[281.394, 368.84200000000004, 372.494, 397.196, 420.50500000000005, 443.55600000000004]","[0.55, 0.13, 0.45, 0.89, 0.71, 0.31]","[4.404639939599999, 3.3603625985999996, 3.3274372299999997, 3.3274372299999997, 2.9475352343999996, 3.0012904828]","[9.0, 7.0, 9.0, 9.0, 7.0, 9.0]","[0.12557062470368005, 0.007326885279280104, 0.025017993348997042, 0.046402820711754666, -0.14609726444105553, -0.05822105960265643]",0.14609726444105553
