Ti II ,223.838959, ,69 622.3000 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,223.8743, ,45 040.955  ,4,,,,,,,,,,,,,,,
Ti III ,223.962, ,128 433.40   ,1,,,,,,,,,,,,,,,
Ti II ,224.0573, ,75 825.1131 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,224.4675, ,44 922.979  ,3,,,,,,,,,,,,,,,
Ti XVI , ,5.40E-02,633 660      , 1/2 ,,,,,,,,,,,,,,,
Ti II ,225.006765, ,69 622.3000 , 5/2 ,,,,,,,,,,,,,,,
Ti XIII , ,2.90E+02,3 753 600      ,1,,,,,,,,,,,,,,,
Ti II ,225.326385, ,69 327.5102 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,225.96466, ,73 975.618  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,226.118976, ,59 468.374  , 7/2 ,,,,,,,,,,,,,,,
Ti II ,226.16071, ,59 468.374  , 7/2 ,,,,,,,,,,,,,,,
Ti I ,226.178, ,44 369.406  ,4,,,,,,,,,,,,,,,
Ti I ,226.4016,2.30E+07,44 155.596  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,226.50981, ,69 327.5102 , 3/2 ,,,,,,,,,,,,,,,
Ti I ,226.6148, ,44 284.231  ,3,,,,,,,,,,,,,,,
Ti II ,226.675, ,52 847.1337 , 7/2 ,,,,,,,,,,,,,,,
Ti I ,226.7367, ,44 477.256  ,5,,,,,,,,,,,,,,,
Ti I ,226.7545, ,44 257.098  ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,226.7914, ,44 079.761  ,2,,,,,,,,,,,,,,,
Ti I ,226.8751, ,44 233.620  ,3,,,,,,,,,,,,,,,
Ti II ,226.911243, ,59 322.173  , 5/2 ,,,,,,,,,,,,,,,
Ti I ,227.2612, ,44 375.500  ,5,,,,,,,,,,,,,,,
Ti I ,227.2773, ,44 155.596  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,227.2927, ,44 369.406  ,4,,,,,,,,,,,,,,,
Ti I ,227.3279, ,43 975.715  ,1,,,,,,,,,,,,,,,
Ti II ,227.405, ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,227.613, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,227.625, ,44 902.4455 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,227.6702,1.30E+08,44 079.761  ,2,,,,,,,,,,,,,,,
Ti II ,227.789, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti I ,227.8747, ,44 257.098  ,4,,,,,,,,,,,,,,,
Ti I ,227.9967,9.40E+07,44 233.620  ,3,,,,,,,,,,,,,,,
Ti XVI , ,1.40E+03,1 020 500      , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,228.10278, ,76 358.7220 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,228.162, ,44 902.4455 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,228.21332, ,76 407.7595 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,228.44, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,228.48196, ,76 285.981  , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,228.521, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,228.536381, ,76 441.3150 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,228.5552, ,83 666.406  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,228.610532, ,76 496.2220 , 9/2 ,,,,,,,,,,,,,,,
Ti II ,228.61816, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,228.635, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,228.71737, ,76 311.242  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,228.74479, ,74 910.8726 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,228.89791, ,76 441.3150 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,228.93797, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,229.03972, ,76 345.1973 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,229.135, ,52 339.242  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,229.16, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,229.17536, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,229.18, ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,229.18545, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,229.356, ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,229.35887, ,83 661.0179 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,229.3747, ,43 583.355  ,3,,,,,,,,,,,,,,,
Ti II ,229.398, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,229.4205, ,43 744.793  ,4,,,,,,,,,,,,,,,
Ti II ,229.432, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,,
Ti II ,229.458, ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,229.656, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,,
Ti I ,229.9858,6.90E+07,43 467.537  ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,230.10679, ,83 519.365  , 7/2 ,,,,,,,,,,,,,,,
Ti II ,230.25287, ,74 908.058  , 9/2 ,,,,,,,,,,,,,,,
Ti I ,230.2736,5.70E+07,43 583.355  ,3,,,,,,,,,,,,,,,
Ti I ,230.5674,5.20E+07,43 744.793  ,4,,,,,,,,,,,,,,,
Ti II ,230.723, ,52 847.1337 , 7/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,230.779, ,83 245.315  , 5/2 ,,,,,,,,,,,,,,,
Ti I ,230.8898, ,43 467.537  ,2,,,,,,,,,,,,,,,
Ti II ,231.221, ,83 661.0179 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,231.221, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti I ,231.4292, ,43 583.355  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,231.479, ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,231.878, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,231.97, ,52 459.395  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,232.074, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,232.143, ,52 459.395  , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,232.50623, ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,232.618, ,52 339.242  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,232.667, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,,
Ti III ,232.7019, ,81 024.47   ,2,,,,,,,,,,,,,,,
Ti II ,232.735, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,232.792, ,52 339.242  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,232.841, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,,
Ti I ,232.8798, ,42 927.337  ,2,,,,,,,,,,,,,,,
Ti II ,232.898, ,59 440.190  , 1/2 ,,,,,,,,,,,,,,,
Ti III ,233.1352,4.30E+08,80 944.87   ,0,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti III ,233.166,1.20E+08,80 939.19   ,1,,,,,,,,,,,,,,,
Ti II ,233.182, ,59 387.976  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,233.366, ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,,
Ti III ,233.434,7.70E+07,81 024.47   ,2,,,,,,,,,,,,,,,
Ti II ,233.451415, ,52 847.1337 , 7/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,233.492, ,59 440.190  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,233.74747, ,73 975.618  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,233.778, ,59 387.976  , 3/2 ,,,,,,,,,,,,,,,
Ti III ,233.9,3.00E+08,80 939.19   ,1,,,,,,,,,,,,,,,
Ti II ,233.971, ,47 625.0485 , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,234.11972, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,234.227594, ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,234.367, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti XIX ,234.46,1.04E+03,347 260      ,2,,,,,,,,,,,,,,,
Ti II ,234.61205, ,77 359.019  , 7/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,234.624, ,52 459.395  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,234.63638, ,52 630.881  , 5/2 ,,,,,,,,,,,,,,,
Ti III ,234.6786,3.30E+08,81 024.47   ,2,,,,,,,,,,,,,,,
Ti II ,234.72, ,74 378.721  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,234.74436, ,52 459.395  , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,234.81954, ,74 063.7771 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,234.84064, ,47 466.7479 , 7/2 ,,,,,,,,,,,,,,,
Ti II ,234.994769, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,235.06386, ,52 459.395  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,235.243, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,235.286, ,82 914.301  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,235.40859, ,52 339.242  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,235.46045, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,,
Ti II ,235.51529, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,,
Ti II ,235.585, ,52 459.395  , 3/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti II ,235.729, ,52 339.242  , 1/2 ,,,,,,,,,,,,,,,
Ti II ,235.78181, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,,
Ti IV ,235.9142, ,278 510.63   , 7/2 ,,,,,,,,,,,,,,,
Ti II ,235.94537, ,74 645.2073 , 5/2 ,,,,,,,,,,,,,,,
Ti IV ,235.9499, ,278 511.23   , 9/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti XV , ,5.50E-02,42 345      ,0,,,,,,,,,,,,,,,
Ti II ,236.265648, ,74 645.2073 , 5/2 ,,,,,,,,,,,,,,,
Ti II ,236.303, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,,
Ti I ,236.5034, ,42 269.727  ,2,,,,,,,,,,,,,,,
Ti II ,236.78795, ,73 975.618  , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ti I ,236.8567, ,42 206.755  ,2,,,,,,,,,,,,,,,
