Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,279.6346,1.28E+08,383 094.79  ,6,,,,,,,,,,,,,,,
Ca III ,279.7203,1.04E+08,383 156.51  ,4,,,,,,,,,,,,,,,
Ca III ,279.9386,1.25E+08,383 095.10  ,5,,,,,,,,,,,,,,,
Ca III ,281.3877,9.50E+07,281 139.55  ,1,,,,,,,,,,,,,,,
Ca III ,281.5391,1.14E+08,386 249.78  ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,281.854,1.19E+08,386 248.39  ,4,,,,,,,,,,,,,,,
Ca III ,282.0573,1.23E+08,386 248.68  ,5,,,,,,,,,,,,,,,
Ca III ,282.4116,9.10E+07,383 157.11  ,3,,,,,,,,,,,,,,,
Ca III ,282.8001,1.10E+08,386 250.31  ,3,,,,,,,,,,,,,,,
Ca III ,284.3169,1.07E+08,383 189.82  ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,284.5058,1.10E+08,383 190.20  ,5,,,,,,,,,,,,,,,
Ca III ,286.6538,1.02E+08,282 571.43  ,1,,,,,,,,,,,,,,,
Ca III ,286.9945,8.50E+07,277 380.86  ,2,,,,,,,,,,,,,,,
Ca III ,288.1782,1.67E+08,278 621.01  ,1,,,,,,,,,,,,,,,
Ca III ,289.9785,2.50E+08,277 022.40  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,290.7918,1.70E+07,282 075.15  ,0,,,,,,,,,,,,,,,
Ca III ,292.4326,1.39E+08,281 882.24  ,2,,,,,,,,,,,,,,,
Ca III ,298.863,1.50E+08,277 380.86  ,2,,,,,,,,,,,,,,,
Ca III ,298.9274,1.24E+08,281 139.55  ,1,,,,,,,,,,,,,,,
Ca I ,299.496,3.67E+07,48 537.623 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,299.731,2.41E+07,48 563.522 ,2,,,,,,,,,,,,,,,
Ca I ,299.964,2.79E+07,48 537.623 ,1,,,,,,,,,,,,,,,
Ca I ,300.086,1.58E+08,48 524.093 ,0,,,,,,,,,,,,,,,
