Ion, Observed , Aki, Ek ,J
Fe I ,296.7173, ,53 313.438  ,5
Fe II ,296.7258, ,103 118.421  , 3/2 
 , , , , 
Fe II ,296.7455, ,98 114.577  , 3/2 
Fe II ,296.76827,8.30E+07,109 601.572  , 3/2 
Fe II ,296.7727,2.60E+06,104 209.618  , 5/2 
Fe II ,296.7958, ,83 871.208  , 9/2 
Fe II ,296.824, ,113 858.233  , 3/2 
 , , , , 
Fe I ,296.8332, ,53 069.357  ,6
Fe I ,296.84776,8.26E+06,53 229.941  ,1
Fe I ,296.8566, ,56 673.145  ,4
Fe II ,296.8742,2.40E+05,60 989.444  , 9/2 
Fe II ,296.8873,7.30E+07,99 921.670  , 1/2 
 , , , , 
Fe II ,296.8977, ,103 986.338  , 7/2 
Fe II ,296.9147, ,99 918.563  , 3/2 
Fe II ,296.926, ,92 300.269  , 9/2 
Fe I ,296.9359, ,54 706.387  ,2
Fe I ,296.93596,3.66E+06,34 555.597  ,0
 , , , , 
Fe I ,296.94744,2.10E+06,40 594.432  ,4
Fe II ,296.993583,2.30E+07,64 425.405  , 5/2 
Fe I ,297.00992,1.08E+07,34 547.211  ,2
Fe I ,297.01058, ,53 696.867  ,1
Fe I ,297.01179,3.43E+06,34 362.873  ,1
 , , , , 
Fe II ,297.0245, ,106 846.649  , 3/2 
Fe I ,297.0359, ,54 530.653  ,2
Fe I ,297.0359, ,55 905.536  ,4
Fe II ,297.05145,2.70E+06,42 334.8444 , 5/2 
Fe II ,297.0608, ,106 796.679  , 5/2 
 , , , , 
Fe II ,297.06935,4.20E+06,64 040.891  , 7/2 
Fe I ,297.0917, ,57 361.366  ,3
Fe I ,297.097, ,60 128.60   ,2
Fe I ,297.1092, ,54 289.034  ,3
Fe II ,297.1175, ,94 031.370  , 1/2 
 , , , , 
Fe II ,297.1621, ,99 573.244  , 9/2 
Fe II ,297.1621, ,60 956.781  , 7/2 
Fe I ,297.176, ,59 780.484  ,2
Fe II ,297.1895, ,106 654.923  , 5/2 
Fe I ,297.1936, ,51 365.311  ,3
 , , , , 
Fe II ,297.2009,1.40E+06,78 844.031  , 1/2 
Fe I ,297.22782, ,51 361.391  ,3
Fe II ,297.2416,4.00E+05,105 763.286  , 11/2 
Fe I ,297.2416, ,59 532.84   ,4
Fe II ,297.2615, ,106 722.187  , 9/2 
 , , , , 
Fe II ,297.2748,9.00E+05,77 861.650  , 9/2 
Fe I ,297.2774, ,59 968.52   ,1
Fe I ,297.2856, ,60 178.254  ,1
Fe I ,297.31322,1.35E+07,34 328.752  ,3
Fe I ,297.32352,1.83E+07,34 039.516  ,4
 , , , , 
Fe II ,297.338, ,103 936.602  , 11/2 
Fe III ,297.3893, ,116 975.21   ,2
Fe I ,297.391, ,56 726.892  ,3
Fe I ,297.4483, ,56 720.409  ,2
Fe II ,297.4628, ,108 105.938  , 3/2 
 , , , , 
Fe I ,297.47776, ,56 452.018  ,4
Fe I ,297.47776, ,60 085.504  ,2
Fe I ,297.5287, ,53 388.637  ,4
Fe II ,297.5526, ,112 882.497  , 5/2 
Fe II ,297.5621, ,104 120.244  , 5/2 
 , , , , 
Fe I ,297.5648, ,54 237.415  ,4
Fe II ,297.5933,9.00E+05,42 439.8511 , 1/2 
Fe I ,297.61264,9.70E+06,51 969.101  ,3
Fe II ,297.637, ,113 766.072  , 5/2 
Fe I ,297.6505, ,45 562.974  ,3
 , , , , 
Fe I ,297.65498, ,56 432.021  ,5
Fe I ,297.6585, ,59 725.904  ,4
Fe I ,297.6907, ,56 427.977  ,6
Fe III ,297.7219, ,116 937.86   ,1
Fe II ,297.735, ,91 070.566  , 5/2 
 , , , , 
Fe III ,297.7569, ,118 246.74   ,3
Fe II ,297.772, ,87 636.30   , 1/2 
Fe I ,297.805, ,53 357.515  ,3
Fe III ,297.8092, ,213 458.03   ,7
Fe I ,297.8196, ,51 945.817  ,1
 , , , , 
Fe I ,297.8282, ,51 944.784  ,2
Fe I ,297.8502, ,54 603.140  ,1
Fe I ,297.8555, ,59 463.514  ,5
Fe I ,297.8674, ,56 673.145  ,4
Fe II ,297.8848,7.20E+05,63 948.803  , 9/2 
 , , , , 
Fe II ,297.9073,9.00E+06,78 487.144  , 3/2 
Fe II ,297.9125,5.00E+05,65 556.271  , 9/2 
Fe II ,297.93532,1.60E+06,42 401.3198 , 3/2 
Fe I ,297.9408, ,56 550.634  ,5
Fe II ,297.9563, ,122 166.779  , 9/2 
 , , , , 
Fe II ,298.0001, ,93 988.181  , 5/2 
Fe I ,298.0211, ,60 172.464  ,3
Fe II ,298.0211, ,112 876.116  , 7/2 
Fe I ,298.0409, ,56 735.158  ,1
Fe I ,298.05322,1.66E+07,55 790.696  ,3
 , , , , 
Fe I ,298.0592, ,53 328.835  ,4
Fe II ,298.0592, ,109 455.629  , 5/2 
Fe II ,298.0647,1.60E+06,92 171.690  , 9/2 
Fe III ,298.0716, ,116 898.44   ,2
Fe II ,298.0925, ,105 775.517  , 7/2 
 , , , , 
Fe II ,298.0959,1.10E+06,61 156.827  , 7/2 
Fe I ,298.114, ,56 726.892  ,3
Fe I ,298.14448,6.53E+06,33 946.933  ,2
Fe I ,298.1722, ,56 720.409  ,2
Fe I ,298.18507,1.86E+07,51 076.628  ,4
 , , , , 
Fe I ,298.18507, ,55 525.562  ,5
Fe I ,298.197, ,53 313.438  ,5
Fe I ,298.2015, ,59 664.704  ,4
Fe II ,298.2061,2.40E+07,69 650.481  , 5/2 
Fe I ,298.2228,3.47E+06,57 641.001  ,3
 , , , , 
Fe II ,298.2255,1.20E+06,64 286.354  , 7/2 
Fe I ,298.238, ,59 999.79   ,1
Fe II ,298.2514, ,104 042.692  , 5/2 
Fe I ,298.3419, ,52 898.998  ,5
Fe I ,298.35695,2.79E+07,33 507.123  ,3
 , , , , 
Fe I ,298.37752, ,55 754.233  ,2
Fe II ,298.3794, ,113 682.648  , 3/2 
Fe I ,298.3856, ,59 843.564  ,2
Fe II ,298.4178,5.30E+06,104 023.921  , 5/2 
Fe II ,298.4213,1.90E+06,103 814.552  , 7/2 
 , , , , 
Fe II ,298.4293,7.00E+05,108 105.938  , 3/2 
Fe II ,298.4293, ,106 892.717  , 11/2 
Fe II ,298.4375, ,111 735.854  , 7/2 
Fe I ,298.4557, ,56 341.860  ,6
Fe I ,298.47679,2.58E+05,40 421.938  ,4
 , , , , 
Fe II ,298.482516,4.30E+07,46 967.4751 , 5/2 
Fe II ,298.489,6.00E+05,60 807.239  , 9/2 
Fe I ,298.4952, ,54 530.653  ,2
Fe II ,298.49619,5.40E+07,100 492.025  , 7/2 
Fe II ,298.5091,6.00E+05,90 901.130  , 5/2 
 , , , , 
Fe I ,298.5168, ,59 968.52   ,1
Fe II ,298.554532,2.39E+07,47 389.809  , 3/2 
Fe II ,298.5637,1.20E+06,78 237.709  , 7/2 
Fe I ,298.57279, ,54 357.405  ,3
Fe I ,298.5901, ,59 820.664  ,3
 , , , , 
Fe II ,298.63435,4.10E+07,100 749.825  , 5/2 
Fe I ,298.64557,2.19E+05,34 362.873  ,1
Fe II ,298.6609, ,61 093.406  , 5/2 
Fe I ,298.66544, ,53 093.529  ,6
Fe II ,298.6915, ,64 834.069  , 3/2 
 , , , , 
Fe I ,298.7032, ,54 342.779  ,2
Fe I ,298.7055, ,60 095.599  ,4
Fe II , ,2.50E-03,33 466.4943 , 9/2 
Fe I ,298.72903, ,56 462.016  ,3
Fe I ,298.72904,5.25E+06,40 842.154  ,3
 , , , , 
Fe I ,298.7429, ,53 084.789  ,5
Fe II ,298.7512,2.70E+06,98 294.909  , 11/2 
Fe II ,298.75347,5.50E+06,103 986.338  , 7/2 
Fe II ,298.77885,8.80E+07,103 983.496  , 7/2 
Fe I ,298.8187, ,56 452.018  ,4
 , , , , 
Fe I ,298.84711,5.44E+05,45 428.402  ,4
Fe I ,298.8783, ,57 160.142  ,3
Fe I ,298.88824, ,51 825.773  ,3
Fe I ,298.8943,7.99E+05,55 446.008  ,4
Fe II ,298.9068, ,106 097.530  , 9/2 
 , , , , 
Fe II ,298.9068,7.00E+05,78 525.442  , 5/2 
Fe I ,298.9161, ,57 155.857  ,4
Fe II ,298.9181, ,122 297.664  , 7/2 
Fe II ,298.9384, ,64 806.494  , 1/2 
Fe I ,298.9487, ,59 780.484  ,2
 , , , , 
Fe II ,298.9739, ,64 806.494  , 1/2 
Fe II ,298.9924, ,78 725.822  , 3/2 
Fe I ,299.03913,3.50E+07,55 429.819  ,5
Fe X , ,5.50E+00,451 084      , 7/2 
Fe I ,299.0599, ,58 520.003  ,1
 , , , , 
Fe II ,299.1081, ,92 089.043  , 7/2 
Fe II ,299.1236,1.40E+06,61 041.734  , 5/2 
Fe I ,299.16312, ,52 807.001  ,5
Fe I ,299.1763, ,57 126.823  ,5
Fe I ,299.1827, ,54 289.034  ,3
 , , , , 
Fe II ,299.1828,1.00E+06,77 861.650  , 9/2 
Fe II ,299.1828, ,105 379.425  , 5/2 
Fe I ,299.1904, ,57 125.250  ,4
Fe II ,299.2648, ,90 898.878  , 3/2 
Fe II ,299.3206, ,93 840.405  , 3/2 
 , , , , 
Fe I ,299.328, ,59 538.594  ,3
Fe II ,299.3357, ,69 650.481  , 5/2 
Fe I ,299.3791, ,59 532.84   ,4
Fe I ,299.4074, ,59 729.17   ,1
Fe I ,299.44266,4.39E+07,33 801.572  ,2
 , , , , 
Fe I ,299.45019,1.49E+06,34 362.873  ,1
Fe I ,299.52497, ,54 017.581  ,4
Fe I ,299.5475, ,59 514.13   ,2
Fe I ,299.5594, ,54 013.752  ,5
Fe I ,299.583, ,57 708.741  ,2
 , , , , 
Fe I ,299.5956, ,56 479.463  ,2
Fe II ,299.5973,1.00E+06,103 683.078  , 9/2 
Fe I ,299.63855,1.70E+07,52 916.295  ,2
Fe I ,299.657, ,56 207.552  ,4
Fe II ,299.6944, ,106 501.029  , 9/2 
 , , , , 
Fe III ,299.704, ,200 656.19   ,6
Fe II ,299.7296,9.00E+06,69 606.567  , 7/2 
Fe II ,299.7526, ,105 589.674  , 7/2 
Fe I ,299.7526, ,56 462.016  ,3
Fe II ,299.7706,3.00E+06,105 518.142  , 3/2 
 , , , , 
Fe II ,299.798,1.60E+06,90 839.488  , 1/2 
Fe I ,299.8326, ,53 983.293  ,5
Fe I ,299.8436, ,56 452.018  ,4
Fe I ,299.8478, ,56 337.126  ,3
Fe II ,299.885,4.20E+05,60 956.781  , 7/2 
 , , , , 
Fe II ,299.885,9.00E+05,105 379.425  , 5/2 
Fe I ,299.893, ,59 235.48   ,4
Fe I ,299.893, ,59 475.63   ,4
Fe I ,299.9188, ,52 953.629  ,4
Fe I ,299.95116,1.70E+07,40 257.314  ,5
 , , , , 
Fe II ,299.9717, ,87 602.335  , 3/2 
Fe IX ,300, ,462 616.6    ,2
Fe II ,300.00623,3.00E+06,64 087.408  , 5/2 
Fe II ,300.0075, ,112 607.597  , 7/2 
Fe II ,300.0247,4.90E+06,106 924.441  , 9/2 
 , , , , 
Fe II ,300.0295, ,109 449.894  , 3/2 
Fe II ,300.0295,8.00E+05,90 898.878  , 3/2 
Fe I ,300.04509,5.41E+06,45 294.846  ,5
Fe I ,300.0577, ,59 217.204  ,3
Fe II ,300.0755, ,106 709.008  , 9/2 
 , , , , 
Fe III ,300.084, ,151 757.82   ,2
Fe III ,300.084, ,116 475.56   ,3
Fe I ,300.09476,6.42E+07,34 017.103  ,1
Fe II ,300.1123,4.90E+06,99 688.355  , 7/2 
Fe II ,300.131,1.00E+07,99 921.670  , 1/2 
 , , , , 
Fe II ,300.14003,1.30E+07,98 114.577  , 3/2 
Fe II ,300.1601,3.90E+06,99 918.563  , 3/2 
Fe III ,300.1617,5.00E+06,116 467.59   ,4
Fe I ,300.1658, ,57 641.001  ,3
Fe I ,300.1787, ,54 342.779  ,2
 , , , , 
Fe I ,300.1827, ,58 394.864  ,1
Fe I ,300.1924, ,57 641.001  ,3
Fe II ,300.1972,4.10E+06,99 824.051  , 5/2 
Fe II ,300.2317,2.00E+06,65 109.691  , 7/2 
Fe II ,300.264344,9.20E+07,103 608.921  , 9/2 
 , , , , 
Fe II ,300.264344,1.79E+07,46 967.4751 , 5/2 
Fe III ,300.299,1.50E+06,116 937.86   ,1
Fe I ,300.30305,7.50E+06,41 018.051  ,2
Fe II , ,1.15E-02,36 126.412  , 3/2 
Fe I ,300.3251, ,59 766.92   ,1
 , , , , 
Fe I ,300.3338, ,57 070.171  ,6
Fe I ,300.3686, ,59 182.72   ,5
Fe II ,300.38861,3.10E+07,98 114.577  , 3/2 
Fe I ,300.41134,2.79E+06,52 898.998  ,5
Fe III ,300.413, ,123 750.63   ,3
 , , , , 
Fe III ,300.413, ,121 941.47   ,4
Fe II ,300.4257,8.60E+05,64 040.891  , 7/2 
Fe I ,300.46267, ,45 833.223  ,4
Fe I ,300.5006, ,56 113.887  ,5
Fe I ,300.53025,2.94E+06,52 654.992  ,7
 , , , , 
Fe II ,300.5637, ,90 839.488  , 1/2 
Fe I ,300.5726, ,54 134.655  ,3
Fe II ,300.5873, ,111 443.614  , 9/2 
Fe I ,300.5966, ,57 438.267  ,3
Fe III ,300.6142,8.00E+05,121 919.84   ,3
 , , , , 
Fe I ,300.6539, ,59 590.85   ,1
Fe I ,300.6596, ,59 390.684  ,3
Fe I ,300.6608, ,53 891.526  ,3
Fe II ,300.6883, ,105 460.233  , 3/2 
Fe III ,300.699,8.00E+05,121 941.47   ,4
 , , , , 
Fe III ,300.706,4.06E+08,184 779.6    ,4
Fe III ,300.714,1.46E+08,184 778.69   ,3
Fe I ,300.7145,7.34E+06,45 220.681  ,3
Fe III ,300.722,3.54E+08,184 778.69   ,3
Fe III ,300.728,4.24E+08,184 781.00   ,5
 , , , , 
Fe III ,300.728,2.06E+08,184 777.9    ,2
Fe I ,300.72822,2.73E+06,33 946.933  ,2
Fe II ,300.7411, ,102 543.689  , 3/2 
Fe III ,300.746,7.10E+07,184 779.6    ,4
Fe III ,300.746,2.96E+08,184 777.9    ,2
 , , , , 
Fe III ,300.746,2.50E+08,184 777.41   ,1
Fe I ,300.7471, ,51 619.076  ,3
Fe II ,300.7582, ,87 471.789  , 9/2 
Fe III ,300.76,2.50E+08,184 777.41   ,1
Fe III ,300.7793, ,116 475.56   ,3
 , , , , 
Fe I ,300.8138,1.07E+08,34 121.603  ,0
Fe II ,300.8306, ,102 334.140  , 5/2 
Fe I ,300.8483, ,59 569.374  ,2
Fe I ,300.8495, ,57 565.305  ,3
Fe III ,300.8511,8.00E+05,116 467.59   ,4
 , , , , 
Fe I ,300.8677, ,57 999.461  ,2
Fe I ,300.8789, ,56 337.126  ,3
Fe I ,300.90929,7.77E+06,52 613.090  ,5
Fe II ,300.925, ,97 507.414  , 5/2 
Fe I ,300.95691,1.43E+07,40 594.432  ,4
 , , , , 
Fe I ,300.9681, ,59 766.92   ,1
Fe I ,301.0168, ,53 852.114  ,4
Fe II ,301.0168, ,105 449.557  , 7/2 
Fe II ,301.0204,5.00E+06,80 178.005  , 3/2 
Fe II ,301.0641, ,66 672.336  , 7/2 
 , , , , 
Fe II ,301.0829, ,108 804.711  , 7/2 
Fe I ,301.1271, ,59 538.594  ,3
Fe I ,301.1474, ,53 837.851  ,3
Fe I ,301.14808,3.79E+07,55 446.008  ,4
Fe I ,301.18847, ,53 229.941  ,1
 , , , , 
Fe II ,301.2187, ,88 059.304  , 5/2 
Fe I ,301.24412, ,52 807.001  ,5
Fe II ,301.2588, ,63 948.803  , 9/2 
Fe I ,301.2933, ,59 520.304  ,3
Fe I ,301.2933, ,57 361.366  ,3
 , , , , 
Fe III ,301.3167,6.00E+06,116 316.85   ,5
Fe I ,301.3489, ,59 514.13   ,2
Fe II ,301.3664, ,105 524.482  , 9/2 
Fe II ,301.3798, ,66 672.336  , 7/2 
Fe I ,301.4099, ,56 951.301  ,4
 , , , , 
Fe II ,301.4164, ,111 744.362  , 7/2 
Fe I ,301.41732,2.57E+05,40 894.990  ,2
Fe I ,301.4315, ,52 953.629  ,4
Fe II ,301.5009, ,78 237.709  , 7/2 
Fe III ,301.526,3.80E+05,116 316.85   ,5
 , , , , 
Fe II ,301.5388,7.20E+06,106 208.574  , 5/2 
Fe II ,301.57941,5.70E+06,106 900.373  , 7/2 
Fe I ,301.59188,6.30E+06,52 768.743  ,4
Fe I ,301.61845,8.85E+06,41 130.599  ,1
Fe II ,301.6878, ,105 398.876  , 11/2 
 , , , , 
Fe II ,301.694,1.70E+06,90 629.811  , 3/2 
Fe II ,301.7251, ,104 119.740  , 15/2 
Fe I ,301.7251, ,56 844.475  ,4
Fe III ,301.731, ,122 829.68   ,3
Fe I ,301.74173, ,56 842.733  ,5
 , , , , 
Fe I ,301.7627,6.81E+06,34 017.103  ,1
Fe I ,301.7861, ,57 307.320  ,4
Fe II ,301.8012, ,105 775.517  , 7/2 
Fe I ,301.81348, ,52 513.560  ,6
Fe II ,301.8205, ,66 589.042  , 9/2 
 , , , , 
Fe I ,301.8247, ,53 763.280  ,3
Fe I ,301.87, ,56 113.887  ,5
Fe III ,301.8789, ,116 475.56   ,3
Fe I ,301.89828,1.03E+07,40 842.154  ,3
Fe II ,301.913, ,105 763.286  , 11/2 
 , , , , 
Fe II ,301.9221, ,108 712.415  , 5/2 
Fe I ,301.9221, ,59 590.85   ,1
Fe I ,301.92873,2.33E+06,52 898.998  ,5
Fe II ,301.9378, ,99 573.244  , 9/2 
Fe II ,301.9808, ,78 185.004  , 7/2 
 , , , , 
Fe I ,301.9926, ,57 439.486  ,3
Fe II ,302.0008,6.00E+04,66 012.775  , 9/2 
Fe X ,302.01,5.50E+01,450 751      , 9/2 
Fe II ,302.0254, ,106 592.294  , 5/2 
Fe II ,302.032, ,99 688.355  , 7/2 
 , , , , 
Fe I ,302.04905,1.94E+07,33 801.572  ,2
Fe V , ,5.30E-03,62 914.1    ,1
Fe I ,302.06388,7.59E+07,33 095.941  ,4
Fe II ,302.0758, ,87 965.137  , 3/2 
Fe I ,302.10725,4.55E+07,33 507.123  ,3
 , , , , 
Fe II ,302.1311,3.30E+06,105 518.142  , 3/2 
Fe II ,302.1414,4.00E+05,60 402.333  , 5/2 
Fe II ,302.1622,9.00E+05,103 608.921  , 9/2 
Fe II ,302.1894, ,106 478.067  , 7/2 
Fe III ,302.2, ,147 406.01   ,5
 , , , , 
Fe II ,302.2269, ,104 064.664  , 13/2 
Fe II ,302.266,1.40E+06,103 597.409  , 5/2 
Fe II ,302.3231, ,111 644.798  , 9/2 
Fe II ,302.338, ,112 397.186  , 9/2 
Fe I ,302.3426, ,57 401.144  ,1
 , , , , 
Fe II ,302.3721, ,105 414.186  , 5/2 
Fe II ,302.3831, ,64 425.405  , 5/2 
Fe III ,302.3883, ,116 419.72   ,2
Fe I ,302.40324,4.87E+06,33 946.933  ,2
Fe II ,302.438, ,111 580.386  , 7/2 
 , , , , 
Fe II ,302.4712, ,90 629.811  , 3/2 
Fe I ,302.4793, ,56 761.878  ,5
Fe II ,302.4846, ,105 288.559  , 3/2 
Fe II ,302.4995,6.20E+06,105 477.924  , 1/2 
Fe I ,302.52798,1.66E+05,40 421.938  ,4
 , , , , 
Fe II ,302.5468,3.50E+06,105 086.265  , 1/2 
Fe I ,302.56362,5.86E+07,52 431.447  ,6
Fe I ,302.58422,3.48E+07,34 017.103  ,1
Fe III ,302.613, ,122 944.26   ,4
Fe III ,302.613, ,151 757.82   ,2
 , , , , 
Fe I ,302.64617,1.10E+07,41 018.051  ,2
Fe II ,302.6608, ,105 460.233  , 3/2 
Fe II ,302.674538,3.40E+05,104 993.879  , 7/2 
Fe II ,302.6936, ,105 288.874  , 13/2 
Fe III ,302.701, ,200 325.73   ,4
 , , , , 
Fe III ,302.701,9.00E+05,121 949.78   ,5
Fe II ,302.7201,2.70E+06,109 601.572  , 3/2 
Fe II ,302.7381, ,64 834.069  , 3/2 
Fe II ,302.7482, ,66 522.310  , 5/2 
Fe III ,302.7491, ,116 380.24   ,1
 , , , , 
Fe I ,302.7589, ,53 661.079  ,3
Fe I ,302.77, ,52 807.001  ,5
Fe III ,302.7765, ,219 472.12   ,4
Fe II ,302.7858, ,113 363.028  , 3/2 
Fe II ,302.7949, ,99 688.355  , 7/2 
 , , , , 
Fe II , ,1.40E-02,36 126.412  , 3/2 
Fe I ,302.9074, ,57 510.666  ,3
Fe I ,302.92338,6.98E+05,45 562.974  ,3
Fe II ,302.9399, ,105 238.815  , 5/2 
Fe II ,302.9701, ,66 463.542  , 11/2 
 , , , , 
Fe I ,303.01481,5.04E+07,52 613.090  ,5
Fe II ,303.0314, ,99 068.465  , 3/2 
Fe I ,303.06036, ,51 365.311  ,3
Fe I ,303.0759, ,57 104.217  ,5
Fe I ,303.0958, ,51 361.391  ,3
 , , , , 
Fe II ,303.1066,1.10E+06,105 220.610  , 7/2 
Fe I ,303.12123, ,52 768.743  ,4
Fe I ,303.133, ,57 160.142  ,3
Fe I ,303.1471, ,53 852.114  ,4
Fe I ,303.16364,1.38E+07,41 130.599  ,1
 , , , , 
Fe I ,303.1712, ,57 155.857  ,4
Fe I ,303.186, ,60 533.113  ,2
Fe I ,303.2051, ,56 754.932  ,4
Fe I ,303.3097,5.26E+06,52 512.457  ,1
Fe II ,303.3435,1.30E+07,80 346.060  , 1/2 
 , , , , 
Fe II ,303.3591, ,106 924.441  , 9/2 
Fe II ,303.3639,1.50E+06,106 097.530  , 9/2 
Fe II ,303.3639,9.00E+06,106 045.712  , 11/2 
Fe I ,303.3796, ,55 790.696  ,3
Fe I ,303.4479, ,45 913.497  ,3
 , , , , 
Fe II ,303.45363, ,108 859.487  , 3/2 
Fe I ,303.45364, ,57 125.250  ,4
Fe I ,303.4592, ,57 450.664  ,2
Fe II ,303.473, ,64 425.405  , 5/2 
Fe II ,303.534,6.50E+06,105 460.233  , 3/2 
 , , , , 
Fe II ,303.5613,3.40E+06,107 430.742  , 3/2 
Fe I ,303.57354, ,57 438.267  ,3
Fe III ,303.5788, ,122 628.53   ,2
Fe II ,303.69635,2.20E+07,79 885.523  , 5/2 
Fe I ,303.7161, ,55 754.233  ,2
 , , , , 
Fe I ,303.73885,2.91E+07,33 801.572  ,2
Fe I ,303.7542, ,59 251.39   ,3
Fe II ,303.7626, ,66 377.315  , 7/2 
Fe I ,303.7685, ,53 784.750  ,3
Fe I ,303.77794,3.44E+05,40 894.990  ,2
 , , , , 
Fe I ,303.7782, ,60 075.924  ,3
Fe I ,303.8312, ,57 084.281  ,3
Fe II ,303.8776,5.00E+05,64 286.354  , 7/2 
Fe I ,303.8974, ,57 403.134  ,2
Fe I ,303.93169,1.60E+06,52 513.560  ,6
 , , , , 
Fe III ,303.9576, ,151 757.82   ,2
Fe I ,303.9598, ,57 070.371  ,3
Fe II ,303.9599, ,108 804.711  , 7/2 
Fe II ,303.9599,1.70E+06,105 414.186  , 5/2 
Fe II ,303.9629, ,105 127.773  , 5/2 
 , , , , 
Fe II ,303.9629, ,98 445.410  , 9/2 
Fe II ,303.9794, ,93 328.553  , 3/2 
Fe II ,304.0223, ,104 315.373  , 13/2 
Fe II ,304.0281, ,105 234.246  , 5/2 
Fe I ,304.04271,2.45E+06,40 257.314  ,5
 , , , , 
Fe II ,304.0734,3.10E+06,103 191.968  , 7/2 
Fe I ,304.0759, ,59 500.628  ,1
Fe II ,304.0848, ,66 377.315  , 7/2 
Fe II ,304.0914,9.00E+06,106 018.682  , 9/2 
Fe II ,304.0914,3.50E+06,104 839.990  , 3/2 
 , , , , 
Fe I ,304.0956, ,53 749.405  ,2
Fe I ,304.0956, ,57 055.616  ,3
Fe I ,304.1029, ,53 913.020  ,2
Fe II ,304.1184, ,109 449.894  , 3/2 
Fe II ,304.1484,4.20E+06,110 611.830  , 5/2 
 , , , , 
Fe II ,304.1537,4.20E+06,105 220.610  , 7/2 
Fe I ,304.1637,4.24E+06,45 428.402  ,4
Fe I ,304.17386,5.20E+06,40 594.432  ,4
Fe I ,304.189, ,59 089.628  ,3
Fe I ,304.20194,4.70E+06,41 018.051  ,2
 , , , , 
Fe II ,304.2372,4.40E+05,93 129.879  , 7/2 
Fe I ,304.26646,5.20E+06,40 842.154  ,3
Fe I ,304.284, ,57 361.366  ,3
Fe I ,304.284, ,57 429.097  ,5
Fe II ,304.2901, ,105 205.808  , 5/2 
 , , , , 
Fe I ,304.3796, ,59 718.724  ,5
Fe I ,304.4103, ,58 946.732  ,6
Fe II ,304.4103,4.50E+06,105 460.233  , 3/2 
Fe I ,304.4216, ,58 979.823  ,2
Fe I ,304.4255, ,56 550.634  ,5
 , , , , 
Fe II ,304.4834,1.20E+06,64 831.951  , 9/2 
Fe I ,304.50782,6.97E+05,40 207.091  ,3
Fe II ,304.5319,5.00E+05,77 742.736  , 5/2 
Fe I ,304.55885,1.78E+06,52 613.090  ,5
Fe I ,304.5746, ,51 201.289  ,2
 , , , , 
Fe III ,304.588, ,147 161.27   ,4
Fe II ,304.6055,1.30E+07,99 068.465  , 3/2 
Fe III ,304.6195, ,219 415.77   ,5
Fe I ,304.6505, ,59 154.662  ,1
Fe I ,304.6643, ,57 320.347  ,1
 , , , , 
Fe II ,304.666,9.00E+05,77 742.736  , 5/2 
Fe III ,304.671, ,151 535.03   ,2
Fe III ,304.671, ,151 534.30   ,3
Fe I ,304.6803, ,54 810.856  ,4
Fe I ,304.69238, ,52 431.447  ,6
 , , , , 
Fe I ,304.70491, ,56 592.703  ,4
Fe II ,304.7111,6.10E+06,99 057.089  , 1/2 
Fe I ,304.7204, ,55 754.233  ,2
Fe I ,304.7454, ,56 516.218  ,4
Fe I ,304.76043,2.84E+07,33 507.123  ,3
 , , , , 
Fe II ,304.7794,1.60E+06,107 407.818  , 5/2 
Fe I ,304.8001, ,53 837.851  ,3
Fe II ,304.8001, ,105 449.557  , 7/2 
Fe II ,304.81788, ,104 839.990  , 3/2 
Fe II ,304.89915,3.80E+07,80 178.005  , 3/2 
 , , , , 
Fe I ,304.9144, ,53 661.079  ,3
Fe I ,304.93526, ,57 291.238  ,2
Fe I ,304.9538, ,58 682.322  ,3
Fe II ,304.9567, ,60 402.333  , 5/2 
Fe II ,305.0146, ,105 127.773  , 5/2 
 , , , , 
Fe III ,305.0467, ,116 419.72   ,2
Fe I ,305.077, ,57 343.828  ,3
Fe II ,305.1683,6.10E+06,105 775.517  , 7/2 
Fe I ,305.2491, ,56 462.016  ,3
Fe II ,305.258, ,106 501.029  , 9/2 
 , , , , 
Fe II ,305.2715, ,105 398.876  , 11/2 
Fe I ,305.30654,1.53E+07,52 296.920  ,2
Fe I ,305.34281, ,56 452.018  ,4
Fe I ,305.34533,1.17E+05,40 894.990  ,2
Fe II ,305.3617, ,98 294.909  , 11/2 
 , , , , 
Fe I ,305.3755, ,58 961.996  ,2
Fe I ,305.3855, ,53 610.412  ,4
Fe III ,305.4138, ,116 380.24   ,1
Fe II ,305.4345, ,59 663.440  , 3/2 
Fe I ,305.52622,9.48E+06,45 281.833  ,2
 , , , , 
Fe II ,305.52933, ,105 775.517  , 7/2 
Fe I ,305.52933, ,56 432.021  ,5
Fe II ,305.53503,5.70E+07,80 346.060  , 1/2 
Fe I ,305.5356, ,59 886.70   ,3
Fe II ,305.5486,1.00E+07,110 461.272  , 3/2 
 , , , , 
Fe III ,305.5554, ,116 365.03   ,0
Fe I ,305.56815, ,53 357.515  ,3
Fe II ,305.5823,8.00E+05,98 294.909  , 11/2 
Fe I ,305.6101, ,57 218.827  ,3
Fe I ,305.6101, ,59 878.64   ,4
 , , , , 
Fe I ,305.62416, ,53 749.405  ,2
Fe I ,305.658, ,57 213.744  ,1
Fe II ,305.6802,1.70E+06,65 580.065  , 11/2 
Fe I ,305.74456,3.13E+07,39 625.804  ,4
Fe I ,305.7584, ,59 035.762  ,2
 , , , , 
