Ion, Observed , Aki, Ek ,J
Fe II ,203.0103, ,122 297.664  , 7/2 
Fe III , ,1.60E+01,70 694.40   ,5
 , , , , 
Fe II ,203.0644, ,72 169.004  , 3/2 
Fe III ,203.0772,3.90E+08,151 636.83   ,1
Fe II ,203.1232, ,62 689.874  , 5/2 
Fe III ,203.154, ,139 680.37   ,3
Fe II ,203.1566, ,72 238.564  , 5/2 
 , , , , 
Fe I ,203.1686, ,57 190.212  ,2
Fe II ,203.19698, ,106 608.565  , 7/2 
Fe II ,203.20011,1.10E+07,76 129.465  , 3/2 
Fe III ,203.2121, ,122 921.66   ,1
Fe II ,203.240961,2.70E+07,65 556.271  , 9/2 
 , , , , 
Fe II ,203.24255, ,109 811.940  , 9/2 
Fe II ,203.2625,1.10E+07,72 212.989  , 1/2 
Fe II ,203.29037, ,118 277.347  , 3/2 
Fe III ,203.3069, ,122 898.90   ,2
Fe III ,203.3442, ,136 008.90   ,3
 , , , , 
Fe II ,203.3693, ,62 829.071  , 1/2 
Fe II ,203.375,1.80E+06,71 964.750  , 5/2 
Fe II ,203.375, ,122 297.664  , 7/2 
Fe II ,203.40781,2.00E+06,103 420.207  , 11/2 
Fe II ,203.41551,1.50E+07,109 529.028  , 1/2 
 , , , , 
Fe I ,203.4214, ,56 871.345  ,3
Fe III ,203.4297,2.10E+08,139 625.21   ,4
Fe I ,203.4347, ,56 516.744  ,4
Fe II ,203.44419,6.00E+06,72 169.004  , 3/2 
Fe III ,203.4548, ,167 085.60   ,3
 , , , , 
Fe III ,203.4548,2.20E+07,132 564.91   ,5
Fe I ,203.4555, ,49 135.023  ,3
Fe II ,203.46176,1.60E+06,69 650.481  , 5/2 
Fe III ,203.4708,2.50E+08,138 054.60   ,5
Fe II ,203.4919, ,109 571.639  , 7/2 
 , , , , 
Fe I ,203.492, ,56 502.957  ,5
Fe III ,203.511,1.80E+08,142 534.85   ,2
Fe III ,203.5181,2.20E+07,118 868.04   ,1
Fe III ,203.5373,2.30E+07,122 843.34   ,1
Fe II ,203.58527,3.20E+06,72 043.060  , 3/2 
 , , , , 
Fe III ,203.5941,5.90E+07,122 829.68   ,3
Fe III ,203.6029,6.00E+07,137 763.58   ,5
Fe II ,203.60481,3.10E+06,106 592.294  , 5/2 
Fe II ,203.64365,3.20E+07,69 606.567  , 7/2 
Fe II ,203.65046,1.50E+07,109 529.028  , 1/2 
 , , , , 
Fe III ,203.685,6.00E+07,118 868.04   ,1
Fe II ,203.6875, ,103 352.723  , 9/2 
Fe II ,203.714, ,93 987.454  , 7/2 
Fe III ,203.7148,7.00E+07,122 921.66   ,1
Fe III ,203.7302,2.90E+08,137 763.58   ,5
 , , , , 
Fe II ,203.74481,4.00E+07,103 967.555  , 1/2 
Fe I ,203.7452, ,50 043.213  ,1
Fe III ,203.7577, ,131 445.12   ,2
Fe II ,203.7779, ,62 962.215  , 3/2 
Fe III ,203.8098,8.00E+07,122 898.90   ,2
 , , , , 
Fe III ,203.8627, ,139 509.44   ,5
Fe I ,203.8685, ,57 190.212  ,2
Fe II ,203.8685, ,113 867.242  , 11/2 
Fe III ,203.8743, ,131 445.12   ,2
Fe III ,203.8915,6.00E+07,118 868.04   ,1
 , , , , 
Fe III , ,1.20E+01,70 729.12   ,4
Fe III , ,8.10E+00,70 725.46   ,3
Fe II ,203.9106, ,71 964.750  , 5/2 
Fe II ,203.94162, ,115 030.664  , 9/2 
Fe III ,203.952,4.44E+08,141 539.28   ,6
 , , , , 
Fe II ,203.95223,4.40E+06,109 456.381  , 3/2 
Fe II ,203.9672,3.10E+06,72 043.060  , 3/2 
Fe II ,203.96989,7.00E+06,109 456.381  , 3/2 
Fe I ,203.9984, ,56 732.335  ,4
Fe II ,204.03631, ,118 097.578  , 5/2 
 , , , , 
Fe III ,204.0406,1.20E+08,122 843.34   ,1
Fe III ,204.055,1.70E+08,139 463.33   ,5
Fe II ,204.069022, ,106 398.405  , 3/2 
Fe II ,204.069022,4.60E+07,64 831.951  , 9/2 
Fe III ,204.0785,1.10E+08,122 921.66   ,1
 , , , , 
Fe II ,204.11922, ,118 277.347  , 3/2 
Fe III ,204.132, ,119 697.69   ,2
Fe II ,204.1537, ,103 869.046  , 3/2 
Fe II ,204.1767, ,122 355.101  , 9/2 
Fe III ,204.2241, ,131 445.12   ,2
 , , , , 
Fe II ,204.2254, ,114 646.097  , 7/2 
Fe II ,204.2254, ,113 236.296  , 5/2 
Fe IX ,204.235, ,462 616.6    ,2
Fe III ,204.2936,3.00E+06,118 721.77   ,2
Fe II ,204.3246, ,114 482.464  , 9/2 
 , , , , 
Fe II ,204.3246, ,112 966.779  , 7/2 
Fe II ,204.33233, ,62 829.071  , 1/2 
Fe III ,204.3326, ,142 312.79   ,3
Fe III ,204.3484,9.00E+07,142 312.79   ,3
Fe I ,204.3491, ,57 074.915  ,2
 , , , , 
Fe II ,204.37825,1.50E+07,67 273.833  , 3/2 
Fe II ,204.4008, ,103 183.69   , 7/2 
Fe III ,204.4041,6.00E+07,122 843.34   ,1
Fe II ,204.41226,4.30E+06,106 398.405  , 3/2 
Fe III ,204.4313,1.30E+08,122 628.53   ,2
 , , , , 
Fe II ,204.4322, ,103 183.69   , 7/2 
Fe III ,204.455,2.70E+07,136 796.90   ,3
Fe III ,204.4671, ,136 793.80   ,2
Fe I ,204.4936, ,56 871.345  ,3
Fe III ,204.4984,1.10E+08,118 721.77   ,2
 , , , , 
Fe II ,204.4985, ,70 314.624  , 9/2 
Fe III , ,1.60E+01,70 725.46   ,3
Fe II ,204.56621,4.00E+06,106 279.329  , 5/2 
Fe III ,204.5838,2.50E+08,137 528.06   ,4
Fe II ,204.5848, ,107 529.849  , 7/2 
 , , , , 
Fe III ,204.5953, ,118 557.32   ,5
Fe II ,204.5973, ,109 486.551  , 11/2 
Fe III ,204.607, ,135 705.61   ,3
Fe II ,204.64122, ,118 277.347  , 3/2 
Fe III ,204.6456, ,118 686.41   ,4
 , , , , 
Fe III ,204.6761, ,132 080.04   ,3
Fe III ,204.6834, ,137 763.58   ,5
Fe III , ,3.90E-01,49 577.27   ,1
Fe III ,204.7131,1.70E+07,137 528.06   ,4
Fe III ,204.7131,6.00E+06,132 262.65   ,6
 , , , , 
Fe II ,204.72035,2.40E+07,98 338.357  , 3/2 
Fe I ,204.7248, ,60 806.670  ,3
Fe I ,204.7402, ,49 242.621  ,2
Fe II ,204.77152,5.60E+06,74 606.864  , 5/2 
