Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,
Si II ,235.017,4.70E+03,42 824.29  , 1/2 ,,,,,,,,,,,,,,
Si III , ,2.02E-03,201 598.28  ,2,,,,,,,,,,,,,,
Si III , ,1.88E-11,201 597.73  ,1,,,,,,,,,,,,,,
Si II ,235.309, , ,  ,,,,,,,,,,,,,,
Si II ,235.63, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,235.718, , ,  ,,,,,,,,,,,,,,
Si II ,235.797, , ,  ,,,,,,,,,,,,,,
Si II ,236.02, , ,  ,,,,,,,,,,,,,,
Si IV , ,2.65E+05,336 051.55  , 5/2 ,,,,,,,,,,,,,,
Si IV , ,5.58E+06,336 051.55  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV , ,5.31E+06,336 051.55  , 5/2 ,,,,,,,,,,,,,,
Si IV ,236.676,5.18E+07,318 742.79  , 1/2 ,,,,,,,,,,,,,,
Si II ,236.697, , ,  ,,,,,,,,,,,,,,
Si IV ,237.099,1.04E+08,318 742.79  , 1/2 ,,,,,,,,,,,,,,
Si II ,237.426, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,9.16E+03,1 083 003     , 1/2 ,,,,,,,,,,,,,,
Si III , ,4.64E+04,240 314.63  ,3,,,,,,,,,,,,,,
Si III , ,2.29E+06,240 284.28  ,2,,,,,,,,,,,,,,
Si III , ,2.05E+07,240 262.28  ,1,,,,,,,,,,,,,,
Si III , ,1.64E+06,240 314.63  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV , ,2.45E+06,332 759.92  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,2.21E+07,332 759.92  , 3/2 ,,,,,,,,,,,,,,
Si III , ,1.81E+07,240 284.28  ,2,,,,,,,,,,,,,,
Si IV , ,2.44E+07,332 743.87  , 1/2 ,,,,,,,,,,,,,,
Si II , ,1.36E+01,84 004.26  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,1.36E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,,
Si II ,242.845, , ,  ,,,,,,,,,,,,,,
Si III , ,1.86E+07,240 314.63  ,3,,,,,,,,,,,,,,
Si II , ,2.84E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,,
Si I ,243.515,4.43E+07,47 351.554 ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VII , ,2.15E-04,46 569.8   ,2,,,,,,,,,,,,,,
Si I ,243.877,7.91E+05,40 991.884 ,1,,,,,,,,,,,,,,
Si II , ,5.22E-03,83 801.95  , 1/2 ,,,,,,,,,,,,,,
Si II , ,3.47E+07,122 163.48  , 3/2 ,,,,,,,,,,,,,,
Si I ,244.336,6.28E+05,40 991.884 ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,1.07E+07,122 163.54  , 5/2 ,,,,,,,,,,,,,,
Si II , ,1.79E+06,122 163.48  , 3/2 ,,,,,,,,,,,,,,
Si II , ,3.56E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,,
Si II , ,3.00E+00,83 801.95  , 1/2 ,,,,,,,,,,,,,,
Si III , ,9.73E+07,242 410.88  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.03E+08,242 411.27  ,3,,,,,,,,,,,,,,
Si III ,244.948,1.81E+07,242 410.88  ,2,,,,,,,,,,,,,,
Si III , ,1.16E+08,242 411.70  ,4,,,,,,,,,,,,,,
Si III , ,1.29E+07,242 411.27  ,3,,,,,,,,,,,,,,
Si III , ,5.12E+05,242 410.88  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,9.91E+03,1 082 215     , 3/2 ,,,,,,,,,,,,,,
Si I ,245.212,5.81E+05,40 991.884 ,1,,,,,,,,,,,,,,
Si VI , ,1.45E+04,1 082 215     , 3/2 ,,,,,,,,,,,,,,
Si II , ,2.58E+01,83 801.95  , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.99E+07,244 871.47  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.31E+07,249 817.32  ,3,,,,,,,,,,,,,,
Si IV ,248.282,6.62E+06,305 682.27  , 3/2 ,,,,,,,,,,,,,,
Si III ,248.32,1.33E+07,249 817.85  ,4,,,,,,,,,,,,,,
Si III , ,1.15E+06,249 817.32  ,3,,,,,,,,,,,,,,
Si VII , ,1.48E+07,1 631 160     ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,248.538,7.06E+06,305 641.10  , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.41E+07,249 818.93  ,5,,,,,,,,,,,,,,
Si III , ,8.86E+05,249 817.85  ,4,,,,,,,,,,,,,,
Si III , ,1.73E+04,249 817.32  ,3,,,,,,,,,,,,,,
Si II , ,1.13E+07,119 311.34  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,8.07E+05,119 311.34  , 5/2 ,,,,,,,,,,,,,,
Si II , ,1.21E+07,119 311.19  , 7/2 ,,,,,,,,,,,,,,
Si II , ,5.48E+06,119 273.81  , 3/2 ,,,,,,,,,,,,,,
Si II , ,4.92E+07,119 273.81  , 3/2 ,,,,,,,,,,,,,,
Si II , ,5.36E+07,119 245.22  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,250.69,5.47E+07,39 955.053 ,2,,,,,,,,,,,,,,
Si I ,251.432,7.39E+07,39 760.285 ,1,,,,,,,,,,,,,,
Si I ,251.6113,1.68E+08,39 955.053 ,2,,,,,,,,,,,,,,
Si IV ,251.751, , ,  ,,,,,,,,,,,,,,
Si I ,251.9202,5.49E+07,39 760.285 ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,252.4108,2.22E+08,39 683.163 ,0,,,,,,,,,,,,,,
Si III , ,9.16E+07,243 868.50  ,3,,,,,,,,,,,,,,
Si I ,252.8509,9.04E+07,39 760.285 ,1,,,,,,,,,,,,,,
Si I ,253.2381,2.45E+07,54 871.031 ,1,,,,,,,,,,,,,,
Si III ,254.182,3.22E+07,122 214.52  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,9.31E+03,1 080 700     , 5/2 ,,,,,,,,,,,,,,
Si III ,254.609,6.10E+07,205 029.09  ,2,,,,,,,,,,,,,,
Si VI , ,2.30E+03,1 080 700     , 5/2 ,,,,,,,,,,,,,,
Si III ,255.921,1.63E+08,204 828.06  ,3,,,,,,,,,,,,,,
Si I , ,4.62E-03,45 321.848 ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,256.3679,4.20E-03,45 293.629 ,2,,,,,,,,,,,,,,
Si I , ,1.78E-03,45 276.188 ,1,,,,,,,,,,,,,,
Si I ,256.8641,4.24E+06,54 313.818 ,1,,,,,,,,,,,,,,
Si I ,257.7151, , ,  ,,,,,,,,,,,,,,
Si II , ,1.56E+02,81 251.32  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,1.33E+06,103 885.25  , 3/2 ,,,,,,,,,,,,,,
Si II , ,2.51E+02,81 191.34  , 1/2 ,,,,,,,,,,,,,,
Si II , ,1.33E+06,103 860.74  , 1/2 ,,,,,,,,,,,,,,
Si II , ,2.29E+01,81 251.32  , 3/2 ,,,,,,,,,,,,,,
Si II , ,9.22E+02,81 191.34  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,4.47E+03,81 251.32  , 3/2 ,,,,,,,,,,,,,,
Si I ,263.1282,1.06E+08,53 387.334 ,1,,,,,,,,,,,,,,
Si III ,264.079,1.83E+08,242 885.30  ,1,,,,,,,,,,,,,,
Si II , ,8.48E+06,121 590.19  , 3/2 ,,,,,,,,,,,,,,
Si III ,265.551,1.35E+08,242 474.27  ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,3.36E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,,
Si II , ,4.17E+07,121 590.19  , 3/2 ,,,,,,,,,,,,,,
Si VI , ,3.54E+03,1 078 935     , 7/2 ,,,,,,,,,,,,,,
Si II , ,1.65E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,,
Si IV ,267.219,2.49E+06,313 914.92  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV , ,1.30E+06,291 497.60  , 5/2 ,,,,,,,,,,,,,,
Si IV ,267.512,2.74E+07,291 497.50  , 3/2 ,,,,,,,,,,,,,,
Si IV ,267.525,2.61E+07,291 497.60  , 5/2 ,,,,,,,,,,,,,,
Si IV ,267.757,4.51E+05,313 914.92  , 3/2 ,,,,,,,,,,,,,,
Si II , ,1.77E+07,118 522.86  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,268.221,3.49E+06,118 522.86  , 3/2 ,,,,,,,,,,,,,,
Si XI , ,2.55E+07,2 549 470     ,3,,,,,,,,,,,,,,
Si XI , ,1.89E+07,2 547 100     ,2,,,,,,,,,,,,,,
Si III , ,2.99E+02,159 069.61  ,0,,,,,,,,,,,,,,
Si V , ,5.50E+08,1 164 645     ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,1.56E+07,117 914.80  , 1/2 ,,,,,,,,,,,,,,
Si VIII , ,1.66E-01,105 890     , 3/2 ,,,,,,,,,,,,,,
Si VIII , ,2.10E+01,105 890     , 3/2 ,,,,,,,,,,,,,,
Si IV , ,1.03E+08,328 200.04  , 5/2 ,,,,,,,,,,,,,,
Si IV ,272.381,1.10E+08,328 200.04  , 7/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,272.381,7.34E+06,328 200.04  , 5/2 ,,,,,,,,,,,,,,
Si II , ,3.17E+07,117 914.80  , 1/2 ,,,,,,,,,,,,,,
Si II , ,1.30E+00,79 355.02  , 5/2 ,,,,,,,,,,,,,,
Si II , ,1.28E+00,79 338.50  , 3/2 ,,,,,,,,,,,,,,
Si VIII , ,3.97E-01,105 890     , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VIII , ,1.17E+01,105 890     , 3/2 ,,,,,,,,,,,,,,
Si VII , ,1.18E+06,1 502 880     ,1,,,,,,,,,,,,,,
Si VIII , ,3.30E-01,105 348     , 1/2 ,,,,,,,,,,,,,,
Si VIII , ,1.26E+01,105 348     , 1/2 ,,,,,,,,,,,,,,
Si III , ,6.16E+06,250 636.55  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,6.25E-03,165 765.00  ,2,,,,,,,,,,,,,,
Si VIII , ,2.14E-01,105 348     , 1/2 ,,,,,,,,,,,,,,
Si III , ,4.56E-03,165 765.00  ,2,,,,,,,,,,,,,,
Si III , ,1.06E-04,165 765.00  ,2,,,,,,,,,,,,,,
Si III , ,1.01E-05,201 599.48  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.90E-05,201 599.48  ,3,,,,,,,,,,,,,,
Si III , ,7.37E-06,201 598.28  ,2,,,,,,,,,,,,,,
Si III , ,3.38E-04,201 598.28  ,2,,,,,,,,,,,,,,
Si III , ,6.62E-05,201 597.73  ,1,,,,,,,,,,,,,,
Si III , ,1.43E-05,201 597.73  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,8.21E+05,240 549.77  ,2,,,,,,,,,,,,,,
Si X , ,4.93E+06,2 066 750     , 3/2 ,,,,,,,,,,,,,,
Si III , ,8.85E-03,165 765.00  ,2,,,,,,,,,,,,,,
Si III , ,1.34E-02,165 765.00  ,2,,,,,,,,,,,,,,
Si III , ,5.47E+04,245 086.58  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.94E+06,245 086.58  ,3,,,,,,,,,,,,,,
Si III , ,1.20E+06,240 549.77  ,2,,,,,,,,,,,,,,
Si III ,281.711,2.22E+07,245 086.58  ,3,,,,,,,,,,,,,,
Si III , ,2.66E+06,244 866.05  ,2,,,,,,,,,,,,,,
Si III , ,3.07E+07,249 857.26  ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,283.149,2.12E+07,244 866.05  ,2,,,,,,,,,,,,,,
Si III ,283.962,2.37E+07,244 736.93  ,1,,,,,,,,,,,,,,
Si VI , ,8.35E+02,1 182 894     , 1/2 ,,,,,,,,,,,,,,
Si III , ,4.02E+07,249 766.19  ,1,,,,,,,,,,,,,,
Si III , ,2.41E+07,249 766.19  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,8.04E+06,249 766.19  ,1,,,,,,,,,,,,,,
Si XI , ,5.23E+06,2 547 100     ,2,,,,,,,,,,,,,,
Si I ,288.1579,2.17E+08,40 991.884 ,1,,,,,,,,,,,,,,
Si II , ,7.08E+05,113 976.72  , 3/2 ,,,,,,,,,,,,,,
Si II , ,8.38E+06,113 962.08  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,288.751,6.39E+06,113 976.72  , 3/2 ,,,,,,,,,,,,,,
Si IV ,289.513, , ,  ,,,,,,,,,,,,,,
Si II ,290.428,3.58E+07,113 760.32  , 5/2 ,,,,,,,,,,,,,,
Si IV ,290.447, , ,  ,,,,,,,,,,,,,,
Si VI , ,4.35E+03,1 182 311     , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,2.55E+06,113 760.32  , 5/2 ,,,,,,,,,,,,,,
Si II ,290.569,3.83E+07,113 760.15  , 7/2 ,,,,,,,,,,,,,,
Si III , ,4.47E+02,209 531.40  ,2,,,,,,,,,,,,,,
Si III , ,6.33E+02,209 559.33  ,3,,,,,,,,,,,,,,
Si III , ,4.44E+02,209 531.40  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,9.40E+02,209 599.70  ,4,,,,,,,,,,,,,,
Si III , ,3.14E+02,209 559.33  ,3,,,,,,,,,,,,,,
Si III , ,6.30E+01,209 531.40  ,2,,,,,,,,,,,,,,
Si III , ,4.89E+06,249 121.14  ,3,,,,,,,,,,,,,,
Si III , ,1.22E+06,249 103.90  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,3.66E+06,249 103.90  ,2,,,,,,,,,,,,,,
Si III , ,1.36E+05,249 093.5   ,1,,,,,,,,,,,,,,
Si III , ,2.03E+06,249 093.5   ,1,,,,,,,,,,,,,,
Si III , ,2.71E+06,249 093.5   ,1,,,,,,,,,,,,,,
Si XIII , ,2.48E+07,(17 580 924)    ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,1.47E-02,76 665.35  , 1/2 ,,,,,,,,,,,,,,
Si III ,295.915,1.48E+07,248 772.86  ,1,,,,,,,,,,,,,,
Si III , ,8.90E+06,248 772.86  ,1,,,,,,,,,,,,,,
Si III , ,2.97E+06,248 772.86  ,1,,,,,,,,,,,,,,
Si VI , ,5.74E+03,1 181 649     , 5/2 ,,,,,,,,,,,,,,
