Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
419.64,3.624e+3,,6.971e-17,4.525e-22,3.151e+0,3.184e-12,3.921e-6,3.621e+3,5.168e-16,2.474e-9
419.69,3.968e+3,,6.827e-17,4.508e-22,1.726e+0,3.164e-12,2.859e-6,3.967e+3,5.167e-16,2.278e-9
419.74,4.283e+3,,6.684e-17,4.492e-22,9.185e-1,3.145e-12,2.026e-6,4.282e+3,5.166e-16,2.078e-9
419.79,4.548e+3,,6.540e-17,4.475e-22,4.752e-1,3.125e-12,1.395e-6,4.547e+3,5.164e-16,1.890e-9
419.84,4.745e+3,,6.396e-17,4.458e-22,2.389e-1,3.106e-12,9.341e-7,4.744e+3,5.163e-16,1.731e-9
419.89,4.859e+3,,6.252e-17,4.442e-22,1.167e-1,3.086e-12,6.079e-7,4.859e+3,5.162e-16,1.615e-9
419.93,4.886e+3,,6.137e-17,4.428e-22,6.448e-2,3.070e-12,4.224e-7,4.886e+3,5.161e-16,1.561e-9
419.98,4.836e+3,,5.993e-17,4.412e-22,2.993e-2,3.051e-12,2.616e-7,4.836e+3,5.160e-16,1.548e-9
420.03,4.694e+3,,5.849e-17,4.395e-22,1.350e-2,3.031e-12,1.582e-7,4.694e+3,5.158e-16,1.597e-9
420.08,4.469e+3,,5.705e-17,4.378e-22,5.919e-3,3.011e-12,9.452e-8,4.469e+3,5.157e-16,1.703e-9
420.13,4.174e+3,,5.561e-17,4.362e-22,2.522e-3,2.992e-12,5.811e-8,4.174e+3,5.156e-16,1.860e-9
420.18,3.823e+3,,2.285e-16,4.345e-22,1.044e-3,2.972e-12,4.109e-8,3.823e+3,5.154e-16,2.056e-9
420.23,3.435e+3,,1.004e-15,4.328e-22,4.203e-4,2.953e-12,3.987e-8,3.435e+3,5.153e-16,2.277e-9
420.28,3.027e+3,,3.978e-15,4.312e-22,1.644e-4,2.933e-12,5.513e-8,3.027e+3,5.152e-16,2.511e-9
420.33,2.616e+3,,1.510e-14,4.295e-22,6.248e-5,2.913e-12,9.252e-8,2.616e+3,5.151e-16,2.747e-9
420.37,2.294e+3,,4.304e-14,4.282e-22,2.823e-5,2.898e-12,1.462e-7,2.294e+3,5.150e-16,2.932e-9
420.42,1.912e+3,,1.554e-13,4.265e-22,1.019e-5,2.878e-12,2.598e-7,1.912e+3,5.148e-16,3.153e-9
420.47,1.562e+3,,5.458e-13,4.248e-22,3.578e-6,2.859e-12,4.547e-7,1.562e+3,5.147e-16,3.365e-9
