Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
417.84,9.797e+2,,1.215e-16,5.125e-22,4.553e+1,2.670e+2,1.996e-9,6.672e+2,5.214e-16,7.179e-9
417.88,9.832e+2,,1.204e-16,5.112e-22,6.412e+1,1.962e+2,3.527e-9,7.228e+2,5.213e-16,6.309e-9
417.93,1.024e+3,,1.189e-16,5.095e-22,9.587e+1,1.301e+2,7.003e-9,7.984e+2,5.212e-16,5.416e-9
417.98,1.102e+3,,1.175e-16,5.079e-22,1.393e+2,8.385e+1,1.352e-8,8.789e+2,5.210e-16,4.740e-9
418.03,1.212e+3,,1.160e-16,5.062e-22,1.968e+2,5.250e+1,2.536e-8,9.622e+2,5.209e-16,4.276e-9
418.08,1.348e+3,,1.146e-16,5.045e-22,2.701e+2,3.194e+1,4.623e-8,1.046e+3,5.208e-16,4.005e-9
418.13,1.509e+3,,1.132e-16,5.029e-22,3.603e+2,1.888e+1,8.192e-8,1.130e+3,5.206e-16,3.897e-9
418.18,1.691e+3,,1.117e-16,5.012e-22,4.671e+2,1.084e+1,1.411e-7,1.213e+3,5.205e-16,3.918e-9
418.23,1.890e+3,,1.103e-16,4.995e-22,5.886e+2,6.052e+0,2.362e-7,1.295e+3,5.204e-16,4.026e-9
418.28,2.103e+3,,1.088e-16,4.979e-22,7.208e+2,3.282e+0,3.843e-7,1.379e+3,5.203e-16,4.182e-9
418.32,2.281e+3,,1.077e-16,4.965e-22,8.303e+2,1.971e+0,5.558e-7,1.449e+3,5.202e-16,4.316e-9
418.37,2.506e+3,,1.063e-16,4.949e-22,9.659e+2,1.015e+0,8.591e-7,1.539e+3,5.200e-16,4.468e-9
418.42,2.727e+3,,1.048e-16,4.932e-22,1.092e+3,5.078e-1,1.291e-6,1.635e+3,5.199e-16,4.581e-9
418.47,2.934e+3,,1.034e-16,4.915e-22,1.200e+3,2.469e-1,1.885e-6,1.734e+3,5.198e-16,4.639e-9
418.52,3.114e+3,,1.019e-16,4.899e-22,1.281e+3,1.167e-1,2.675e-6,1.833e+3,5.197e-16,4.635e-9
418.57,3.257e+3,,1.005e-16,4.882e-22,1.330e+3,5.356e-2,3.690e-6,1.927e+3,5.195e-16,4.571e-9
418.62,3.352e+3,,9.906e-17,4.865e-22,1.341e+3,2.389e-2,4.947e-6,2.011e+3,5.194e-16,4.454e-9
418.67,3.392e+3,,9.762e-17,4.849e-22,1.315e+3,1.036e-2,6.446e-6,2.077e+3,5.193e-16,4.297e-9
418.71,3.382e+3,,9.647e-17,4.835e-22,1.267e+3,5.197e-3,7.805e-6,2.115e+3,5.192e-16,4.151e-9
418.76,3.318e+3,,9.503e-17,4.819e-22,1.180e+3,2.139e-3,9.662e-6,2.137e+3,5.190e-16,3.954e-9
418.81,3.201e+3,,9.360e-17,4.802e-22,1.068e+3,8.555e-4,1.163e-5,2.133e+3,5.189e-16,3.754e-9
418.86,3.041e+3,,9.216e-17,4.785e-22,9.393e+2,3.325e-4,1.360e-5,2.102e+3,5.188e-16,3.562e-9
418.91,2.852e+3,,9.072e-17,4.769e-22,8.029e+2,1.255e-4,1.545e-5,2.049e+3,5.187e-16,3.386e-9
418.96,2.647e+3,,8.928e-17,4.752e-22,6.669e+2,4.607e-5,1.707e-5,1.980e+3,5.185e-16,3.235e-9
419.01,2.443e+3,,8.784e-17,4.735e-22,5.385e+2,1.642e-5,1.833e-5,1.905e+3,5.184e-16,3.112e-9
419.06,2.254e+3,,8.640e-17,4.719e-22,4.225e+2,5.690e-6,1.913e-5,1.832e+3,5.183e-16,3.022e-9
419.10,2.123e+3,,8.525e-17,4.705e-22,3.409e+2,2.387e-6,1.940e-5,1.782e+3,5.182e-16,2.974e-9
419.15,1.994e+3,,8.381e-17,4.689e-22,2.541e+2,7.852e-7,1.923e-5,1.740e+3,5.181e-16,2.942e-9
419.20,1.913e+3,,8.237e-17,4.672e-22,1.841e+2,2.510e-7,1.853e-5,1.729e+3,5.179e-16,2.937e-9
419.25,1.888e+3,,8.093e-17,4.655e-22,1.296e+2,7.796e-8,1.736e-5,1.758e+3,5.178e-16,2.950e-9
419.30,1.923e+3,,7.950e-17,4.639e-22,8.866e+1,2.353e-8,1.580e-5,1.835e+3,5.177e-16,2.971e-9
419.35,2.022e+3,,7.806e-17,4.622e-22,5.896e+1,6.901e-9,1.398e-5,1.963e+3,5.176e-16,2.986e-9
419.40,2.185e+3,,7.662e-17,4.605e-22,3.810e+1,1.966e-9,1.202e-5,2.147e+3,5.174e-16,2.982e-9
419.45,2.407e+3,,7.518e-17,4.589e-22,2.393e+1,5.445e-10,1.005e-5,2.383e+3,5.173e-16,2.949e-9
419.50,2.682e+3,,7.374e-17,4.572e-22,1.461e+1,1.465e-10,8.164e-6,2.668e+3,5.172e-16,2.878e-9
419.54,2.933e+3,,7.259e-17,4.558e-22,9.642e+0,5.020e-11,6.773e-6,2.923e+3,5.171e-16,2.792e-9
419.59,3.272e+3,,7.115e-17,4.542e-22,5.591e+0,1.283e-11,5.228e-6,3.267e+3,5.169e-16,2.649e-9
