Wavelength (nm),Sum(calc),Fe I (6.1e-2),Fe II (3.4e-1),Fe III (4.5e-5),Ni I (1.5e-1),Ni II (4.5e-1),Ni III (1.5e-5)
339.42,1.702e+4,2.348e+2,8.623e-14,1.773e-21,1.679e+4,,1.842e-23
339.45,1.276e+4,1.666e+2,8.613e-14,1.772e-21,1.260e+4,,1.843e-23
339.47,1.019e+4,1.281e+2,8.606e-14,1.771e-21,1.006e+4,,1.844e-23
339.50,6.903e+3,8.250e+1,8.596e-14,1.770e-21,6.820e+3,,1.845e-23
339.52,5.147e+3,6.004e+1,8.590e-14,1.770e-21,5.087e+3,,1.845e-23
339.55,3.149e+3,3.721e+1,8.580e-14,1.769e-21,3.112e+3,,1.846e-23
339.57,2.195e+3,2.843e+1,8.573e-14,1.768e-21,2.167e+3,,1.847e-23
339.60,1.219e+3,2.383e+1,8.563e-14,1.767e-21,1.195e+3,,1.848e-23
339.62,8.029e+2,2.623e+1,8.557e-14,1.766e-21,7.767e+2,,1.848e-23
339.65,4.246e+2,3.839e+1,8.547e-14,1.766e-21,3.862e+2,,1.849e-23
339.67,2.869e+2,5.283e+1,8.540e-14,1.765e-21,2.341e+2,,1.850e-23
339.70,1.903e+2,8.544e+1,8.530e-14,1.764e-21,1.049e+2,,1.851e-23
339.72,1.745e+2,1.152e+2,8.524e-14,1.763e-21,5.933e+1,,1.851e-23
339.75,1.962e+2,1.723e+2,8.514e-14,1.762e-21,2.395e+1,,1.852e-23
339.77,2.306e+2,2.179e+2,8.507e-14,1.762e-21,1.264e+1,,1.853e-23
339.80,2.993e+2,2.947e+2,8.498e-14,1.761e-21,4.598e+0,,1.854e-23
339.82,3.505e+2,3.483e+2,8.491e-14,1.760e-21,2.263e+0,,1.854e-23
339.84,4.016e+2,4.005e+2,8.484e-14,1.759e-21,1.084e+0,,1.855e-23
339.87,4.701e+2,4.698e+2,8.475e-14,1.758e-21,3.407e-1,,1.856e-23
339.89,5.056e+2,5.055e+2,8.468e-14,1.758e-21,1.521e-1,,1.856e-23
339.92,5.379e+2,5.379e+2,8.458e-14,1.757e-21,4.310e-2,,1.857e-23
339.94,5.440e+2,5.440e+2,8.451e-14,1.756e-21,1.796e-2,,1.858e-23
339.97,5.312e+2,5.312e+2,8.442e-14,1.755e-21,4.584e-3,,1.859e-23
339.99,5.109e+2,5.109e+2,8.435e-14,1.755e-21,1.781e-3,,1.859e-23
340.02,4.706e+2,4.706e+2,8.425e-14,1.754e-21,4.097e-4,,1.860e-23
340.04,4.422e+2,4.422e+2,8.419e-14,1.753e-21,1.485e-4,,1.861e-23
340.07,4.052e+2,4.052e+2,8.409e-14,1.752e-21,3.078e-5,,1.862e-23
340.09,3.877e+2,3.877e+2,8.402e-14,1.751e-21,1.041e-5,,1.862e-23
340.12,3.747e+2,3.747e+2,8.392e-14,1.750e-21,1.944e-6,,1.863e-23
340.14,3.745e+2,3.745e+2,8.386e-14,1.750e-21,6.133e-7,,1.864e-23
340.17,3.839e+2,3.839e+2,8.376e-14,1.749e-21,1.032e-7,,1.865e-23
340.19,3.938e+2,3.938e+2,8.369e-14,1.748e-21,3.037e-8,,1.865e-23
340.22,4.098e+2,4.098e+2,8.359e-14,1.747e-21,4.603e-9,,1.866e-23
340.24,4.191e+2,4.191e+2,8.353e-14,1.746e-21,1.264e-9,,1.867e-23
340.27,4.294e+2,4.294e+2,8.343e-14,1.746e-21,1.726e-10,,1.868e-23
340.29,4.339e+2,4.339e+2,8.336e-14,1.745e-21,4.421e-11,,1.868e-23
340.32,4.386e+2,4.386e+2,8.326e-14,1.744e-21,5.847e-12,,1.869e-23
340.34,4.417e+2,4.417e+2,8.320e-14,1.743e-21,1.650e-12,,1.870e-23
340.36,4.463e+2,4.463e+2,8.313e-14,1.743e-21,6.769e-12,,1.870e-23
340.39,4.592e+2,4.592e+2,8.303e-14,1.742e-21,5.059e-11,,1.871e-23
340.41,4.744e+2,4.744e+2,8.297e-14,1.741e-21,1.869e-10,,1.872e-23
340.44,5.131e+2,5.131e+2,8.287e-14,1.740e-21,1.267e-9,,1.873e-23
340.46,5.541e+2,5.541e+2,8.280e-14,1.739e-21,4.376e-9,,1.873e-23
340.49,6.476e+2,6.476e+2,8.270e-14,1.738e-21,2.669e-8,,1.874e-23
340.51,7.367e+2,7.367e+2,8.264e-14,1.738e-21,8.614e-8,,1.875e-23
340.54,9.182e+2,9.182e+2,8.254e-14,1.737e-21,4.747e-7,,1.876e-23
340.56,1.073e+3,1.073e+3,8.247e-14,1.736e-21,1.432e-6,,1.876e-23
340.59,1.350e+3,1.350e+3,8.237e-14,1.735e-21,7.135e-6,,1.877e-23
340.61,1.556e+3,1.556e+3,8.231e-14,1.735e-21,2.013e-5,,1.878e-23
340.64,1.875e+3,1.875e+3,8.221e-14,1.734e-21,9.073e-5,,1.879e-23
340.66,2.075e+3,2.075e+3,8.214e-14,1.733e-21,2.395e-4,,1.879e-23
340.69,2.324e+3,2.324e+3,8.205e-14,1.732e-21,9.782e-4,,1.880e-23
340.71,2.436e+3,2.436e+3,8.198e-14,1.731e-21,2.419e-3,,1.881e-23
340.74,2.501e+3,2.501e+3,8.188e-14,1.730e-21,8.963e-3,,1.881e-23
340.76,2.470e+3,2.470e+3,8.182e-14,1.730e-21,2.079e-2,,1.882e-23
340.79,2.317e+3,2.317e+3,8.172e-14,1.729e-21,7.006e-2,,1.883e-23
340.81,2.155e+3,2.155e+3,8.165e-14,1.728e-21,1.527e-1,,1.884e-23
340.84,1.854e+3,1.854e+3,8.155e-14,1.727e-21,4.694e-1,,1.884e-23
340.86,1.634e+3,1.633e+3,8.149e-14,1.726e-21,9.634e-1,,1.885e-23
340.88,1.415e+3,1.413e+3,8.142e-14,1.726e-21,1.932e+0,,1.886e-23
340.91,1.113e+3,1.108e+3,8.132e-14,1.725e-21,5.257e+0,,1.887e-23
340.93,9.415e+2,9.316e+2,8.126e-14,1.724e-21,9.965e+0,,1.887e-23
340.96,7.428e+2,7.178e+2,8.116e-14,1.723e-21,2.497e+1,,1.888e-23
340.98,6.546e+2,6.097e+2,8.109e-14,1.723e-21,4.488e+1,,1.889e-23
341.01,5.989e+2,4.950e+2,8.099e-14,1.722e-21,1.040e+2,,1.889e-23
341.03,6.237e+2,4.463e+2,8.093e-14,1.721e-21,1.775e+2,,1.890e-23
341.06,7.897e+2,4.088e+2,8.083e-14,1.720e-21,3.809e+2,,1.891e-23
341.08,1.023e+3,4.048e+2,8.076e-14,1.719e-21,6.180e+2,,1.892e-23
341.11,1.657e+3,4.274e+2,8.066e-14,1.718e-21,1.229e+3,,1.892e-23
341.13,2.354e+3,4.603e+2,8.060e-14,1.718e-21,1.894e+3,,1.893e-23
341.16,4.016e+3,5.327e+2,8.050e-14,1.717e-21,3.483e+3,,1.894e-23
341.18,5.682e+3,5.929e+2,8.043e-14,1.716e-21,5.089e+3,,1.895e-23
341.21,9.314e+3,6.919e+2,8.033e-14,1.715e-21,8.622e+3,,1.895e-23
341.23,1.267e+4,7.565e+2,8.027e-14,1.715e-21,1.191e+4,,1.896e-23
341.26,1.935e+4,8.374e+2,8.017e-14,1.714e-21,1.851e+4,,1.897e-23
341.28,2.498e+4,8.732e+2,8.010e-14,1.713e-21,2.411e+4,,1.897e-23
341.31,3.513e+4,8.898e+2,8.000e-14,1.712e-21,3.424e+4,,1.898e-23
341.33,4.281e+4,8.736e+2,7.994e-14,1.711e-21,4.194e+4,,1.899e-23
341.35,5.093e+4,8.360e+2,7.987e-14,1.711e-21,5.010e+4,,1.900e-23
341.38,6.309e+4,7.455e+2,7.977e-14,1.710e-21,6.235e+4,,1.900e-23
341.40,7.052e+4,6.688e+2,7.971e-14,1.709e-21,6.985e+4,,1.901e-23
341.43,7.941e+4,5.430e+2,7.961e-14,1.708e-21,7.887e+4,,1.902e-23
341.45,8.322e+4,4.600e+2,7.954e-14,1.707e-21,8.276e+4,,1.903e-23
341.48,8.499e+4,3.494e+2,7.944e-14,1.706e-21,8.464e+4,,1.903e-23
341.50,8.339e+4,2.905e+2,7.938e-14,1.706e-21,8.310e+4,,1.904e-23
341.53,7.712e+4,2.311e+2,7.928e-14,1.705e-21,7.688e+4,,1.905e-23
341.55,7.080e+4,2.128e+2,7.921e-14,1.704e-21,7.059e+4,,1.905e-23
341.58,5.924e+4,2.182e+2,7.912e-14,1.703e-21,5.903e+4,,1.906e-23
341.60,5.089e+4,2.429e+2,7.905e-14,1.703e-21,5.065e+4,,1.907e-23
341.63,3.857e+4,3.080e+2,7.895e-14,1.702e-21,3.826e+4,,1.908e-23
341.65,3.104e+4,3.667e+2,7.889e-14,1.701e-21,3.067e+4,,1.908e-23
341.68,2.139e+4,4.701e+2,7.879e-14,1.700e-21,2.092e+4,,1.909e-23
341.70,1.621e+4,5.433e+2,7.872e-14,1.699e-21,1.567e+4,,1.910e-23
341.73,1.030e+4,6.482e+2,7.862e-14,1.698e-21,9.647e+3,,1.911e-23
341.75,7.456e+3,7.079e+2,7.856e-14,1.698e-21,6.748e+3,,1.911e-23
341.78,4.522e+3,7.717e+2,7.846e-14,1.697e-21,3.750e+3,,1.912e-23
341.80,3.242e+3,7.924e+2,7.839e-14,1.696e-21,2.450e+3,,1.913e-23
341.83,2.016e+3,7.870e+2,7.829e-14,1.695e-21,1.229e+3,,1.914e-23
341.85,1.510e+3,7.593e+2,7.823e-14,1.695e-21,7.507e+2,,1.914e-23
341.87,1.162e+3,7.148e+2,7.816e-14,1.694e-21,4.474e+2,,1.915e-23
341.90,8.239e+2,6.236e+2,7.806e-14,1.693e-21,2.003e+2,,1.916e-23
341.92,6.731e+2,5.528e+2,7.800e-14,1.692e-21,1.203e+2,,1.916e-23
341.95,5.171e+2,4.428e+2,7.790e-14,1.691e-21,7.426e+1,,1.917e-23
341.97,4.513e+2,3.731e+2,7.783e-14,1.691e-21,7.824e+1,,1.918e-23
342.00,4.145e+2,2.825e+2,7.773e-14,1.690e-21,1.320e+2,,1.919e-23
