Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.2e-1),Fe III (1.1e-4),Ni I (7.3e-3),Ni II (2.3e-2),Ni III (7.6e-7)
203.47,5.573e+1,,5.573e+1,3.586e-4,1.045e-18,,
203.49,9.072e+1,,9.072e+1,3.849e-4,1.056e-18,,
203.52,1.914e+2,,1.914e+2,4.080e-4,1.074e-18,,
203.54,2.918e+2,,2.918e+2,4.158e-4,1.085e-18,,
203.57,4.768e+2,,4.768e+2,4.228e-4,1.103e-18,,
203.59,6.010e+2,,6.010e+2,4.280e-4,1.114e-18,,
203.62,7.359e+2,,7.359e+2,4.425e-4,1.132e-18,,
203.64,7.648e+2,,7.648e+2,4.583e-4,1.143e-18,,
203.67,7.012e+2,,7.012e+2,4.880e-4,1.161e-18,,
203.69,6.010e+2,,6.010e+2,5.063e-4,1.172e-18,,
203.72,4.126e+2,,4.126e+2,5.201e-4,1.190e-18,,
203.74,2.916e+2,,2.916e+2,5.160e-4,1.201e-18,,
203.77,1.503e+2,,1.503e+2,4.917e-4,1.219e-18,,
203.79,8.877e+1,,8.877e+1,4.688e-4,1.230e-18,,
203.82,4.035e+1,,4.035e+1,4.360e-4,1.248e-18,,
203.84,3.310e+1,,3.310e+1,4.202e-4,1.259e-18,,
203.86,4.667e+1,,4.667e+1,4.109e-4,1.271e-18,,
203.89,1.233e+2,,1.233e+2,4.083e-4,1.288e-18,,
203.91,2.341e+2,,2.341e+2,4.123e-4,1.300e-18,,
203.94,5.386e+2,,5.386e+2,4.245e-4,1.317e-18,,
203.96,8.539e+2,,8.539e+2,4.355e-4,1.329e-18,,
203.99,1.476e+3,,1.476e+3,4.527e-4,1.346e-18,,
204.01,1.932e+3,,1.932e+3,4.599e-4,1.358e-18,,
204.04,2.504e+3,,2.504e+3,4.520e-4,1.375e-18,,
204.06,2.704e+3,,2.704e+3,4.278e-4,1.843e-17,,
204.09,2.627e+3,,2.627e+3,3.604e-4,7.841e-16,,
204.11,2.341e+3,,2.341e+3,2.999e-4,8.684e-15,,
204.14,1.705e+3,,1.705e+3,2.029e-4,2.774e-13,,
204.16,1.254e+3,,1.254e+3,1.446e-4,2.539e-12,,
204.19,6.846e+2,,6.846e+2,7.914e-5,6.092e-11,,
204.21,4.154e+2,,4.154e+2,5.299e-5,4.607e-10,,
204.23,2.335e+2,,2.335e+2,4.103e-5,3.227e-9,,
204.26,8.516e+1,,8.516e+1,4.949e-5,5.186e-8,,
204.28,3.949e+1,,3.949e+1,7.377e-5,3.002e-7,,
204.31,1.080e+1,,1.080e+1,1.419e-4,3.623e-6,,
