Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
233.28,9.508e-1,1.470e-12,,9.508e-1
233.3,8.322e-1,1.463e-12,,8.322e-1
233.32,8.016e-1,1.457e-12,,8.016e-1
233.35,8.885e-1,1.447e-12,,8.885e-1
233.37,9.952e-1,1.441e-12,,9.952e-1
233.4,1.146e+0,1.431e-12,,1.146e+0
233.42,1.199e+0,1.424e-12,,1.199e+0
233.45,1.163e+0,1.414e-12,,1.163e+0
233.47,1.063e+0,1.408e-12,,1.063e+0
233.5,8.332e-1,1.398e-12,,8.332e-1
233.52,6.587e-1,1.392e-12,,6.587e-1
233.55,4.150e-1,1.382e-12,,4.150e-1
233.57,2.841e-1,1.375e-12,,2.841e-1
233.6,1.469e-1,1.366e-12,,1.469e-1
233.62,9.344e-2,1.359e-12,,9.344e-2
233.65,6.338e-2,1.349e-12,,6.338e-2
233.67,7.632e-2,1.343e-12,,7.632e-2
233.69,1.205e-1,1.336e-12,,1.205e-1
233.72,2.662e-1,1.327e-12,,2.662e-1
233.74,4.347e-1,1.320e-12,,4.347e-1
233.77,8.194e-1,1.310e-12,,8.194e-1
233.79,1.164e+0,1.304e-12,,1.164e+0
233.82,1.765e+0,1.294e-12,,1.765e+0
233.84,2.166e+0,1.287e-12,,2.166e+0
233.87,2.639e+0,1.278e-12,,2.639e+0
233.89,2.798e+0,1.271e-12,,2.798e+0
233.92,2.737e+0,1.261e-12,,2.737e+0
233.94,2.507e+0,1.255e-12,,2.507e+0
233.97,1.970e+0,1.245e-12,,1.970e+0
233.99,1.559e+0,1.239e-12,,1.559e+0
234.02,9.835e-1,1.229e-12,,9.835e-1
234.04,6.724e-1,1.222e-12,,6.724e-1
234.06,4.336e-1,1.216e-12,,4.336e-1
234.09,2.012e-1,1.206e-12,,2.012e-1
234.11,1.121e-1,1.199e-12,,1.121e-1
234.14,4.179e-2,1.190e-12,,4.179e-2
234.16,2.011e-2,1.183e-12,,2.011e-2
234.19,6.020e-3,1.173e-12,,6.020e-3
234.21,2.504e-3,1.167e-12,,2.504e-3
234.24,6.056e-4,1.157e-12,,6.056e-4
234.26,2.301e-4,1.151e-12,,2.301e-4
234.29,1.228e-4,1.141e-12,,1.228e-4
234.31,2.574e-4,1.134e-12,,2.574e-4
234.34,1.150e-3,1.124e-12,,1.150e-3
234.36,2.996e-3,1.118e-12,,2.996e-3
234.39,1.132e-2,1.108e-12,,1.132e-2
234.41,2.553e-2,1.102e-12,,2.553e-2
234.43,5.433e-2,1.095e-12,,5.433e-2
234.46,1.513e-1,1.085e-12,,1.513e-1
234.48,2.785e-1,1.079e-12,,2.785e-1
234.51,6.236e-1,1.069e-12,,6.236e-1
234.53,9.925e-1,1.063e-12,,9.925e-1
234.56,1.787e+0,1.053e-12,,1.787e+0
234.58,2.461e+0,1.046e-12,,2.461e+0
234.61,3.564e+0,1.036e-12,,3.564e+0
234.63,4.242e+0,1.030e-12,,4.242e+0
234.66,4.941e+0,1.020e-12,,4.941e+0
234.68,5.087e+0,1.014e-12,,5.087e+0
234.71,4.765e+0,1.004e-12,,4.765e+0
234.73,4.242e+0,9.974e-13,,4.242e+0
234.76,3.196e+0,9.876e-13,,3.196e+0
234.78,2.461e+0,9.811e-13,,2.461e+0
234.81,1.491e+0,9.713e-13,,1.491e+0
234.83,9.925e-1,9.648e-13,,9.925e-1
234.85,6.236e-1,9.583e-13,,6.236e-1
234.88,2.785e-1,9.485e-13,,2.785e-1
234.9,1.513e-1,9.420e-13,,1.513e-1
234.93,5.433e-2,9.322e-13,,5.433e-2
234.95,2.553e-2,9.257e-13,,2.553e-2
234.98,7.373e-3,9.159e-13,,7.373e-3
235,2.996e-3,9.094e-13,,2.996e-3
235.03,6.958e-4,8.996e-13,,6.958e-4
235.05,2.445e-4,8.931e-13,,2.445e-4
235.08,4.567e-5,8.833e-13,,4.567e-5
235.1,1.388e-5,8.768e-13,,1.388e-5
235.13,2.085e-6,8.670e-13,,2.085e-6
235.15,5.479e-7,8.605e-13,,5.479e-7
235.18,6.619e-8,8.507e-13,,6.619e-8
235.2,1.504e-8,8.442e-13,,1.504e-8
235.22,3.226e-9,8.377e-13,,3.226e-9
235.25,2.872e-10,8.279e-13,,2.872e-10
235.27,5.327e-11,8.214e-13,,5.327e-11
235.3,3.815e-12,8.116e-13,,3.815e-12
235.32,6.118e-13,8.051e-13,,6.118e-13
235.35,3.523e-14,7.953e-13,,3.523e-14
235.37,4.886e-15,7.888e-13,,4.886e-15
235.4,2.263e-16,7.790e-13,,2.263e-16
236.78,2.653e-16,3.293e-13,,2.653e-16
236.8,1.988e-15,3.228e-13,,1.988e-15
236.83,3.666e-14,3.130e-13,,3.666e-14
236.85,2.384e-13,3.065e-13,,2.384e-13
