Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
211.32,1.387e+3,,1.387e+3
211.34,1.782e+3,,1.782e+3
211.37,2.269e+3,,2.269e+3
211.39,2.437e+3,,2.437e+3
211.42,2.373e+3,,2.373e+3
211.44,2.131e+3,,2.131e+3
211.47,1.586e+3,,1.586e+3
211.49,1.191e+3,,1.191e+3
211.52,6.777e+2,,6.777e+2
211.54,4.255e+2,,4.255e+2
211.56,2.487e+2,,2.487e+2
211.59,9.717e+1,,9.717e+1
211.61,4.750e+1,,4.750e+1
211.64,1.428e+1,,1.428e+1
211.66,6.088e+0,,6.088e+0
211.69,2.662e+0,,2.662e+0
211.71,3.843e+0,,3.843e+0
211.74,1.216e+1,,1.216e+1
211.76,2.595e+1,,2.595e+1
211.79,7.197e+1,,7.197e+1
211.81,1.308e+2,,1.308e+2
211.84,2.824e+2,,2.824e+2
211.86,4.338e+2,,4.338e+2
211.88,6.227e+2,,6.227e+2
211.91,9.426e+2,,9.426e+2
211.93,1.141e+3,,1.141e+3
211.96,1.336e+3,,1.336e+3
211.98,1.362e+3,,1.362e+3
212.01,1.230e+3,,1.230e+3
212.03,1.054e+3,,1.054e+3
212.06,7.335e+2,,7.335e+2
212.08,5.278e+2,,5.278e+2
212.11,2.824e+2,,2.824e+2
212.13,1.705e+2,,1.705e+2
212.16,7.007e+1,,7.007e+1
212.18,3.547e+1,,3.547e+1
212.2,1.673e+1,,1.673e+1
212.23,4.745e+0,,4.745e+0
212.25,1.875e+0,,1.875e+0
212.28,4.078e-1,,4.078e-1
212.3,1.350e-1,,1.350e-1
212.33,2.249e-2,,2.249e-2
212.35,6.234e-3,,6.234e-3
212.38,7.962e-4,,7.962e-4
212.4,1.847e-4,,1.847e-4
212.43,1.807e-5,,1.807e-5
212.45,3.511e-6,,3.511e-6
212.48,2.630e-7,,2.630e-7
212.5,4.277e-8,,4.277e-8
212.52,6.477e-9,,6.477e-9
212.55,3.340e-10,,3.340e-10
212.57,4.234e-11,,4.234e-11
212.6,1.669e-12,,1.669e-12
212.7,7.462e-14,,7.462e-14
212.72,7.078e-13,,7.078e-13
212.75,1.812e-11,,1.812e-11
212.77,1.442e-10,,1.442e-10
212.8,2.836e-9,,2.836e-9
212.82,1.893e-8,,1.893e-8
212.84,1.178e-7,,1.178e-7
212.87,1.602e-6,,1.602e-6
212.89,8.357e-6,,8.357e-6
212.92,8.732e-5,,8.732e-5
212.94,3.822e-4,,3.822e-4
212.97,3.068e-3,,3.068e-3
212.99,1.126e-2,,1.126e-2
213.02,6.946e-2,,6.946e-2
213.04,2.139e-1,,2.139e-1
213.07,1.013e+0,,1.013e+0
213.09,2.618e+0,,2.618e+0
213.12,9.528e+0,,9.528e+0
213.14,2.065e+1,,2.065e+1
213.16,4.171e+1,,4.171e+1
213.19,1.049e+2,,1.049e+2
213.21,1.778e+2,,1.778e+2
213.24,3.437e+2,,3.437e+2
213.26,4.885e+2,,4.885e+2
213.29,7.254e+2,,7.254e+2
213.31,8.648e+2,,8.648e+2
213.34,9.867e+2,,9.867e+2
213.36,9.867e+2,,9.867e+2
213.39,8.648e+2,,8.648e+2
213.41,7.254e+2,,7.254e+2
213.44,4.885e+2,,4.885e+2
213.46,3.437e+2,,3.437e+2
213.48,2.254e+2,,2.254e+2
213.51,1.049e+2,,1.049e+2
213.53,5.773e+1,,5.773e+1
213.56,2.065e+1,,2.065e+1
213.58,9.528e+0,,9.528e+0
213.61,2.618e+0,,2.618e+0
213.63,1.013e+0,,1.013e+0
213.66,2.139e-1,,2.139e-1
213.68,6.946e-2,,6.946e-2
213.71,1.126e-2,,1.126e-2
213.73,3.068e-3,,3.068e-3
213.76,3.822e-4,,3.822e-4
213.78,8.732e-5,,8.732e-5
213.8,1.859e-5,,1.859e-5
213.83,1.602e-6,,1.602e-6
213.85,2.861e-7,,2.861e-7
213.88,1.893e-8,,1.893e-8
213.9,2.836e-9,,2.836e-9
213.93,1.442e-10,,1.442e-10
213.95,1.812e-11,,1.812e-11
213.98,7.078e-13,,7.078e-13
214,7.462e-14,,7.462e-14
222.3,4.681e-14,,4.681e-14
222.32,5.368e-13,,5.368e-13
222.34,4.521e-12,,4.521e-12
222.37,9.796e-11,,9.796e-11
222.39,7.028e-10,,7.028e-10
222.42,1.197e-8,,1.197e-8
222.44,7.316e-8,,7.316e-8
222.47,9.798e-7,,9.798e-7
222.49,5.100e-6,,5.100e-6
222.52,5.370e-5,,5.370e-5
222.54,2.381e-4,,2.381e-4
222.57,1.971e-3,,1.971e-3
222.59,7.445e-3,,7.445e-3
222.62,4.846e-2,,4.846e-2
222.64,1.559e-1,,1.559e-1
222.66,4.705e-1,,4.705e-1
222.69,2.187e+0,,2.187e+0
222.71,5.623e+0,,5.623e+0
222.74,2.055e+1,,2.055e+1
222.76,4.501e+1,,4.501e+1
222.79,1.293e+2,,1.293e+2
222.81,2.413e+2,,2.413e+2
222.84,5.455e+2,,5.455e+2
222.86,8.673e+2,,8.673e+2
222.89,1.543e+3,,1.543e+3
222.91,2.092e+3,,2.092e+3
222.94,2.935e+3,,2.935e+3
222.96,3.404e+3,,3.404e+3
222.98,3.718e+3,,3.718e+3
223.01,3.819e+3,,3.819e+3
223.03,3.653e+3,,3.653e+3
223.06,3.188e+3,,3.188e+3
223.08,2.838e+3,,2.838e+3
223.11,2.387e+3,,2.387e+3
223.13,2.160e+3,,2.160e+3
223.16,1.890e+3,,1.890e+3
223.18,1.712e+3,,1.712e+3
223.21,1.399e+3,,1.399e+3
223.23,1.158e+3,,1.158e+3
223.26,7.897e+2,,7.897e+2
223.28,5.686e+2,,5.686e+2
223.3,3.851e+2,,3.851e+2
223.33,1.909e+2,,1.909e+2
223.35,1.105e+2,,1.105e+2
223.38,4.313e+1,,4.313e+1
223.4,2.127e+1,,2.127e+1
223.43,6.529e+0,,6.529e+0
223.45,2.742e+0,,2.742e+0
223.48,6.617e-1,,6.617e-1
223.5,2.367e-1,,2.367e-1
223.53,4.489e-2,,4.489e-2
223.55,1.367e-2,,1.367e-2
223.58,2.038e-3,,2.038e-3
223.6,5.287e-4,,5.287e-4
223.62,1.286e-4,,1.286e-4
223.65,1.368e-5,,1.368e-5
223.67,2.835e-6,,2.835e-6
223.7,2.369e-7,,2.369e-7
223.72,4.180e-8,,4.180e-8
223.75,2.746e-9,,2.746e-9
223.77,4.126e-10,,4.126e-10
223.8,2.130e-11,,2.130e-11
223.82,2.726e-12,,2.726e-12
223.85,1.106e-13,,1.106e-13
231.33,1.908e-13,,1.908e-13
231.35,1.527e-12,,1.527e-12
231.38,3.095e-11,,3.095e-11
231.4,2.136e-10,,2.136e-10
231.43,3.463e-9,,3.463e-9
231.45,2.060e-8,,2.060e-8
231.48,2.672e-7,,2.672e-7
231.5,1.370e-6,,1.370e-6
231.53,1.422e-5,,1.422e-5
231.55,6.285e-5,,6.285e-5
231.57,2.617e-4,,2.617e-4
231.6,1.989e-3,,1.989e-3
231.62,7.138e-3,,7.138e-3
231.65,4.341e-2,,4.341e-2
231.67,1.343e-1,,1.343e-1
231.7,6.535e-1,,6.535e-1
231.72,1.742e+0,,1.742e+0
231.75,6.785e+0,,6.785e+0
231.77,1.559e+1,,1.559e+1
231.8,4.859e+1,,4.859e+1
231.82,9.625e+1,,9.625e+1
231.85,2.400e+2,,2.400e+2
231.87,4.098e+2,,4.098e+2
231.89,6.593e+2,,6.593e+2
231.92,1.203e+3,,1.203e+3
231.94,1.669e+3,,1.669e+3
231.97,2.437e+3,,2.437e+3
231.99,2.913e+3,,2.913e+3
232.02,3.405e+3,,3.405e+3
232.04,3.508e+3,,3.508e+3
232.07,3.281e+3,,3.281e+3
232.09,2.913e+3,,2.913e+3
232.12,2.180e+3,,2.180e+3
232.14,1.669e+3,,1.669e+3
232.17,9.994e+2,,9.994e+2
232.19,6.593e+2,,6.593e+2
232.21,4.098e+2,,4.098e+2
232.24,1.797e+2,,1.797e+2
232.26,9.625e+1,,9.625e+1
232.29,3.377e+1,,3.377e+1
232.31,1.559e+1,,1.559e+1
232.34,4.377e+0,,4.377e+0
232.36,1.742e+0,,1.742e+0
232.39,3.914e-1,,3.914e-1
232.41,1.343e-1,,1.343e-1
232.44,2.414e-2,,2.414e-2
232.46,7.138e-3,,7.138e-3
232.49,1.027e-3,,1.027e-3
232.51,2.617e-4,,2.617e-4
232.53,6.285e-5,,6.285e-5
232.56,6.618e-6,,6.618e-6
232.58,1.370e-6,,1.370e-6
232.61,1.164e-7,,1.164e-7
232.63,2.600e-8,,2.600e-8
232.66,6.681e-8,,6.681e-8
232.68,3.206e-7,,3.206e-7
232.71,3.109e-6,,3.109e-6
232.73,1.314e-5,,1.314e-5
232.76,1.023e-4,,1.023e-4
232.78,3.733e-4,,3.733e-4
232.81,2.330e-3,,2.330e-3
232.83,7.341e-3,,7.341e-3
232.85,2.181e-2,,2.181e-2
232.88,1.000e-1,,1.000e-1
232.9,2.565e-1,,2.565e-1
232.93,9.441e-1,,9.441e-1
232.95,2.092e+0,,2.092e+0
232.98,6.185e+0,,6.185e+0
233,1.185e+1,,1.185e+1
233.03,2.820e+1,,2.820e+1
233.05,4.681e+1,,4.681e+1
233.08,9.006e+1,,9.006e+1
233.1,1.300e+2,,1.300e+2
233.12,1.779e+2,,1.779e+2
233.15,2.585e+2,,2.585e+2
233.17,3.119e+2,,3.119e+2
233.2,3.795e+2,,3.795e+2
233.22,4.105e+2,,4.105e+2
233.25,4.305e+2,,4.305e+2
233.27,4.255e+2,,4.255e+2
233.3,3.931e+2,,3.931e+2
233.32,3.577e+2,,3.577e+2
233.35,2.904e+2,,2.904e+2
233.37,2.408e+2,,2.408e+2
233.4,1.676e+2,,1.676e+2
233.42,1.241e+2,,1.241e+2
233.44,8.750e+1,,8.750e+1
233.47,4.695e+1,,4.695e+1
233.49,2.898e+1,,2.898e+1
233.52,1.266e+1,,1.266e+1
233.54,6.791e+0,,6.791e+0
233.57,2.396e+0,,2.396e+0
233.59,1.113e+0,,1.113e+0
233.62,3.161e-1,,3.161e-1
233.64,1.269e-1,,1.269e-1
233.67,2.896e-2,,2.896e-2
233.69,1.005e-2,,1.005e-2
233.72,1.839e-3,,1.839e-3
233.74,5.511e-4,,5.511e-4
233.76,1.557e-4,,1.557e-4
233.79,2.095e-5,,2.095e-5
233.81,5.110e-6,,5.110e-6
233.84,5.514e-7,,5.514e-7
233.86,1.161e-7,,1.161e-7
233.89,1.005e-8,,1.005e-8
233.91,1.828e-9,,1.828e-9
233.94,1.270e-10,,1.270e-10
233.96,1.993e-11,,1.993e-11
233.99,1.110e-12,,1.110e-12
234.01,1.505e-13,,1.505e-13
234.04,6.726e-15,,6.726e-15
235.96,1.970e-14,,1.970e-14
235.98,1.540e-13,,1.540e-13
236,1.137e-12,,1.137e-12
236.03,2.049e-11,,2.049e-11
236.05,1.312e-10,,1.312e-10
236.08,1.908e-9,,1.908e-9
236.1,1.059e-8,,1.059e-8
236.13,1.244e-7,,1.244e-7
236.15,5.982e-7,,5.982e-7
236.18,5.671e-6,,5.671e-6
236.2,2.365e-5,,2.365e-5
236.23,1.810e-4,,1.810e-4
236.25,6.542e-4,,6.542e-4
236.28,4.041e-3,,4.041e-3
236.3,1.266e-2,,1.266e-2
236.32,3.749e-2,,3.749e-2
236.35,1.716e-1,,1.716e-1
236.37,4.403e-1,,4.403e-1
236.4,1.626e+0,,1.626e+0
236.42,3.618e+0,,3.618e+0
236.45,1.079e+1,,1.079e+1
236.47,2.081e+1,,2.081e+1
236.5,5.008e+1,,5.008e+1
236.52,8.373e+1,,8.373e+1
236.55,1.627e+2,,1.627e+2
236.57,2.358e+2,,2.358e+2
236.6,3.697e+2,,3.697e+2
236.62,4.646e+2,,4.646e+2
236.64,5.515e+2,,5.515e+2
236.67,6.407e+2,,6.407e+2
236.69,6.592e+2,,6.592e+2
236.72,6.182e+2,,6.182e+2
236.74,5.515e+2,,5.515e+2
236.77,4.174e+2,,4.174e+2
236.79,3.228e+2,,3.228e+2
236.82,1.972e+2,,1.972e+2
236.84,1.322e+2,,1.322e+2
236.87,6.522e+1,,6.522e+1
236.89,3.791e+1,,3.791e+1
236.92,1.511e+1,,1.511e+1
236.94,7.669e+0,,7.669e+0
236.96,3.818e+0,,3.818e+0
236.99,2.015e+0,,2.015e+0
237.01,2.929e+0,,2.929e+0
237.04,9.631e+0,,9.631e+0
237.06,2.175e+1,,2.175e+1
237.09,6.715e+1,,6.715e+1
237.11,1.328e+2,,1.328e+2
237.14,3.318e+2,,3.318e+2
237.16,5.693e+2,,5.693e+2
237.19,1.150e+3,,1.150e+3
237.21,1.711e+3,,1.711e+3
237.24,2.793e+3,,2.793e+3
237.26,3.607e+3,,3.607e+3
237.28,4.401e+3,,4.401e+3
237.31,5.331e+3,,5.331e+3
237.33,5.642e+3,,5.642e+3
237.36,5.523e+3,,5.523e+3
237.38,5.072e+3,,5.072e+3
237.41,4.013e+3,,4.013e+3
237.43,3.197e+3,,3.197e+3
237.46,2.044e+3,,2.044e+3
237.48,1.413e+3,,1.413e+3
237.51,7.299e+2,,7.299e+2
237.53,4.377e+2,,4.377e+2
237.56,1.828e+2,,1.828e+2
237.58,9.509e+1,,9.509e+1
237.6,4.674e+1,,4.674e+1
237.63,1.448e+1,,1.448e+1
237.65,6.177e+0,,6.177e+0
237.68,1.547e+0,,1.547e+0
237.7,5.723e-1,,5.723e-1
237.73,1.158e-1,,1.158e-1
237.75,3.718e-2,,3.718e-2
237.78,6.079e-3,,6.079e-3
237.8,1.693e-3,,1.693e-3
237.83,2.238e-4,,2.238e-4
237.85,5.407e-5,,5.407e-5
237.88,5.775e-6,,5.775e-6
237.9,1.211e-6,,1.211e-6
237.92,2.398e-7,,2.398e-7
237.95,1.901e-8,,1.901e-8
237.97,3.266e-9,,3.266e-9
238,2.092e-10,,2.092e-10
238.02,3.119e-11,,3.119e-11
238.05,1.614e-12,,1.614e-12
238.07,2.088e-13,,2.088e-13
239.01,3.210e-14,,3.210e-14
239.03,2.317e-13,,2.317e-13
239.06,4.062e-12,,4.062e-12
239.08,2.553e-11,,2.553e-11
239.11,3.624e-10,,3.624e-10
239.13,1.982e-9,,1.982e-9
239.15,1.026e-8,,1.026e-8
239.18,1.088e-7,,1.088e-7
239.2,4.902e-7,,4.902e-7
239.23,4.224e-6,,4.224e-6
239.25,1.657e-5,,1.657e-5
239.28,1.161e-4,,1.161e-4
239.3,3.967e-4,,3.967e-4
