Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
213.69,5.395e+2,1.079e-13,5.395e+2,
213.72,1.217e+3,1.132e-13,1.217e+3,
213.74,1.917e+3,1.167e-13,1.917e+3,
213.77,3.327e+3,1.220e-13,3.327e+3,
213.79,4.401e+3,1.255e-13,4.401e+3,
213.82,5.874e+3,1.308e-13,5.874e+3,
213.84,6.524e+3,1.343e-13,6.524e+3,
213.87,6.697e+3,1.396e-13,6.697e+3,
213.89,6.244e+3,1.431e-13,6.244e+3,
213.92,4.931e+3,1.483e-13,4.931e+3,
213.94,3.860e+3,1.519e-13,3.860e+3,
213.97,2.345e+3,1.571e-13,2.345e+3,
213.99,1.541e+3,1.606e-13,1.541e+3,
214.02,7.200e+2,1.659e-13,7.200e+2,
214.04,3.972e+2,1.694e-13,3.972e+2,
214.07,1.428e+2,1.747e-13,1.428e+2,
214.09,6.612e+1,1.782e-13,6.612e+1,
214.12,1.828e+1,1.835e-13,1.828e+1,
214.14,7.109e+0,1.749e-12,7.109e+0,
214.16,2.577e+0,1.555e-11,2.577e+0,
214.19,4.935e-1,3.620e-10,4.935e-1,
214.21,1.502e-1,2.706e-9,1.502e-1,
214.24,2.213e-2,4.857e-8,2.213e-2,
214.26,5.654e-3,3.053e-7,5.654e-3,
214.29,6.448e-4,4.225e-6,6.406e-4,
214.31,1.598e-4,2.233e-5,1.374e-4,
214.34,2.502e-4,2.382e-4,1.198e-5,
214.36,1.061e-3,1.058e-3,2.157e-6,
214.39,8.705e-3,8.705e-3,1.446e-7,
214.41,3.252e-2,3.252e-2,2.186e-8,
214.44,2.062e-1,2.062e-1,1.127e-9,
214.46,6.477e-1,6.477e-1,1.431e-10,
214.49,3.166e+0,3.166e+0,5.677e-12,
214.51,8.362e+0,8.362e+0,6.050e-13,
214.54,3.151e+1,3.151e+1,5.998e-13,
214.56,6.997e+1,6.997e+1,5.964e-13,
214.59,2.033e+2,2.033e+2,5.913e-13,
214.61,3.796e+2,3.796e+2,5.878e-13,
214.64,8.502e+2,8.502e+2,5.827e-13,
214.66,1.335e+3,1.335e+3,5.793e-13,
214.69,2.305e+3,2.305e+3,5.741e-13,
214.71,3.041e+3,3.041e+3,5.707e-13,
214.74,4.049e+3,4.049e+3,5.656e-13,
214.76,4.493e+3,4.493e+3,5.621e-13,
214.79,4.612e+3,4.612e+3,5.570e-13,
214.81,4.302e+3,4.302e+3,5.536e-13,
214.84,3.404e+3,3.404e+3,5.484e-13,
214.86,2.671e+3,2.671e+3,5.450e-13,
214.89,1.629e+3,1.629e+3,5.398e-13,
214.91,1.074e+3,1.074e+3,5.364e-13,
214.93,6.611e+2,6.611e+2,5.330e-13,
214.96,2.802e+2,2.802e+2,5.278e-13,
214.98,1.450e+2,1.450e+2,5.244e-13,
215.01,4.737e+1,4.737e+1,5.193e-13,
215.03,2.060e+1,2.060e+1,5.158e-13,
215.06,5.190e+0,5.190e+0,5.107e-13,
215.08,1.898e+0,1.898e+0,5.073e-13,
215.11,3.686e-1,3.686e-1,5.021e-13,
215.13,1.134e-1,1.134e-1,4.987e-13,
215.16,1.697e-2,1.697e-2,4.936e-13,
215.18,4.388e-3,4.388e-3,4.901e-13,
215.21,5.065e-4,5.065e-4,4.850e-13,
215.23,1.101e-4,1.101e-4,4.518e-12,
215.26,1.015e-5,1.015e-5,1.129e-10,
215.28,3.821e-6,3.820e-6,8.861e-10,
215.31,2.510e-5,2.508e-5,1.712e-8,
215.33,1.224e-4,1.222e-4,1.132e-7,
215.36,1.169e-3,1.167e-3,1.690e-6,
215.38,4.843e-3,4.833e-3,9.407e-6,
215.41,3.604e-2,3.593e-2,1.086e-4,
215.43,1.265e-1,1.260e-1,5.092e-4,
215.46,7.359e-1,7.313e-1,4.544e-3,
215.48,2.195e+0,2.177e+0,1.794e-2,
215.51,1.003e+1,9.902e+0,1.238e-1,
215.53,2.550e+1,2.509e+1,4.116e-1,
215.56,9.203e+1,8.983e+1,2.195e+0,
215.58,2.005e+2,1.943e+2,6.148e+0,
215.61,5.755e+2,5.501e+2,2.534e+1,
215.63,1.079e+3,1.019e+3,5.978e+1,
215.66,2.478e+3,2.288e+3,1.905e+2,
215.68,4.012e+3,3.633e+3,3.785e+2,
215.71,7.413e+3,6.481e+3,9.321e+2,
215.73,1.039e+4,8.827e+3,1.560e+3,
215.75,1.374e+4,1.130e+4,2.438e+3,
215.78,1.876e+4,1.457e+4,4.186e+3,
215.8,2.148e+4,1.597e+4,5.511e+3,
215.83,2.358e+4,1.626e+4,7.320e+3,
215.85,2.332e+4,1.520e+4,8.125e+3,
215.88,2.056e+4,1.217e+4,8.387e+3,
215.9,1.760e+4,9.678e+3,7.919e+3,
215.93,1.267e+4,6.069e+3,6.598e+3,
215.95,9.750e+3,4.094e+3,5.656e+3,
215.98,6.773e+3,2.003e+3,4.771e+3,
