Wavelength (nm),Sum(calc),Y I (2.3e-3),Y II (6.3e-2),La I (1.4e-3),La II (6.3e-2),Ce I (1.2e-3),Ce II (6.3e-2),Pr II (6.2e-2),Nd I (8.0e-4),Nd II (6.4e-2),Sm I (8.9e-4),Sm II (6.3e-2),Eu I (1.5e-3),Eu II (6.2e-2),Gd I (1.8e-3),Tb II (6.1e-2),Dy I (1.6e-3),Dy II (6.4e-2),Ho I (3.3e-3),Ho II (6.0e-2),Er I (2.2e-3),Er II (6.3e-2),Tm I (2.0e-3),Tm II (6.3e-2),Yb I (2.0e-3),Yb II (6.3e-2),Lu I (3.9e-3),Lu II (7.2e-2)
217.99,6.876e-9,,,,,,,,,,,,,,,,,,,,,,,,,6.876e-9,,
218.02,1.175e-7,,,,,,,,,,,,,,,,,,,,,,,,,1.175e-7,,
218.04,7.170e-7,,,,,,,,,,,,,,,,,,,,,,,,,7.170e-7,,
218.07,9.530e-6,,,,,,,,,,,,,,,,,,,,,,,,,9.530e-6,,
218.09,4.918e-5,,,,,,,,,,,,,,,,,,,,,,,,,4.918e-5,,
218.12,5.085e-4,,,,,,,,,,,,,,,,,,,,,,,,,5.085e-4,,
218.14,2.220e-3,,,,,,,,,,,,,,,,,,,,,,,,,2.220e-3,,
218.17,1.785e-2,,,,,,,,,,,,,,,,,,,,,,,,,1.785e-2,,
218.2,1.235e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.235e-1,,
218.22,4.124e-1,,,,,,,,,,,,,,,,,,,,,,,,,4.124e-1,,
218.25,2.219e+0,,,,,,,,,,,,,,,,,,,,,,,,,2.219e+0,,
218.27,6.268e+0,,,,,,,,,,,,,,,,,,,,,,,,,6.268e+0,,
218.3,2.624e+1,,,,,,,,,,,,,,,,,,,,,,,,,2.624e+1,,
218.32,6.268e+1,,,,,,,,,,,,,,,,,,,,,,,,,6.268e+1,,
218.35,2.041e+2,,,,,,,,,,,,,,,,,,,,,,,,,2.041e+2,,
218.38,5.716e+2,,,,,,,,,,,,,,,,,,,,,,,,,5.716e+2,,
218.4,1.044e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.044e+3,,
218.43,2.276e+3,,,,,,,,,,,,,,,,,,,,,,,,,2.276e+3,,
218.45,3.517e+3,,,,,,,,,,,,,,,,,,,,,,,,,3.517e+3,,
218.48,5.960e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.960e+3,,
218.5,7.791e+3,,,,,,,,,,,,,,,,,,,,,,,,,7.791e+3,,
218.53,1.027e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.027e+4,,
218.56,1.165e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.165e+4,,
218.58,1.165e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.165e+4,,
218.61,1.027e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.027e+4,,
218.63,8.687e+3,,,,,,,,,,,,,,,,,,,,,,,,,8.687e+3,,
218.66,5.960e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.960e+3,,
218.68,4.264e+3,,,,,,,,,,,,,,,,,,,,,,,,,4.264e+3,,
218.71,2.276e+3,,,,,,,,,,,,,,,,,,,,,,,,,2.276e+3,,
218.74,1.044e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.044e+3,,
218.76,5.716e+2,,,,,,,,,,,,,,,,,,,,,,,,,5.716e+2,,
218.79,2.041e+2,,,,,,,,,,,,,,,,,,,,,,,,,2.041e+2,,
218.81,9.447e+1,,,,,,,,,,,,,,,,,,,,,,,,,9.447e+1,,
218.84,2.624e+1,,,,,,,,,,,,,,,,,,,,,,,,,2.624e+1,,5.525e-15
218.86,1.027e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.027e+1,,5.831e-14
218.89,2.219e+0,,,,,,,,,,,,,,,,,,,,,,,,,2.219e+0,,1.766e-12
218.92,4.124e-1,,,,,,,,,,,,,,,,,,,,,,,,,4.124e-1,,4.605e-11
218.94,1.235e-1,,,,,,,,,,,,,,,,,,,,,,,,,1.235e-1,,3.727e-10
218.97,1.785e-2,,,,,,,,,,,,,,,,,,,,,,,,,1.785e-2,,7.577e-9
218.99,4.523e-3,,,,,,,,,,,,,,,,,,,,,,,,,4.523e-3,,5.195e-8
219.02,5.094e-4,,,,,,,,,,,,,,,,,,,,,,,,,5.085e-4,,8.234e-7
219.04,1.137e-4,,,,,,,,,,,,,,,,,,,,,,,,,1.090e-4,,4.782e-6
219.07,6.863e-5,,,,,,,,,,,,,,,,,,,,,,,,,9.530e-6,,5.910e-5
219.1,6.297e-4,,,,,,,,,,,,,,,,,,,,,,,,,7.170e-7,,6.290e-4
219.12,2.801e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.175e-7,,2.801e-3
219.15,2.324e-2,,,,,,,,,,,,,,,,,,,,,,,,,6.876e-9,,2.324e-2
219.17,8.767e-2,,,,,,,,,,,,,,,,,,,,,,,,,9.532e-10,,8.767e-2
219.2,5.672e-1,,,,,,,,,,,,,,,,,,,,,,,,,4.339e-11,,5.672e-1
219.22,1.812e+0,,,,,,,,,,,,,,,,,,,,,,,,,5.088e-12,,1.812e+0
219.25,9.140e+0,,,,,,,,,,,,,,,,,,,,,,,,,1.802e-13,,9.140e+0
219.28,3.970e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.487e-15,,3.970e+1
219.3,9.728e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.473e-15,,9.728e+1
219.33,3.294e+2,,,,,,,,,,,,,,,,,,,,,,,,,5.453e-15,,3.294e+2
219.35,6.838e+2,,,,,,,,,,,,,,,,,,,,,,,,,5.440e-15,,6.838e+2
219.38,1.805e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.419e-15,,1.805e+3
219.4,3.174e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.406e-15,,3.174e+3
219.43,6.533e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.386e-15,,6.533e+3
219.46,1.158e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.365e-15,,1.158e+4
219.48,1.561e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.352e-15,,1.561e+4
219.51,2.158e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.332e-15,,2.158e+4
219.53,2.465e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.318e-15,,2.465e+4
219.56,2.656e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.298e-15,,2.656e+4
219.58,2.569e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.284e-15,,2.569e+4
219.61,2.158e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.264e-15,,2.158e+4
219.64,1.561e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.244e-15,,1.561e+4
219.66,1.158e+4,,,,,,,,,,,,,,,,,,,,,,,,,5.230e-15,,1.158e+4
219.69,6.533e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.210e-15,,6.533e+3
219.71,4.105e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.196e-15,,4.105e+3
219.74,1.805e+3,,,,,,,,,,,,,,,,,,,,,,,,,5.176e-15,,1.805e+3
219.76,9.609e+2,,,,,,,,,,,,,,,,,,,,,,,,,5.163e-15,,9.609e+2
219.79,3.294e+2,,,,,,,,,,,,,,,,,,,,,,,,,5.142e-15,,3.294e+2
219.82,9.728e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.122e-15,,9.728e+1
219.84,3.970e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.109e-15,,3.970e+1
219.87,9.140e+0,,,,,,,,,,,,,,,,,,,,,,,,,5.088e-15,,9.140e+0
219.89,3.160e+0,,,,,,,,,,,,,,,,,,,,,,,,,5.075e-15,,3.160e+0
219.92,5.672e-1,,,,,,,,,,,,,,,,,,,,,,,,,5.055e-15,,5.672e-1
219.94,1.661e-1,,,,,,,,,,,,,,,,,,,,,,,,,5.041e-15,,1.661e-1
219.97,2.324e-2,,,,,,,,,,,,,,,,,,,,,,,,,5.021e-15,,2.324e-2
220,2.801e-3,,,,,,,,,,,,,,,,,,,,,,,,,5.001e-15,,2.801e-3
220.02,6.290e-4,,,,,,,,,,,,,,,,,,,,,,,,,4.987e-15,,6.290e-4
220.05,5.910e-5,,,,,,,,,,,,,,,,,,,,,,,,,4.967e-15,,5.910e-5
220.07,1.124e-5,,,,,,,,,,,,,,,,,,,,,,,,,4.953e-15,,1.124e-5
220.1,8.234e-7,,,,,,,,,,,,,,,,,,,,,,,,,4.933e-15,,8.234e-7
220.12,1.327e-7,,,,,,,,,,,,,,,,,,,,,,,,,4.920e-15,,1.327e-7
220.15,7.577e-9,,,,,,,,,,,,,,,,,,,,,,,,,4.899e-15,,7.577e-9
220.18,3.727e-10,,,,,,,,,,,,,,,,,,,,,,,,,4.879e-15,,3.727e-10
220.2,4.605e-11,,,,,,,,,,,,,,,,,,,,,,,,,4.866e-15,,4.605e-11
220.23,1.766e-12,,,,,,,,,,,,,,,,,,,,,,,,,4.845e-15,,1.766e-12
220.25,1.848e-13,,,,,,,,,,,,,,,,,,,,,,,,,4.832e-15,,1.848e-13
221.72,3.839e-15,,,,,,,,,,,,,,,,,,,,,,,,,3.839e-15,,1.958e-13
221.74,3.938e-14,,,,,,,,,,,,,,,,,,,,,,,,,3.938e-14,,1.960e-13
221.77,1.146e-12,,,,,,,,,,,,,,,,,,,,,,,,,1.146e-12,,1.962e-13
221.8,2.884e-11,,,,,,,,,,,,,,,,,,,,,,,,,2.884e-11,,1.964e-13
221.82,2.284e-10,,,,,,,,,,,,,,,,,,,,,,,,,2.284e-10,,1.966e-13
221.85,4.510e-9,,,,,,,,,,,,,,,,,,,,,,,,,4.510e-9,,1.968e-13
221.87,3.039e-8,,,,,,,,,,,,,,,,,,,,,,,,,3.039e-8,,1.970e-13
221.9,4.708e-7,,,,,,,,,,,,,,,,,,,,,,,,,4.708e-7,,1.972e-13
221.92,2.699e-6,,,,,,,,,,,,,,,,,,,,,,,,,2.699e-6,,1.973e-13
221.95,3.281e-5,,,,,,,,,,,,,,,,,,,,,,,,,3.281e-5,,1.976e-13
221.98,3.448e-4,,,,,,,,,,,,,,,,,,,,,,,,,3.448e-4,,1.978e-13
222,1.526e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.526e-3,,1.979e-13
222.03,1.258e-2,,,,,,,,,,,,,,,,,,,,,,,,,1.258e-2,,1.982e-13
222.05,4.738e-2,,,,,,,,,,,,,,,,,,,,,,,,,4.738e-2,,1.983e-13
222.08,3.066e-1,,,,,,,,,,,,,,,,,,,,,,,,,3.066e-1,,1.985e-13
222.1,9.820e-1,,,,,,,,,,,,,,,,,,,,,,,,,9.820e-1,,1.987e-13
222.13,4.986e+0,,,,,,,,,,,,,,,,,,,,,,,,,4.986e+0,,1.989e-13
222.16,2.189e+1,,,,,,,,,,,,,,,,,,,,,,,,,2.189e+1,,1.991e-13
222.18,5.412e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.412e+1,,1.993e-13
222.21,1.864e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.864e+2,,1.995e-13
222.23,3.922e+2,,,,,,,,,,,,,,,,,,,,,,,,,3.922e+2,,1.997e-13
222.26,1.060e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.060e+3,,1.999e-13
222.28,1.897e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.897e+3,,2.000e-13
222.31,4.023e+3,,,,,,,,,,,,,,,,,,,,,,,,,4.023e+3,,2.003e-13
222.34,7.377e+3,,,,,,,,,,,,,,,,,,,,,,,,,7.377e+3,,2.005e-13
222.36,1.019e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.019e+4,,2.006e-13
222.39,1.467e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.467e+4,,2.009e-13
222.41,1.724e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.724e+4,,2.010e-13
222.44,1.946e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.946e+4,,2.012e-13
222.46,1.946e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.946e+4,,2.014e-13
222.49,1.724e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.724e+4,,2.016e-13
222.52,1.320e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.320e+4,,2.018e-13
222.54,1.019e+4,,,,,,,,,,,,,,,,,,,,,,,,,1.019e+4,,2.020e-13
222.57,6.126e+3,,,,,,,,,,,,,,,,,,,,,,,,,6.126e+3,,2.022e-13
222.59,4.023e+3,,,,,,,,,,,,,,,,,,,,,,,,,4.023e+3,,2.024e-13
222.62,1.897e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.897e+3,,2.026e-13
222.64,1.060e+3,,,,,,,,,,,,,,,,,,,,,,,,,1.060e+3,,2.027e-13
