idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 4, 6, 7, 10]",5,"[410.946, 470.654, 524.9590000000001, 537.1930000000001, 568.8520000000001]","[0.55, 0.098, 0.242, 0.115, 0.073]","[3.3366446046999996, 2.6334684784999998, 3.3366439847999994, 3.7196863938, 3.1645237905999997]","[16.0, 6.0, 16.0, 20.0, 14.0]","[0.010874005171957912, -0.025724925637711477, 0.0037453716482001853, 0.015002925743343054, -0.003897376925789578]",0.025724925637711477
"[1, 4, 6, 8, 9]",5,"[410.946, 470.654, 524.9590000000001, 543.152, 562.054]","[0.55, 0.098, 0.242, 0.054, 0.13]","[3.3366446046999996, 2.6334684784999998, 3.3366439847999994, 3.4030910657999995, 3.7499945446]","[16.0, 6.0, 16.0, 14.0, 18.0]","[0.007640773663150191, -0.027010985804821835, 0.002631718626052132, 0.0016183583950830152, 0.015120135120536421]",0.027010985804821835
"[1, 4, 6, 8, 10]",5,"[410.946, 470.654, 524.9590000000001, 543.152, 568.8520000000001]","[0.55, 0.098, 0.242, 0.054, 0.073]","[3.3366446046999996, 2.6334684784999998, 3.3366439847999994, 3.4030910657999995, 3.1645237905999997]","[16.0, 6.0, 16.0, 14.0, 14.0]","[0.019673242977867655, -0.025609513581362306, 0.006776170253776415, 0.0023511215023810927, -0.0031910211526627666]",0.025609513581362306
"[1, 4, 6, 9, 10]",5,"[410.946, 470.654, 524.9590000000001, 562.054, 568.8520000000001]","[0.55, 0.098, 0.242, 0.13, 0.073]","[3.3366446046999996, 2.6334684784999998, 3.3366439847999994, 3.7499945446, 3.1645237905999997]","[16.0, 6.0, 16.0, 18.0, 14.0]","[0.010879149806947375, -0.025849205870198122, 0.0037471433846350266, 0.015142807817014825, -0.003919895138398952]",0.025849205870198122
"[1, 4, 7, 8, 9]",5,"[410.946, 470.654, 537.1930000000001, 543.152, 562.054]","[0.55, 0.098, 0.115, 0.054, 0.13]","[3.3366446046999996, 2.6334684784999998, 3.7196863938, 3.4030910657999995, 3.7499945446]","[16.0, 6.0, 20.0, 14.0, 18.0]","[-0.0010793639069499594, -0.03245777276149511, 0.01603356733932948, 0.0012704342695648713, 0.016233135059550777]",0.03245777276149511
"[1, 4, 7, 8, 10]",5,"[410.946, 470.654, 537.1930000000001, 543.152, 568.8520000000001]","[0.55, 0.098, 0.115, 0.054, 0.073]","[3.3366446046999996, 2.6334684784999998, 3.7196863938, 3.4030910657999995, 3.1645237905999997]","[16.0, 6.0, 20.0, 14.0, 14.0]","[0.01469213026847671, -0.030620277300362084, 0.01820014359101363, 0.0022308779287151664, -0.004502874487843339]",0.030620277300362084
"[1, 4, 7, 9, 10]",5,"[410.946, 470.654, 537.1930000000001, 562.054, 568.8520000000001]","[0.55, 0.098, 0.115, 0.13, 0.073]","[3.3366446046999996, 2.6334684784999998, 3.7196863938, 3.7499945446, 3.1645237905999997]","[16.0, 6.0, 20.0, 18.0, 14.0]","[0.0037448860679535345, -0.03084680198345334, 0.01617131997142364, 0.01632755162639496, -0.005396955682318572]",0.03084680198345334
"[1, 4, 8, 9, 10]",5,"[410.946, 470.654, 543.152, 562.054, 568.8520000000001]","[0.55, 0.098, 0.054, 0.13, 0.073]","[3.3366446046999996, 2.6334684784999998, 3.4030910657999995, 3.7499945446, 3.1645237905999997]","[16.0, 6.0, 14.0, 18.0, 14.0]","[0.014717732558356178, -0.030796639514960047, 0.002239848722286407, 0.01837246272282629, -0.004533404488508738]",0.030796639514960047
"[1, 5, 6, 7, 8]",5,"[410.946, 495.913, 524.9590000000001, 537.1930000000001, 543.152]","[0.55, 0.0413, 0.242, 0.115, 0.054]","[3.3366446046999996, 2.5629852285999997, 3.3366439847999994, 3.7196863938, 3.4030910657999995]","[16.0, 10.0, 16.0, 20.0, 14.0]","[0.004513200050264565, -0.022394643487671832, 0.0015544590300932415, 0.014875073500769248, 0.001451910906544826]",0.022394643487671832
"[1, 5, 6, 7, 9]",5,"[410.946, 495.913, 524.9590000000001, 537.1930000000001, 562.054]","[0.55, 0.0413, 0.242, 0.115, 0.13]","[3.3366446046999996, 2.5629852285999997, 3.3366439847999994, 3.7196863938, 3.7499945446]","[16.0, 10.0, 16.0, 20.0, 18.0]","[-0.003386188401286905, -0.022399259409081405, -0.0011663965745265514, 0.01338106353668117, 0.013570780848213754]",0.022399259409081405
