idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 3, 5, 7, 8, 9]",6,"[340.7792, 364.53960000000006, 375.73670000000004, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.62, 0.201, 0.307, 0.455, 0.202]","[3.63708881014, 3.5027272208599998, 3.40140766536, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 16.0, 18.0, 16.0, 18.0]","[0.02564276463264653, 0.02011828201558344, 0.0026191398921728837, -0.015557908563929357, -0.02292006226676213, -0.009902215709711407]",0.02564276463264653
"[0, 3, 6, 7, 8, 9]",6,"[340.7792, 364.53960000000006, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.62, 0.254, 0.307, 0.455, 0.202]","[3.63708881014, 3.5027272208599998, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 18.0, 18.0, 18.0, 16.0, 18.0]","[0.025945677853710353, 0.021395645736508706, -0.0066130514745081775, -0.013025102929332899, -0.019413020268387732, -0.008290148917990167]",0.025945677853710353
"[0, 4, 5, 6, 7, 8]",6,"[340.7792, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004]","[0.488, 0.237, 0.201, 0.254, 0.307, 0.455]","[3.63708881014, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522]","[18.0, 16.0, 16.0, 18.0, 18.0, 16.0]","[0.03256499330848095, 0.007546538573296624, 0.004362435143453081, -0.007281945132352613, -0.01487493859369457, -0.022317083299183416]",0.03256499330848095
"[0, 4, 5, 6, 7, 9]",6,"[340.7792, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004, 407.79650000000004]","[0.488, 0.237, 0.201, 0.254, 0.307, 0.202]","[3.63708881014, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[18.0, 16.0, 16.0, 18.0, 18.0, 18.0]","[0.0343428015897258, 0.0070549597276750725, 0.003543803722504499, -0.011121320661378248, -0.020666524012045995, -0.013153720366481214]",0.0343428015897258
"[0, 4, 5, 6, 8, 9]",6,"[340.7792, 369.4811, 375.73670000000004, 387.2103, 396.83840000000004, 407.79650000000004]","[0.488, 0.237, 0.201, 0.254, 0.455, 0.202]","[3.63708881014, 3.45725582014, 3.40140766536, 3.2009695713, 3.12330899522, 3.1420780794599996]","[18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.03382158375605271, 0.007510272772188006, 0.0041477731539559665, -0.008810307537943957, -0.025687857922603585, -0.010981464221649168]",0.03382158375605271
"[0, 4, 5, 7, 8, 9]",6,"[340.7792, 369.4811, 375.73670000000004, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.237, 0.201, 0.307, 0.455, 0.202]","[3.63708881014, 3.45725582014, 3.40140766536, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 16.0, 16.0, 18.0, 16.0, 18.0]","[0.0340044645733778, 0.008001176886781633, 0.004696855224577773, -0.01486530515772086, -0.02237580038581144, -0.009461391141204978]",0.0340044645733778
"[0, 4, 6, 7, 8, 9]",6,"[340.7792, 369.4811, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.237, 0.254, 0.307, 0.455, 0.202]","[3.63708881014, 3.45725582014, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.03395590244926289, 0.00853985727721207, -0.005037041235973566, -0.01181244769987197, -0.018127946286845414, -0.00751832450378373]",0.03395590244926289
"[0, 5, 6, 7, 8, 9]",6,"[340.7792, 375.73670000000004, 387.2103, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[0.488, 0.201, 0.254, 0.307, 0.455, 0.202]","[3.63708881014, 3.40140766536, 3.2009695713, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[18.0, 16.0, 18.0, 18.0, 16.0, 18.0]","[0.03493798712593149, 0.005665928861331368, -0.0046025755806426705, -0.011314753099246067, -0.017485032841973364, -0.007201554465400689]",0.03493798712593149
"[1, 2, 3, 4, 5, 6]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 387.2103]","[1.56, 0.305, 0.62, 0.237, 0.201, 0.254]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.2009695713]","[20.0, 18.0, 18.0, 16.0, 16.0, 18.0]","[0.004959112329777637, 0.011944956605752496, 0.001125258896883058, -0.0010494423920699714, -0.0025232726629693947, -0.014456612777373895]",0.014456612777373895
"[1, 2, 3, 4, 5, 7]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 394.46790000000004]","[1.56, 0.305, 0.62, 0.237, 0.201, 0.307]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 16.0, 18.0]","[0.00870512095918441, 0.012005608073375092, 0.0024508498255716715, -0.000539809457553761, -0.002024512009372245, -0.020597257391205215]",0.020597257391205215
"[1, 2, 3, 4, 5, 8]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 396.83840000000004]","[1.56, 0.305, 0.62, 0.237, 0.201, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 16.0, 16.0]","[0.012405837708796053, 0.011913711687481315, 0.003768469615194614, -1.427740540302369e-05, -0.001491046528809395, -0.026582695077259494]",0.026582695077259494
"[1, 2, 3, 4, 5, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 375.73670000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.201, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.40140766536, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 16.0, 18.0]","[0.004867986739319541, 0.012163294135004714, 0.0010813479164056838, -0.001093781878707581, -0.0025943862080002322, -0.01442446070402209]",0.01442446070402209
"[1, 2, 3, 4, 6, 7]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 387.2103, 394.46790000000004]","[1.56, 0.305, 0.62, 0.237, 0.254, 0.307]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0]","[0.013701413735869916, 0.01204605778867552, 0.004221022009623154, 0.00014579805865661682, -0.011704267803017018, -0.018410023789808314]",0.018410023789808314
"[1, 2, 3, 4, 6, 8]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 387.2103, 396.83840000000004]","[1.56, 0.305, 0.62, 0.237, 0.254, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0]","[0.016691593843532415, 0.011920092295602917, 0.005288403357751381, 0.0005779428003345119, -0.010546540777408145, -0.02393149151981297]",0.02393149151981297
"[1, 2, 3, 4, 6, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 387.2103, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.254, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.2009695713, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0]","[0.010705617816572865, 0.012242688234656893, 0.0031478986775420326, -0.0002973925916643777, -0.012959067491857934, -0.012839744645249757]",0.012959067491857934
"[1, 2, 3, 4, 7, 8]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 394.46790000000004, 396.83840000000004]","[1.56, 0.305, 0.62, 0.237, 0.307, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0]","[0.019105778323818934, 0.011909893440715004, 0.006145320379471464, 0.0009135472783965079, -0.015676204648511133, -0.02239833477389086]",0.02239833477389086
"[1, 2, 3, 4, 7, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 394.46790000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.307, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0]","[0.013961675972478438, 0.012269572175091475, 0.004301482975253901, 0.0001493382699053955, -0.018748880603792747, -0.011933188788936441]",0.018748880603792747
"[1, 2, 3, 4, 8, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 369.4811, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.237, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.45725582014, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 16.0, 18.0]","[0.017057940981399566, 0.012138674139770524, 0.0054067572256176755, 0.0005968819037816056, -0.02433278821151741, -0.010867466039052073]",0.02433278821151741
"[1, 2, 3, 5, 6, 7]",6,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 394.46790000000004]","[1.56, 0.305, 0.62, 0.201, 0.254, 0.307]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0]","[0.014543530563319196, 0.012202008917474798, 0.004511467672831004, -0.0012744939059724722, -0.011636156686099061, -0.01834635656155334]",0.01834635656155334
"[1, 2, 3, 5, 6, 8]",6,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 396.83840000000004]","[1.56, 0.305, 0.62, 0.201, 0.254, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0]","[0.017512539458533816, 0.012068366708553747, 0.00557174639810995, -0.0008304288411990907, -0.010475080961144606, -0.02384714276285363]",0.02384714276285363
"[1, 2, 3, 5, 6, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 387.2103, 407.79650000000004]","[1.56, 0.305, 0.62, 0.201, 0.254, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.2009695713, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0]","[0.01157801418907356, 0.012408454890478662, 0.0034485644346796407, -0.0017376136463084363, -0.012894177489461756, -0.012803242378461477]",0.012894177489461756
"[1, 2, 3, 5, 7, 8]",6,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 394.46790000000004, 396.83840000000004]","[1.56, 0.305, 0.62, 0.201, 0.307, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 18.0, 16.0, 18.0, 16.0]","[0.01992167820228624, 0.012054489204960675, 0.00642706877323701, -0.0004954752508899846, -0.015601226066883134, -0.022306534862710697]",0.022306534862710697
"[1, 2, 3, 5, 7, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 394.46790000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.201, 0.307, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 18.0, 18.0]","[0.01483553212757549, 0.012431385407329867, 0.004602876348642482, -0.0012958936989204695, -0.01868278168648216, -0.01189111849814524]",0.01868278168648216
"[1, 2, 3, 5, 8, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 375.73670000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.201, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.40140766536, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 16.0, 16.0, 18.0]","[0.017909374658213073, 0.012292376617202568, 0.00570062715140135, -0.0008359751956662914, -0.024245080827572346, -0.01082132240357829]",0.024245080827572346
"[1, 2, 3, 6, 7, 8]",6,"[353.1703, 363.0239, 364.53960000000006, 387.2103, 394.46790000000004, 396.83840000000004]","[1.56, 0.305, 0.62, 0.254, 0.307, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.2009695713, 3.1420780794599996, 3.12330899522]","[20.0, 18.0, 18.0, 18.0, 18.0, 16.0]","[0.02313533134591128, 0.01200048163892583, 0.0075699034663459785, -0.008525763979821452, -0.014030724427201671, -0.020149228044159972]",0.02313533134591128
"[1, 2, 3, 6, 7, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 387.2103, 394.46790000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.254, 0.307, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.2009695713, 3.1420780794599996, 3.1420780794599996]","[20.0, 18.0, 18.0, 18.0, 18.0, 18.0]","[0.019164253069150428, 0.012420720280983621, 0.006138955406097102, -0.01040410969882194, -0.016694311555985386, -0.010625507501423687]",0.019164253069150428
"[1, 2, 3, 6, 8, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 387.2103, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.254, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.2009695713, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 18.0, 16.0, 18.0]","[0.021620608804280184, 0.012255058177556871, 0.0070190815103692294, -0.009369276389686404, -0.021825895876151608, -0.009699576226368078]",0.021825895876151608
"[1, 2, 3, 7, 8, 9]",6,"[353.1703, 363.0239, 364.53960000000006, 394.46790000000004, 396.83840000000004, 407.79650000000004]","[1.56, 0.305, 0.62, 0.307, 0.455, 0.202]","[3.5094823951399996, 3.9524396268999995, 3.5027272208599998, 3.1420780794599996, 3.12330899522, 3.1420780794599996]","[20.0, 18.0, 18.0, 18.0, 16.0, 18.0]","[0.023710549849751184, 0.012220344472158237, 0.007762281617638839, -0.014219020120070994, -0.020424108775486338, -0.009050047043990914]",0.023710549849751184
"[1, 2, 4, 5, 6, 7]",6,"[353.1703, 363.0239, 369.4811, 375.73670000000004, 387.2103, 394.46790000000004]","[1.56, 0.305, 0.237, 0.201, 0.254, 0.307]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.40140766536, 3.2009695713, 3.1420780794599996]","[20.0, 18.0, 16.0, 16.0, 18.0, 18.0]","[0.019098522129081474, 0.014024568930878119, 0.0006052488252568378, -0.00113726603458493, -0.012586925618398026, -0.020004148232233565]",0.020004148232233565
"[1, 2, 4, 5, 6, 8]",6,"[353.1703, 363.0239, 369.4811, 375.73670000000004, 387.2103, 396.83840000000004]","[1.56, 0.305, 0.237, 0.201, 0.254, 0.455]","[3.5094823951399996, 3.9524396268999995, 3.45725582014, 3.40140766536, 3.2009695713, 3.12330899522]","[20.0, 18.0, 16.0, 16.0, 18.0, 16.0]","[0.022587862956584326, 0.013829478699905515, 0.0011165221310792395, -0.0006051732181773517, -0.011171127449638663, -0.02575756311975283]",0.02575756311975283
