idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 4, 5]",3,"[336.261, 345.366, 346.22]","[0.934, 0.266, 0.54]","[3.7153297365999993, 3.6181566921999995, 3.5799373775999994]","[5.0, 9.0, 11.0]","[0.013367315722209061, -0.0012398391133299769, -0.012127476608879029]",0.013367315722209061
"[1, 4, 6]",3,"[336.261, 345.366, 384.802]","[0.934, 0.266, 0.466]","[3.7153297365999993, 3.6181566921999995, 3.2210028796]","[5.0, 9.0, 7.0]","[0.04083686644481205, 0.013053775654272681, -0.05389064209908473]",0.05389064209908473
"[1, 5, 6]",3,"[336.261, 346.22, 384.802]","[0.934, 0.54, 0.466]","[3.7153297365999993, 3.5799373775999994, 3.2210028796]","[5.0, 11.0, 7.0]","[0.028353251805778357, 0.014546200125510445, -0.04289945193128869]",0.04289945193128869
"[2, 3, 4]",3,"[342.50800000000004, 344.15000000000003, 345.366]","[0.652, 0.56, 0.266]","[3.6481090203999997, 3.6308435655999998, 3.6181566921999995]","[7.0, 5.0, 9.0]","[0.0027825489005424697, -0.0006716434201080035, -0.0021109054804344662]",0.0027825489005424697
"[2, 3, 5]",3,"[342.50800000000004, 344.15000000000003, 346.22]","[0.652, 0.56, 0.54]","[3.6481090203999997, 3.6308435655999998, 3.5799373775999994]","[7.0, 5.0, 11.0]","[0.005617751938796878, 0.0017798802132502345, -0.007397632152047029]",0.007397632152047029
"[2, 3, 6]",3,"[342.50800000000004, 344.15000000000003, 384.802]","[0.652, 0.56, 0.466]","[3.6481090203999997, 3.6308435655999998, 3.2210028796]","[7.0, 5.0, 7.0]","[0.03113271792979133, 0.017475290116880537, -0.048608008046671924]",0.048608008046671924
"[2, 4, 5]",3,"[342.50800000000004, 345.366, 346.22]","[0.652, 0.266, 0.54]","[3.6481090203999997, 3.6181566921999995, 3.5799373775999994]","[7.0, 9.0, 11.0]","[0.006246018076623283, 0.0007097339279819592, -0.006955752004605353]",0.006955752004605353
"[2, 4, 6]",3,"[342.50800000000004, 345.366, 384.802]","[0.652, 0.266, 0.466]","[3.6481090203999997, 3.6181566921999995, 3.2210028796]","[7.0, 9.0, 7.0]","[0.03355778530401693, 0.01510346278096028, -0.04866124808497707]",0.04866124808497707
"[2, 5, 6]",3,"[342.50800000000004, 346.22, 384.802]","[0.652, 0.54, 0.466]","[3.6481090203999997, 3.5799373775999994, 3.2210028796]","[7.0, 11.0, 7.0]","[0.02217623118840517, 0.017708398346881482, -0.039884629535286764]",0.039884629535286764
"[3, 4, 5]",3,"[344.15000000000003, 345.366, 346.22]","[0.56, 0.266, 0.54]","[3.6308435655999998, 3.6181566921999995, 3.5799373775999994]","[5.0, 9.0, 11.0]","[0.003585869567454436, 0.0018103357890213168, -0.00539620535647567]",0.00539620535647567
"[3, 4, 6]",3,"[344.15000000000003, 345.366, 384.802]","[0.56, 0.266, 0.466]","[3.6308435655999998, 3.6181566921999995, 3.2210028796]","[5.0, 9.0, 7.0]","[0.02690616707745913, 0.021793727064545104, -0.04869989414200426]",0.04869989414200426
"[3, 5, 6]",3,"[344.15000000000003, 346.22, 384.802]","[0.56, 0.54, 0.466]","[3.6308435655999998, 3.5799373775999994, 3.2210028796]","[5.0, 11.0, 7.0]","[0.016058382038043523, 0.024870712700594266, -0.04092909473863776]",0.04092909473863776
"[4, 5, 6]",3,"[345.366, 346.22, 384.802]","[0.266, 0.54, 0.466]","[3.6181566921999995, 3.5799373775999994, 3.2210028796]","[9.0, 11.0, 7.0]","[0.013778135043831935, 0.027115346969758425, -0.04089348201359044]",0.04089348201359044
"[0, 1, 2, 3]",4,"[313.12600000000003, 336.261, 342.50800000000004, 344.15000000000003]","[1.06, 0.934, 0.652, 0.56]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.6308435655999998]","[11.0, 5.0, 7.0, 5.0]","[0.034204538020513764, -0.007934328527293782, -0.015470078500443796, -0.010800130992776102]",0.034204538020513764
"[0, 1, 2, 4]",4,"[313.12600000000003, 336.261, 342.50800000000004, 345.366]","[1.06, 0.934, 0.652, 0.266]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.6181566921999995]","[11.0, 5.0, 7.0, 9.0]","[0.03453495024556458, -0.008244877494853697, -0.015930403099677914, -0.01035966965103309]",0.03453495024556458
"[0, 1, 2, 5]",4,"[313.12600000000003, 336.261, 342.50800000000004, 346.22]","[1.06, 0.934, 0.652, 0.54]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.5799373775999994]","[11.0, 5.0, 7.0, 11.0]","[0.03572076863259094, -0.003501075895498834, -0.0097960744058474, -0.022423618331244732]",0.03572076863259094
"[0, 1, 2, 6]",4,"[313.12600000000003, 336.261, 342.50800000000004, 384.802]","[1.06, 0.934, 0.652, 0.466]","[3.9582871436, 3.7153297365999993, 3.6481090203999997, 3.2210028796]","[11.0, 5.0, 7.0, 7.0]","[0.05039450366597942, 0.0024289875500947133, -0.004026934455716585, -0.04879655676035766]",0.05039450366597942
"[0, 1, 3, 4]",4,"[313.12600000000003, 336.261, 344.15000000000003, 345.366]","[1.06, 0.934, 0.56, 0.266]","[3.9582871436, 3.7153297365999993, 3.6308435655999998, 3.6181566921999995]","[11.0, 5.0, 5.0, 9.0]","[0.03524645559643269, -0.01026382895044159, -0.012955637191618102, -0.012026989454372805]",0.03524645559643269
"[0, 1, 3, 5]",4,"[313.12600000000003, 336.261, 344.15000000000003, 346.22]","[1.06, 0.934, 0.56, 0.54]","[3.9582871436, 3.7153297365999993, 3.6308435655999998, 3.5799373775999994]","[11.0, 5.0, 5.0, 11.0]","[0.037321600749617434, -0.004339791445522462, -0.008007103897328269, -0.024974705406766606]",0.037321600749617434
"[0, 1, 3, 6]",4,"[313.12600000000003, 336.261, 344.15000000000003, 384.802]","[1.06, 0.934, 0.56, 0.466]","[3.9582871436, 3.7153297365999993, 3.6308435655999998, 3.2210028796]","[11.0, 5.0, 5.0, 7.0]","[0.054323560846338714, 0.002522683935040071, -0.003921548699019117, -0.052924696082359585]",0.054323560846338714
"[0, 1, 4, 5]",4,"[313.12600000000003, 336.261, 345.366, 346.22]","[1.06, 0.934, 0.266, 0.54]","[3.9582871436, 3.7153297365999993, 3.6181566921999995, 3.5799373775999994]","[11.0, 5.0, 9.0, 11.0]","[0.03780772431070545, -0.004497535888753679, -0.007780647202809257, -0.02552954121914247]",0.03780772431070545
"[0, 1, 4, 6]",4,"[313.12600000000003, 336.261, 345.366, 384.802]","[1.06, 0.934, 0.266, 0.466]","[3.9582871436, 3.7153297365999993, 3.6181566921999995, 3.2210028796]","[11.0, 5.0, 9.0, 7.0]","[0.05542293528028058, 0.0026119078323389167, -0.004168204878659307, -0.053866638233960096]",0.05542293528028058
