idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[3, 4]",2,"[437.49330000000003, 488.3682]","[0.997, 0.47]","[3.2417363029599997, 3.6219465128399997]","[5.0, 7.0]","[-0.036382744377448706, 0.036382744377448595]",0.036382744377448706
"[3, 5]",2,"[437.49330000000003, 508.7418]","[0.997, 0.195]","[3.2417363029599997, 3.52031006446]","[5.0, 9.0]","[-0.01968941639803612, 0.019689416398036147]",0.019689416398036147
"[4, 5]",2,"[488.3682, 508.7418]","[0.47, 0.195]","[3.6219465128399997, 3.52031006446]","[7.0, 9.0]","[0.011412088228235029, -0.011412088228235029]",0.011412088228235029
"[0, 1, 2]",3,"[354.90020000000004, 371.0287, 377.433]","[0.397, 1.54, 1.1]","[3.6219465128399997, 3.52031006446, 3.4134571575799995]","[7.0, 9.0, 7.0]","[0.006348292746283943, 0.007043212563697221, -0.013391505309981178]",0.013391505309981178
"[0, 1, 3]",3,"[354.90020000000004, 371.0287, 437.49330000000003]","[0.397, 1.54, 0.997]","[3.6219465128399997, 3.52031006446, 3.2417363029599997]","[7.0, 9.0, 5.0]","[0.009100868312709925, 0.018620186221832702, -0.027721054534542544]",0.027721054534542544
"[0, 1, 4]",3,"[354.90020000000004, 371.0287, 488.3682]","[0.397, 1.54, 0.47]","[3.6219465128399997, 3.52031006446, 3.6219465128399997]","[7.0, 9.0, 7.0]","[0.005036929351539043, -0.009370362264403354, 0.004333432912864477]",0.009370362264403354
"[0, 1, 5]",3,"[354.90020000000004, 371.0287, 508.7418]","[0.397, 1.54, 0.195]","[3.6219465128399997, 3.52031006446, 3.52031006446]","[7.0, 9.0, 9.0]","[0.006095773899449236, -0.005580435976342835, -0.0005153379231063737]",0.006095773899449236
"[0, 2, 3]",3,"[354.90020000000004, 377.433, 437.49330000000003]","[0.397, 1.1, 0.997]","[3.6219465128399997, 3.4134571575799995, 3.2417363029599997]","[7.0, 7.0, 5.0]","[0.017188378904132384, 0.006842163983289129, -0.024030542887421624]",0.024030542887421624
"[0, 2, 4]",3,"[354.90020000000004, 377.433, 488.3682]","[0.397, 1.1, 0.47]","[3.6219465128399997, 3.4134571575799995, 3.6219465128399997]","[7.0, 7.0, 7.0]","[0.012435567342014814, -0.023134287345614735, 0.010698720003599782]",0.023134287345614735
"[0, 2, 5]",3,"[354.90020000000004, 377.433, 508.7418]","[0.397, 1.1, 0.195]","[3.6219465128399997, 3.4134571575799995, 3.52031006446]","[7.0, 7.0, 9.0]","[0.015404722823437023, -0.018030596822981138, 0.002625873999544087]",0.018030596822981138
