idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1, 3, 5]",4,"[211.66700000000003, 265.375, 289.1384, 369.41900000000004]","[0.341, 3.9, 0.342, 1.23]","[5.8554464608, 7.325994317399999, 4.2866543726, 3.3551244436]","[2.0, 8.0, 4.0, 2.0]","[0.014919523871353051, 0.1773388813565988, 0.02178880779898454, -0.21404721302693652]",0.21404721302693652
"[0, 1, 4, 5]",4,"[211.66700000000003, 265.375, 328.937, 369.41900000000004]","[0.341, 3.9, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 4.0, 2.0]","[0.007877004721405328, 0.09072854307084374, -0.020892539860099535, -0.07771300793214952]",0.09072854307084374
"[0, 2, 3, 4]",4,"[211.66700000000003, 275.0477, 289.1384, 328.937]","[0.341, 3.2, 0.342, 1.62]","[5.8554464608, 7.1617443735999995, 4.2866543726, 3.7680286753999996]","[2.0, 10.0, 4.0, 4.0]","[0.008839629398831633, 0.12276532549751934, 0.007482382414905439, -0.13908733731125633]",0.13908733731125633
"[0, 2, 3, 5]",4,"[211.66700000000003, 275.0477, 289.1384, 369.41900000000004]","[0.341, 3.2, 0.342, 1.23]","[5.8554464608, 7.1617443735999995, 4.2866543726, 3.3551244436]","[2.0, 10.0, 4.0, 2.0]","[0.01417203778484688, 0.19325764803534426, 0.017662136746496998, -0.22509182256668814]",0.22509182256668814
"[0, 2, 4, 5]",4,"[211.66700000000003, 275.0477, 328.937, 369.41900000000004]","[0.341, 3.2, 1.62, 1.23]","[5.8554464608, 7.1617443735999995, 3.7680286753999996, 3.3551244436]","[2.0, 10.0, 4.0, 2.0]","[0.007680645720460657, 0.10113337552556914, -0.02791519260542974, -0.0808988286406]",0.10113337552556914
"[0, 3, 4, 5]",4,"[211.66700000000003, 289.1384, 328.937, 369.41900000000004]","[0.341, 0.342, 1.62, 1.23]","[5.8554464608, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 4.0, 4.0, 2.0]","[0.008440943278511075, 0.021851089781846786, 0.022499577710359375, -0.0527916107707172]",0.0527916107707172
"[1, 2, 3, 4]",4,"[265.375, 275.0477, 289.1384, 328.937]","[3.9, 3.2, 0.342, 1.62]","[7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996]","[8.0, 10.0, 4.0, 4.0]","[0.09394606893913757, 0.1062133090656464, -0.0017572968264511768, -0.1984020811783328]",0.1984020811783328
"[1, 2, 3, 5]",4,"[265.375, 275.0477, 289.1384, 369.41900000000004]","[3.9, 3.2, 0.342, 1.23]","[7.325994317399999, 7.1617443735999995, 4.2866543726, 3.3551244436]","[8.0, 10.0, 4.0, 2.0]","[0.13750854397640588, 0.15542598079416226, -0.0035834150885330485, -0.28935110968203515]",0.28935110968203515
"[1, 2, 4, 5]",4,"[265.375, 275.0477, 328.937, 369.41900000000004]","[3.9, 3.2, 1.62, 1.23]","[7.325994317399999, 7.1617443735999995, 3.7680286753999996, 3.3551244436]","[8.0, 10.0, 4.0, 2.0]","[0.07953101223699645, 0.09031081348777972, -0.06918505711286227, -0.10065676861191392]",0.10065676861191392
"[1, 3, 4, 5]",4,"[265.375, 289.1384, 328.937, 369.41900000000004]","[3.9, 0.342, 1.62, 1.23]","[7.325994317399999, 4.2866543726, 3.7680286753999996, 3.3551244436]","[8.0, 4.0, 4.0, 2.0]","[0.08447516754445022, 0.01480886231333424, -0.024011560750675454, -0.07527246910710894]",0.08447516754445022
"[2, 3, 4, 5]",4,"[275.0477, 289.1384, 328.937, 369.41900000000004]","[3.2, 0.342, 1.62, 1.23]","[7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[10.0, 4.0, 4.0, 2.0]","[0.09427385819122379, 0.01383476186103716, -0.03008689439778367, -0.07802172565447735]",0.09427385819122379
"[0, 1, 2, 3, 4]",5,"[211.66700000000003, 265.375, 275.0477, 289.1384, 328.937]","[0.341, 3.9, 3.2, 0.342, 1.62]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996]","[2.0, 8.0, 10.0, 4.0, 4.0]","[0.007141027486284501, 0.0924490465144136, 0.10449509587210246, -0.002412126960764191, -0.20167304291203614]",0.20167304291203614
"[0, 1, 2, 3, 5]",5,"[211.66700000000003, 265.375, 275.0477, 289.1384, 369.41900000000004]","[0.341, 3.9, 3.2, 0.342, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726, 3.3551244436]","[2.0, 8.0, 10.0, 4.0, 2.0]","[0.010307580477079201, 0.13431487997133285, 0.1517612209253662, -0.004959675405378755, -0.2914240059683995]",0.2914240059683995
"[0, 1, 2, 4, 5]",5,"[211.66700000000003, 265.375, 275.0477, 328.937, 369.41900000000004]","[0.341, 3.9, 3.2, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 10.0, 4.0, 2.0]","[0.006549930548260221, 0.07850724932489285, 0.08913235696183255, -0.0722796945068912, -0.10190984232809447]",0.10190984232809447
"[0, 1, 3, 4, 5]",5,"[211.66700000000003, 265.375, 289.1384, 328.937, 369.41900000000004]","[0.341, 3.9, 0.342, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 4.0, 4.0, 2.0]","[0.007194093924523337, 0.08334994415969676, 0.014174144774438846, -0.027812733220372143, -0.07690544963828672]",0.08334994415969676
"[0, 2, 3, 4, 5]",5,"[211.66700000000003, 275.0477, 289.1384, 328.937, 369.41900000000004]","[0.341, 3.2, 0.342, 1.62, 1.23]","[5.8554464608, 7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 10.0, 4.0, 4.0, 2.0]","[0.007027619339132818, 0.09302125912088227, 0.013226936467378325, -0.0337087108186801, -0.07956710410871332]",0.09302125912088227
"[1, 2, 3, 4, 5]",5,"[265.375, 275.0477, 289.1384, 328.937, 369.41900000000004]","[3.9, 3.2, 0.342, 1.62, 1.23]","[7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[8.0, 10.0, 4.0, 4.0, 2.0]","[0.0737637214124847, 0.08374274639937354, 0.007838840880301845, -0.06893745928041956, -0.09640784941174071]",0.09640784941174071
"[0, 1, 2, 3, 4, 5]",6,"[211.66700000000003, 265.375, 275.0477, 289.1384, 328.937, 369.41900000000004]","[0.341, 3.9, 3.2, 0.342, 1.62, 1.23]","[5.8554464608, 7.325994317399999, 7.1617443735999995, 4.2866543726, 3.7680286753999996, 3.3551244436]","[2.0, 8.0, 10.0, 4.0, 4.0, 2.0]","[0.006058470606607199, 0.07287990264392724, 0.08272552008270655, 0.007377353858153551, -0.07157402742666308, -0.09746721976473141]",0.09746721976473141
