idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 2, 3, 4, 6, 7]",6,"[326.4782, 337.271, 339.19980000000004, 349.9104, 389.6234, 390.63110000000006]","[0.58, 1.3, 0.235, 0.75, 0.18, 0.323]","[3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.23575054856, 3.1729386851399997]","[14.0, 16.0, 16.0, 10.0, 14.0, 12.0]","[0.014994534515527264, 0.018467698377316766, 0.002627114884766704, 0.001021012151659395, -0.012558700697719347, -0.02455165923155088]",0.02455165923155088
"[1, 2, 3, 5, 6, 7]",6,"[326.4782, 337.271, 339.19980000000004, 361.65650000000005, 389.6234, 390.63110000000006]","[0.58, 1.3, 0.235, 0.2, 0.18, 0.323]","[3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.42713673884, 3.23575054856, 3.1729386851399997]","[14.0, 16.0, 16.0, 12.0, 14.0, 12.0]","[0.017650941818802612, 0.02339091798270887, 0.0034491625688816835, -0.004678566089900735, -0.013421004657378333, -0.026391451623113946]",0.026391451623113946
"[1, 2, 4, 5, 6, 7]",6,"[326.4782, 337.271, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[0.58, 1.3, 0.75, 0.2, 0.18, 0.323]","[3.7964042259599995, 3.6748741947399997, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[14.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.01633227561652717, 0.021897271220977843, 0.0022303528721624444, -0.004216935798053718, -0.012208917413109449, -0.0240340464985042]",0.0240340464985042
"[1, 3, 4, 5, 6, 7]",6,"[326.4782, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[0.58, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.7964042259599995, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[14.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.03150197375744815, 0.008401677404214936, 0.010521308459809614, -0.003756797675114207, -0.015371911413536832, -0.03129625053282148]",0.03150197375744815
"[2, 3, 4, 5, 6, 7]",6,"[337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.3, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[16.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.02997844097671054, 0.004676333022741133, 0.00485506533090585, -0.0035996434196530896, -0.011976179418422814, -0.02393401649228155]",0.02997844097671054
"[0, 1, 2, 3, 4, 5, 6]",7,"[323.0582, 326.4782, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234]","[1.5, 0.58, 1.3, 0.235, 0.75, 0.2, 0.18]","[3.8911949946599997, 3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856]","[12.0, 14.0, 16.0, 16.0, 10.0, 12.0, 14.0]","[0.0230434163465654, 0.006095575555086691, -0.0025102070003955035, -0.0010952749667034467, -0.005871394998003404, -0.006291688383907715, -0.013370426552642034]",0.0230434163465654
"[0, 1, 2, 3, 4, 5, 7]",7,"[323.0582, 326.4782, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 390.63110000000006]","[1.5, 0.58, 1.3, 0.235, 0.75, 0.2, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.1729386851399997]","[12.0, 14.0, 16.0, 16.0, 10.0, 12.0, 12.0]","[0.02474753775401084, 0.007157623685603978, 0.0013119390288036659, -0.00036629766200569486, -0.004221392771718485, -0.005506779027275116, -0.023122631007419195]",0.02474753775401084
"[0, 1, 2, 3, 4, 6, 7]",7,"[323.0582, 326.4782, 337.271, 339.19980000000004, 349.9104, 389.6234, 390.63110000000006]","[1.5, 0.58, 1.3, 0.235, 0.75, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 16.0, 16.0, 10.0, 14.0, 12.0]","[0.02596655532561204, 0.007824426334182247, 0.003436835825159801, 3.20419093673141e-05, -0.003357906179984632, -0.011668613847777502, -0.022233339366559024]",0.02596655532561204
"[0, 1, 2, 3, 5, 6, 7]",7,"[323.0582, 326.4782, 337.271, 339.19980000000004, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.58, 1.3, 0.235, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 16.0, 16.0, 12.0, 14.0, 12.0]","[0.028591741713628216, 0.008708941996785041, 0.004397174796973324, 0.0001591446331213192, -0.005463340955457696, -0.012515918746290516, -0.02387774343875973]",0.028591741713628216
"[0, 1, 2, 4, 5, 6, 7]",7,"[323.0582, 326.4782, 337.271, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.58, 1.3, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6748741947399997, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.027494282374140117, 0.008522432601997018, 0.005197273712320372, -0.0027451227130209643, -0.00495140298849818, -0.011510066581038071, -0.02200739640590016]",0.027494282374140117
"[0, 1, 3, 4, 5, 6, 7]",7,"[323.0582, 326.4782, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.58, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.03960296806799701, 0.012668328545809321, 0.0010226480387342946, -0.0026156185686756206, -0.006329162354605983, -0.015183361267064113, -0.029165802462194773]",0.03960296806799701
"[0, 2, 3, 4, 5, 6, 7]",7,"[323.0582, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 1.3, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 16.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.031145629944981185, 0.008487718216331708, 0.000920683169559719, -0.0017574638495019834, -0.004797848334244084, -0.011628490013182051, -0.022370229133944777]",0.031145629944981185
"[1, 2, 3, 4, 5, 6, 7]",7,"[326.4782, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[0.58, 1.3, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[14.0, 16.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.014731044102285956, 0.01911801392904794, 0.0027914593820702466, 0.001614815774679812, -0.004082803015026733, -0.011533726862627464, -0.022638803310429778]",0.022638803310429778
"[0, 1, 2, 3, 4, 5, 6, 7]",8,"[323.0582, 326.4782, 337.271, 339.19980000000004, 349.9104, 361.65650000000005, 389.6234, 390.63110000000006]","[1.5, 0.58, 1.3, 0.235, 0.75, 0.2, 0.18, 0.323]","[3.8911949946599997, 3.7964042259599995, 3.6748741947399997, 3.6540363802199995, 3.5967856396999998, 3.42713673884, 3.23575054856, 3.1729386851399997]","[12.0, 14.0, 16.0, 16.0, 10.0, 12.0, 14.0, 12.0]","[0.02585591823140143, 0.008001112757076698, 0.004799226906617882, 0.0003102050887234392, -0.0026274858375586185, -0.0046839110647484555, -0.010872101561749142, -0.02078296451976344]",0.02585591823140143
