Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
245.859,2.130e+4,2.435e-12,2.130e+4,1.404e-60
245.861,2.809e+4,5.258e-13,2.809e+4,1.407e-60
245.863,3.592e+4,1.101e-13,3.592e+4,1.410e-60
245.864,4.017e+4,4.981e-14,4.017e+4,1.412e-60
245.866,4.911e+4,9.963e-15,4.911e+4,1.415e-60
245.868,5.825e+4,1.933e-15,5.825e+4,1.418e-60
245.869,6.274e+4,8.414e-16,6.274e+4,1.419e-60
245.871,7.117e+4,1.559e-16,7.117e+4,1.422e-60
245.873,7.840e+4,2.801e-17,7.840e+4,1.425e-60
245.874,8.139e+4,1.174e-17,8.139e+4,1.427e-60
245.876,8.586e+4,2.014e-18,8.586e+4,1.430e-60
245.878,8.805e+4,3.351e-19,8.805e+4,1.433e-60
245.879,8.825e+4,1.351e-19,8.825e+4,1.434e-60
245.881,8.688e+4,2.148e-20,8.688e+4,1.437e-60
245.883,8.334e+4,3.310e-21,8.334e+4,1.440e-60
245.884,8.088e+4,1.285e-21,8.088e+4,1.442e-60
245.886,7.483e+4,1.891e-22,7.483e+4,1.445e-60
245.888,6.772e+4,2.700e-23,6.772e+4,1.448e-60
245.889,6.394e+4,1.008e-23,6.394e+4,1.449e-60
245.891,5.621e+4,1.375e-24,5.621e+4,1.452e-60
245.893,4.861e+4,1.818e-25,4.861e+4,1.455e-60
245.894,4.495e+4,6.536e-26,4.495e+4,1.457e-60
245.896,3.809e+4,8.254e-27,3.809e+4,1.460e-60
245.898,3.191e+4,1.011e-27,3.191e+4,1.463e-60
245.899,2.910e+4,3.497e-28,2.910e+4,1.465e-60
245.901,2.403e+4,4.091e-29,2.403e+4,1.468e-60
245.903,1.965e+4,4.641e-30,1.965e+4,1.471e-60
245.904,1.771e+4,1.545e-30,1.771e+4,1.472e-60
245.906,1.426e+4,1.674e-31,1.426e+4,1.475e-60
245.908,1.135e+4,1.759e-32,1.135e+4,1.478e-60
245.909,1.007e+4,5.636e-33,1.007e+4,1.480e-60
245.911,7.844e+3,5.656e-34,7.844e+3,1.483e-60
245.913,6.013e+3,5.504e-35,6.013e+3,1.486e-60
245.914,5.232e+3,1.697e-35,5.232e+3,1.487e-60
245.916,3.915e+3,1.578e-36,3.915e+3,1.490e-60
245.918,2.886e+3,1.422e-37,2.886e+3,1.493e-60
245.919,2.467e+3,4.221e-38,2.467e+3,1.495e-60
245.921,1.792e+3,3.634e-39,1.792e+3,1.498e-60
245.923,1.298e+3,3.034e-40,1.298e+3,1.501e-60
245.924,1.107e+3,8.665e-41,1.107e+3,1.502e-60
245.926,8.131e+2,6.910e-42,8.131e+2,1.505e-60
245.928,6.093e+2,5.343e-43,6.093e+2,1.508e-60
245.929,5.325e+2,1.469e-43,5.325e+2,1.510e-60
245.931,4.150e+2,1.085e-44,4.150e+2,1.513e-60
245.933,3.313e+2,7.770e-46,3.313e+2,1.516e-60
245.934,2.980e+2,2.056e-46,2.980e+2,1.517e-60
245.936,2.429e+2,1.406e-47,2.429e+2,1.520e-60
245.938,1.982e+2,9.329e-49,1.982e+2,1.523e-60
245.939,1.786e+2,2.375e-49,1.786e+2,1.525e-60
245.941,1.436e+2,1.505e-50,1.436e+2,1.528e-60
245.943,1.134e+2,9.248e-52,1.134e+2,1.531e-60
245.944,9.991e+1,2.266e-52,9.991e+1,1.532e-60
245.946,7.617e+1,1.330e-53,7.617e+1,1.535e-60
245.948,5.655e+1,1.302e-53,5.655e+1,1.538e-60
245.949,4.822e+1,1.288e-53,4.822e+1,1.540e-60
245.951,3.432e+1,1.260e-53,3.432e+1,1.543e-60
245.953,2.372e+1,1.232e-53,2.372e+1,1.546e-60
245.954,1.950e+1,1.218e-53,1.950e+1,1.547e-60
245.956,1.288e+1,1.190e-53,1.288e+1,1.550e-60
245.958,8.263e+0,1.162e-53,8.263e+0,1.553e-60
245.959,6.544e+0,1.148e-53,6.544e+0,1.555e-60
245.961,4.016e+0,1.120e-53,4.016e+0,1.558e-60
245.963,2.405e+0,1.092e-53,2.405e+0,1.561e-60
245.964,1.850e+0,1.078e-53,1.850e+0,1.562e-60
245.966,1.108e+0,1.050e-53,1.108e+0,1.565e-60
245.968,7.314e-1,1.022e-53,7.314e-1,1.568e-60
245.969,6.508e-1,1.008e-53,6.508e-1,1.570e-60
245.971,6.867e-1,9.801e-54,6.867e-1,1.573e-60
245.973,1.015e+0,9.522e-54,1.015e+0,1.576e-60
245.974,1.320e+0,9.382e-54,1.320e+0,1.577e-60
245.976,2.327e+0,9.102e-54,2.327e+0,1.580e-60
245.978,4.112e+0,8.822e-54,4.112e+0,1.583e-60
245.979,5.424e+0,8.682e-54,5.424e+0,1.585e-60
245.981,9.251e+0,8.402e-54,9.251e+0,1.588e-60
245.983,1.532e+1,8.122e-54,1.532e+1,1.591e-60
245.984,1.950e+1,7.982e-54,1.950e+1,1.592e-60
245.986,3.086e+1,7.703e-54,3.086e+1,1.595e-60
245.988,4.739e+1,7.423e-54,4.739e+1,1.598e-60
245.989,5.806e+1,7.283e-54,5.806e+1,1.600e-60
245.991,8.521e+1,7.003e-54,8.521e+1,1.603e-60
245.993,1.214e+2,6.723e-54,1.214e+2,1.606e-60
245.994,1.433e+2,6.583e-54,1.433e+2,1.607e-60
245.996,1.953e+2,6.303e-54,1.953e+2,1.610e-60
245.998,2.587e+2,6.024e-54,2.587e+2,1.613e-60
245.999,2.947e+2,5.884e-54,2.947e+2,1.615e-60
246.001,3.749e+2,5.604e-54,3.749e+2,1.618e-60
246.003,4.655e+2,5.324e-54,4.655e+2,1.621e-60
246.004,5.143e+2,5.184e-54,5.143e+2,1.622e-60
246.006,6.193e+2,4.904e-54,6.193e+2,1.625e-60
246.008,7.350e+2,4.624e-54,7.350e+2,1.628e-60
246.009,7.981e+2,4.485e-54,7.981e+2,1.630e-60
246.011,9.390e+2,4.205e-54,9.390e+2,1.633e-60
246.013,1.109e+3,3.925e-54,1.109e+3,1.636e-60
246.014,1.211e+3,3.785e-54,1.211e+3,1.637e-60
246.016,1.460e+3,3.505e-54,1.460e+3,1.640e-60
246.018,1.791e+3,3.225e-54,1.791e+3,1.643e-60
246.019,1.998e+3,3.085e-54,1.998e+3,1.645e-60
246.021,2.510e+3,2.806e-54,2.510e+3,1.648e-60
246.023,3.179e+3,2.526e-54,3.179e+3,1.651e-60
246.024,3.579e+3,2.386e-54,3.579e+3,1.652e-60
246.026,4.516e+3,2.106e-54,4.516e+3,1.655e-60
246.028,5.635e+3,1.826e-54,5.635e+3,1.658e-60
246.029,6.255e+3,1.686e-54,6.255e+3,1.660e-60
